Source League ID,League Name,League Level,Players,Total G,Total IP,Total TBF,Average Age,FGPts_per_game,K_BB_pct,Weak_Contact,xFIP,BB_pct
2,International League,AAA,1722.0,24872.0,49055.333333333336,215977.0,27.163503521208277,10.806775231202252,0.12754861450864832,0.7164020880434718,4.729938672612091,0.10835017369332524
4,Pacific Coast League,AAA,890.0,12961.0,25203.333333333332,114125.0,27.224893756845564,9.90224519712985,0.09888559916092005,0.7067186841477482,5.501267865081006,0.11351672180868033
5,Eastern League,AA,872.0,12582.0,27748.666666666664,120000.0,24.749858333333332,12.517029647881726,0.13876730819783334,0.729597630589873,4.333851398910321,0.1045160740967382
6,Southern League,AA,521.0,8026.0,18437.666666666664,79316.0,24.667746734580664,12.90957513082482,0.13107151109095264,0.7336109330432748,4.310367609961995,0.10730501319512627
7,Texas League,AA,658.0,11060.0,23522.333333333336,103010.0,24.514843219104943,11.740438517179024,0.12807993382749247,0.72033514547828,4.66151503278705,0.10894632689424116
8,California League,A,605.0,8260.0,18616.333333333332,83836.0,21.885633856577126,12.252392199612403,0.12230480963559807,0.7535647075119603,5.123032433984968,0.11746797410101376
9,Carolina League,A,918.0,11409.0,26956.666666666664,118346.0,21.821785273689013,13.063392935401875,0.11429076611849999,0.7421798135524753,4.4330024740966065,0.1245648709072933
10,Florida State League,A,1048.0,10260.0,22188.0,98609.0,21.94122240363456,11.984183076623124,0.11692159949588779,0.7316042364695915,4.7023479365456415,0.12514492421401008
11,Midwest League,A+,828.0,11971.0,26993.666666666664,119338.0,22.970654778863395,12.283288781221286,0.1137296500667013,0.744605974011459,4.735040845339556,0.11973132352153255
13,Northwest League,A+,390.0,5991.0,13876.0,61225.0,23.169081257656185,12.76661101836394,0.1261926824081666,0.7404315063422688,4.770517690667414,0.11194468410250528
14,South Atlantic League,A+,938.0,12272.0,27032.333333333336,118091.0,23.217713458265237,12.442266949152541,0.133726092562346,0.7343928908565486,4.544180122679995,0.11403534631686454
16,Arizona Complex League,CPX,990.0,7303.0,14216.0,65371.0,20.770999372810575,10.641198630136985,0.12069322783206621,0.7721018316957934,5.752940981598567,0.12765430753873305
17,Florida Complex League,CPX,982.0,6593.0,13033.666666666668,59254.0,20.750649745164882,10.650940533980583,0.09204786170756406,0.766929944201154,5.19960406421132,0.1439132017632242
30,Dominican Summer League,R,2052.0,21655.0,43492.0,204394.0,18.570383670753543,9.643264655610476,0.04487430526256356,0.7936434049835411,6.004852273056188,0.15769311076637949
