Source League ID,League Name,League Level,Players,Total G,Total PA,Total AB,Average Age,FGPts_per_game,BB_K_ratio,Speed_score,HR_IFFB_ratio,LD%,2B_3B_pct,wRC+
2,International League,AAA,639.0,28578.0,112040.0,97315.0,26.2531506604784,6.473791028063546,0.4649207389979558,4.852013392312967,0.6452256753709662,0.2368690656226169,0.05496583260545651,100.05670945413681
4,Pacific Coast League,AAA,319.0,14363.0,59443.0,51169.0,26.748599498679408,7.5268397966998535,0.5198042870456664,5.152239791922292,0.7225592080300751,0.24754571914240533,0.0627137524673142,99.58655549580126
5,Eastern League,AA,324.0,15640.0,60309.0,52638.0,23.43917159959542,5.609526854219949,0.42375590770086186,4.977234708939081,0.4109455891008102,0.22795073067756055,0.0538394315893461,100.04653251895428
6,Southern League,AA,194.0,10250.0,40005.0,34676.0,23.637945256842894,5.534780487804878,0.4489687433553051,4.851953864273173,0.35795852896482777,0.22316736184256966,0.04478601914869074,99.44531491731408
7,Texas League,AA,261.0,12771.0,52335.0,45589.0,23.878857361230533,6.2700258397932815,0.4538052509139249,5.030632835473825,0.44368130830179286,0.23391830273865946,0.05045076663230165,99.81519746666945
8,California League,A,216.0,9907.0,41637.0,35427.0,21.211638686744962,6.711618047844958,0.5025651549353581,5.663391204905952,0.32286283198235016,0.2016955198643514,0.0546475851751489,100.03889846400641
9,Carolina League,A,353.0,14759.0,58324.0,49642.0,20.369487689458886,5.960363168236331,0.49473076367836005,5.654796963133495,0.2525279917944356,0.2259249279125746,0.0482051488658797,99.8789469263591
10,Florida State League,A,355.0,12195.0,49115.0,41622.0,20.91611523974346,6.388724887248872,0.5206054772946015,5.535676954785136,0.3416289729886946,0.23415508347836714,0.05100667916005958,100.0218650833169
11,Midwest League,A+,303.0,14788.0,59241.0,50854.0,22.185057645887138,6.166959697051664,0.5004874390701163,5.389952550553119,0.31057074631606624,0.2133639248344221,0.05555118574743383,100.07940984161311
13,Northwest League,A+,147.0,7448.0,30443.0,26138.0,22.2551653910587,6.374328678839957,0.4685595567867036,4.918117456654866,0.5094860235499383,0.20571788385146011,0.05593388935649246,99.82597430033057
14,South Atlantic League,A+,350.0,14567.0,57541.0,49699.0,22.00036495716098,5.81485549529759,0.4323000489818767,5.409358668392799,0.3489795149504376,0.21781926342378477,0.04798889313668283,100.08991282308327
16,Arizona Complex League,CPX,378.0,8897.0,33319.0,28283.0,19.6429664755845,6.359390805889626,0.4832342148551183,5.830687377945818,0.3283621595385097,0.19161890955328792,0.0631828306756709,100.20237645644215
17,Florida Complex League,CPX,383.0,8459.0,29715.0,24779.0,19.476190476190474,5.5642510935098715,0.5508341651219164,5.562153795866438,0.26355470892313326,0.19143438846612823,0.05080915291173978,99.9166541077958
30,Dominican Summer League,R,839.0,28434.0,104413.0,84606.0,17.64133776445462,6.596187662657382,0.72,6.347816323334841,0.20970123286476366,0.18538489025173352,0.05620168782355861,102.4033025459177
