Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,BB/K,Spd,wRC+,HR/FB%,IFFB%,LD%,FB%,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,BB_K_ratio,Speed_score,HR_IFFB_ratio,2B_3B_pct
Diosfran Cabeza,ARI,A,22,45,137,160,35,29,5,0,1,21,17,18,0,32,4,0,1,4,2,3,0.255474452,sa3015517,standard,8,0.5625,2.982552656449056,97.70808954821511,0.04,0.28,0.166666666,0.245098039,California League,A,220.5,fantrax_hitting_categories,4.9,0.5625,2.982552656449056,0.14285714285714285,0.0364963503649635
Elian Rayo,SFG,A,22,40,142,165,31,22,7,0,2,20,20,14,0,41,2,6,1,2,0,1,0.218309859,sa3015612,standard,8,0.341463414,2.5865171556547617,63.963733389750786,0.04,0.16,0.165048543,0.485436893,California League,A,206.0,fantrax_hitting_categories,5.15,0.34146341463414637,2.5865171556547617,0.25,0.04929577464788732
Elijah Hainline,LAD,A,22,66,235,291,70,50,15,1,4,47,29,47,0,69,8,1,0,5,20,5,0.29787234,sa3025157,standard,8,0.68115942,6.344390595708003,141.38381978542537,0.083333333,0.229166666,0.231707317,0.292682926,California League,A,551.0,fantrax_hitting_categories,8.348484848484848,0.6811594202898551,6.344390595708003,0.3636363632396694,0.06808510638297872
Francisco Garcia,COL,A,22,41,138,149,21,15,3,1,2,14,13,7,0,46,1,1,2,1,4,1,0.152173913,sa3015677,standard,8,0.152173913,6.9831274687590135,20.194424072555243,0.058823529,0.235294117,0.136363636,0.386363636,California League,A,141.5,fantrax_hitting_categories,3.451219512195122,0.15217391304347827,6.9831274687590135,0.2499999989375,0.028985507246376812
George Feliz,SEA,A,22,49,152,165,36,28,4,2,2,20,21,9,0,61,2,1,1,4,3,0,0.236842105,sa3015596,standard,8,0.147540983,7.391482794655095,74.04907945982998,0.06060606,0.303030303,0.224719101,0.370786516,California League,A,210.0,fantrax_hitting_categories,4.285714285714286,0.14754098360655737,7.391482794655095,0.19999999802,0.039473684210526314
Jackson Nicklaus,LAD,A,22,54,170,210,30,21,3,2,4,30,16,38,0,79,2,0,0,5,1,0,0.176470588,sa3038855,standard,8,0.481012658,5.850037381674342,83.11572948302705,0.108108108,0.189189189,0.12087912,0.406593406,California League,A,231.5,fantrax_hitting_categories,4.287037037037037,0.4810126582278481,5.850037381674342,0.5714285714285714,0.029411764705882353
Jacob Humphrey,COL,A,22,11,30,39,7,5,2,0,0,8,1,8,0,8,0,0,1,0,2,1,0.233333333,sa3069172,standard,8,1.0,5.392214504262471,110.9552209265958,0.0,0.3,0.285714285,0.476190476,California League,A,58.5,fantrax_hitting_categories,5.318181818181818,1.0,5.392214504262471,0.0,0.06666666666666667
Jakob Christian,SFG,A,22,70,272,318,74,44,19,1,10,56,60,32,0,90,7,7,0,9,12,2,0.272058823,sa3025603,standard,8,0.355555555,6.739455368453034,119.29354306617604,0.144927536,0.04347826,0.198924731,0.370967741,California League,A,652.0,fantrax_hitting_categories,9.314285714285715,0.35555555555555557,6.739455368453034,3.333333394666668,0.07352941176470588
Javier Francisco,SFG,A,22,2,8,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,sa3015729,standard,8,1.0,0.14285714,-57.17335845622095,0.0,0.0,0.0,0.428571428,California League,A,1.0,fantrax_hitting_categories,0.5,1.0,0.14285714,,0.0
Jeremiah Jenkins,SFG,A,22,50,187,217,43,28,9,2,4,26,38,24,1,38,5,1,0,7,0,0,0.229946524,sa3025550,standard,8,0.631578947,3.45039682125,92.8183543178907,0.070175438,0.298245614,0.187919463,0.382550335,California League,A,362.0,fantrax_hitting_categories,7.24,0.631578947368421,3.45039682125,0.2352941156747405,0.058823529411764705
