Metric,wRC+ Correlation,N
FGPts_per_game,0.7888518031447463,4851
BB_K_ratio,0.3838283701518912,4685
Speed_score,0.2709181331669027,4851
HR_IFFB_ratio,0.361689567988066,4156
LD%,0.2689566469339197,4766
2B_3B_pct,0.5033907239862508,4767
