Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Dax Kilby,NYY,A,19,32,115,154,30,20,4,2,4,26,26,39,0,31,0,0,0,2,12,3,0.261,sa3069080,standard,10,A,154,0.253,0.201,1.26,0.261,0.448,0.435,0.883,0.174,7.6,0.325,0.5,31,9.4,0.425,143,advanced,A,154,0.325,1.21,0.244,0.415,0.341,0.214,0.14300000000000002,0.44,0.226,0.33299999999999996,0.087,286.0,356.0,642.0,batted,Florida State League,A,365.0,fantrax_hitting_categories,11.40625,3.59375,0.2608695652173913,0.44805194805194803,0.43478260869565216,0.8828345567476001,1.2580645161290323,0.253,0.201,0.6869032258064517,7.6,0.14300000000000002,80.0,27.28,98,0.32653061224489793
Edgardo De Leon,MIA,A,19,34,131,145,21,13,4,0,4,16,17,9,0,51,3,2,0,1,2,0,0.16,sa3024339,standard,10,A,145,0.062,0.35200000000000004,0.18,0.16,0.228,0.282,0.51,0.122,5.0,0.218,0.2,7,-13.9,0.241,35,advanced,A,145,0.218,1.29,0.134,0.488,0.37799999999999995,0.355,0.129,0.341,0.268,0.39,0.19,208.0,360.0,568.0,batted,Florida State League,A,159.5,fantrax_hitting_categories,4.6911764705882355,3.8529411764705883,0.16030534351145037,0.22758620689655173,0.2824427480916031,0.5100289549881548,0.17647058823529413,0.062,0.35200000000000004,0.10341176470588233,5.0,0.129,78.0,29.483999999999995,115,0.2956521739130435
Eduardo Beltre,MIN,A,19,16,62,67,15,12,0,0,3,6,9,5,0,18,0,0,0,0,3,1,0.242,sa3024928,standard,10,A,67,0.075,0.26899999999999996,0.28,0.242,0.299,0.387,0.686,0.145,3.7,0.293,0.0,8,-2.0,0.317,80,advanced,A,67,0.293,0.83,0.214,0.35700000000000004,0.429,0.278,0.16699999999999998,0.409,0.318,0.273,0.09699999999999999,97.0,180.0,277.0,batted,Florida State League,A,107.0,fantrax_hitting_categories,6.6875,3.875,0.24193548387096775,0.29850746268656714,0.3870967741935484,0.6856042368801155,0.2777777777777778,0.075,0.26899999999999996,0.18222222222222226,3.7,0.16699999999999998,41.0,17.589,105,0.1523809523809524
Edward Florentino,PIT,A,19,9,28,40,9,3,3,0,3,9,10,11,0,7,0,1,0,1,1,2,0.321,sa3023944,standard,10,A,40,0.275,0.175,1.57,0.321,0.5,0.75,1.25,0.429,3.2,0.316,-0.9,12,6.0,0.531,205,advanced,A,40,0.316,0.89,0.22699999999999998,0.364,0.409,0.0,0.33299999999999996,0.636,0.182,0.182,0.13,80.0,82.0,162.0,batted,Florida State League,A,116.5,fantrax_hitting_categories,12.944444444444445,3.111111111111111,0.32142857142857145,0.5,0.75,1.25,1.5714285714285714,0.275,0.175,0.8642857142857143,3.2,0.33299999999999996,19.0,7.771,107,0.08411214953271028
Edward Lantigua,NYM,A,19,9,30,34,5,2,3,0,0,3,4,2,0,10,2,0,0,0,4,0,0.167,sa3024476,standard,10,A,34,0.059000000000000004,0.294,0.2,0.167,0.265,0.267,0.531,0.1,7.1,0.25,0.8,2,-2.6,0.263,45,advanced,A,34,0.25,1.67,0.158,0.526,0.316,0.33299999999999996,0.0,0.55,0.15,0.3,0.146,44.0,93.0,137.0,batted,Florida State League,A,55.0,fantrax_hitting_categories,6.111111111111111,3.3333333333333335,0.16666666666666666,0.2647058823529412,0.26666666666666666,0.5313725490196078,0.2,0.059000000000000004,0.294,0.12940000000000002,7.1,0.0,20.0,6.32,104,0.08653846153846154
Francisco Loreto,PIT,A,19,3,9,9,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.111,sa3023937,standard,10,A,9,0.0,0.111,0.0,0.111,0.111,0.333,0.444,0.222,2.6,0.125,0.0,0,-1.3,0.18,-4,advanced,A,9,0.125,0.5,0.25,0.25,0.5,0.0,0.0,0.125,0.375,0.5,0.2,8.0,22.0,30.0,batted,Florida State League,A,9.0,fantrax_hitting_categories,3.0,3.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.0,0.0,0.111,0.0,2.6,0.0,8.0,4.0,107,0.028037383177570093
Fredderick Ovalle,PIT,A,19,39,126,153,22,18,3,0,1,17,4,25,0,21,1,0,1,4,3,1,0.175,sa3067718,standard,10,A,153,0.163,0.13699999999999998,1.19,0.175,0.316,0.222,0.538,0.048,3.9,0.202,-0.2,13,-9.1,0.283,57,advanced,A,153,0.202,1.62,0.127,0.539,0.33299999999999996,0.235,0.028999999999999998,0.34299999999999997,0.267,0.39,0.087,236.0,342.0,578.0,batted,Florida State League,A,156.0,fantrax_hitting_categories,4.0,3.230769230769231,0.1746031746031746,0.3157894736842105,0.2222222222222222,0.5380116959064327,1.1904761904761905,0.163,0.13699999999999998,0.8333333333333333,3.9,0.028999999999999998,104.0,34.632,107,0.3644859813084112
J.P. Cabrera,STL,A,19,25,89,100,19,12,6,0,1,14,13,7,0,22,1,0,0,2,1,0,0.213,sa3024651,standard,10,A,100,0.07,0.22,0.32,0.213,0.278,0.315,0.593,0.101,4.8,0.273,0.1,8,-6.0,0.283,61,advanced,A,100,0.273,2.07,0.317,0.46,0.222,0.28600000000000003,0.071,0.5670000000000001,0.134,0.299,0.154,121.0,217.0,338.0,batted,Florida State League,A,138.0,fantrax_hitting_categories,5.52,3.56,0.21348314606741572,0.27835051546391754,0.3146067415730337,0.5929572570369512,0.3181818181818182,0.07,0.22,0.2259090909090909,4.8,0.071,66.0,14.652000000000001,107,0.2336448598130841
Jayden Kim,PIT,A,19,9,9,10,1,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0.111,sa3024293,standard,10,A,10,0.0,0.5,0.0,0.111,0.2,0.111,0.311,0.0,0.1,0.25,0.0,0,-1.5,0.175,-8,advanced,A,10,0.25,3.0,0.0,0.75,0.25,1.0,0.0,0.75,0.0,0.25,0.2,16.0,24.0,40.0,batted,Florida State League,A,2.5,fantrax_hitting_categories,0.2777777777777778,1.0,0.1111111111111111,0.2,0.1111111111111111,0.3111111111111111,0.0,0.0,0.5,0.0,0.1,0.0,4.0,1.0,107,0.08411214953271028
Jeremy Rodriguez,NYM,A,19,61,194,230,42,37,5,0,0,33,16,32,0,46,1,2,1,7,8,5,0.216,sa3021101,standard,10,A,230,0.139,0.2,0.7,0.216,0.328,0.242,0.57,0.026,4.6,0.28,-1.4,21,-11.8,0.293,63,advanced,A,230,0.28,3.03,0.182,0.615,0.203,0.267,0.0,0.444,0.185,0.371,0.077,351.0,520.0,871.0,batted,Florida State League,A,286.5,fantrax_hitting_categories,4.69672131147541,3.180327868852459,0.21649484536082475,0.32751091703056767,0.2422680412371134,0.5697789582676811,0.6956521739130435,0.139,0.2,0.4598260869565218,4.6,0.0,150.0,30.450000000000003,104,0.5865384615384616
