Source League ID,League Name,League Level,Age,Players,Total G,Total PA,Total AB,FGPts_per_game,BB_K_ratio,Speed_score,HR_IFFB_ratio,LD%,2B_3B_pct,wRC+
2,International League,AAA,20,3.0,129.0,506.0,435.0,7.51937984496124,0.5040650406504065,3.2667607246147288,1.1653346788547267,0.19542211488537548,0.06206896551724138,119.79607139862149
2,International League,AAA,21,17.0,590.0,2584.0,2242.0,8.235593220338982,0.5705882352941176,4.7143897143343905,0.9874469862541623,0.24025369405611458,0.06289027653880463,122.07382157178924
2,International League,AAA,22,28.0,1622.0,6955.0,6052.0,7.6424167694204685,0.4701492537313433,5.579877861332879,0.8955728704017971,0.2402072785525521,0.054692663582286846,109.60588089066758
2,International League,AAA,23,54.0,2523.0,10357.0,9015.0,6.759413396749901,0.44797458300238285,4.945822226191418,0.6733472245856813,0.2431859166284638,0.05701608430393788,101.53621115955436
2,International League,AAA,24,80.0,3464.0,13646.0,11792.0,6.563366050808314,0.4796147672552167,5.032347768296449,0.6535080031753598,0.2327972390831013,0.05418928086838535,102.76032908917148
2,International League,AAA,25,83.0,3745.0,14691.0,12827.0,6.365554072096129,0.4302162313956754,4.82957927525322,0.6482621960620136,0.2440642486892655,0.056833242379356046,99.66550468313757
2,International League,AAA,26,87.0,4274.0,16695.0,14479.0,6.4195133364529715,0.46266029670605985,5.115625690048185,0.6675968569614974,0.2382338436460018,0.054354582498791354,99.95295010891705
2,International League,AAA,27,77.0,3719.0,13740.0,11874.0,6.071390158644797,0.4866013071895425,5.090708090756607,0.5604096962623929,0.23419656082365356,0.05566784571332323,96.77679005368326
2,International League,AAA,28,53.0,2129.0,8323.0,7236.0,6.18529826209488,0.4243452958292919,4.97477307510523,0.6105149500131302,0.23619313062994116,0.05002763957987839,93.81335294480986
2,International League,AAA,29,54.0,1961.0,7442.0,6438.0,6.297807241203468,0.504920049200492,4.848866727431142,0.5108177052748463,0.23362338548011286,0.05265610438024231,97.09211839214923
2,International League,AAA,30,37.0,1630.0,6241.0,5407.0,6.126073619631902,0.5067567567567568,3.9753897082576155,0.517957229030751,0.2268839392209582,0.05159977806547068,97.62511373583372
2,International League,AAA,31,21.0,1135.0,4404.0,3901.0,6.055947136563876,0.4171717171717172,3.8495478480944607,0.6465101347244461,0.23671061071457766,0.05511407331453474,91.1106273785136
2,International League,AAA,32,15.0,727.0,2905.0,2538.0,7.0722145804676755,0.4369230769230769,4.68593416147043,0.6612468388901073,0.23044882532048191,0.057919621749408984,106.29510795807222
2,International League,AAA,33,9.0,373.0,1461.0,1264.0,5.894101876675603,0.5481727574750831,3.1056829197913616,0.6016080756981662,0.24178778920944557,0.06091772151898734,87.6616103130318
2,International League,AAA,34,12.0,353.0,1320.0,1147.0,6.420679886685552,0.4869281045751634,3.9114721670390944,0.5782239962028839,0.22924792450833337,0.05754141238012206,100.23209334445477
2,International League,AAA,35,5.0,111.0,420.0,365.0,6.301801801801802,0.4329896907216495,3.3395037293824923,1.209105118971912,0.2521047063166667,0.06301369863013699,106.02012949664419
2,International League,AAA,36,4.0,93.0,350.0,303.0,4.887096774193548,0.4175824175824176,2.309496197543659,0.5738536807972978,0.22344331053142857,0.039603960396039604,79.7268680521386
4,Pacific Coast League,AAA,19,3.0,50.0,229.0,184.0,10.09,0.8048780487804879,7.644330988072169,0.6745796213363232,0.23151622910480352,0.059782608695652176,126.95337639534209
4,Pacific Coast League,AAA,20,4.0,72.0,304.0,269.0,7.902777777777778,0.3225806451612903,1.7542527369271999,2.5714285772448977,0.253053103381579,0.05204460966542751,101.17863412307945
4,Pacific Coast League,AAA,21,6.0,131.0,555.0,471.0,7.679389312977099,0.5609756097560976,6.692720179708818,0.8315432413530207,0.24721207667027023,0.07006369426751592,106.60049258899703
4,Pacific Coast League,AAA,22,18.0,552.0,2447.0,2113.0,8.36231884057971,0.5682281059063137,4.599341381436256,0.8495286401491423,0.2443383958524724,0.06625650733554188,102.69961465457611
4,Pacific Coast League,AAA,23,27.0,1165.0,5073.0,4401.0,7.80343347639485,0.5086128739800544,5.270139581452926,0.7403974782475494,0.23175901050739206,0.0624857986821177,97.18061522801017
4,Pacific Coast League,AAA,24,31.0,1538.0,6550.0,5683.0,8.042912873862159,0.4391332058636074,5.820896074035474,1.0821084127611043,0.23918156705236643,0.06844976244941052,105.57032002557112
4,Pacific Coast League,AAA,25,31.0,1225.0,4998.0,4314.0,7.12,0.5216972034715526,5.697122837089609,0.49906268262938336,0.2417687126540616,0.05725544738062123,91.59511440013311
4,Pacific Coast League,AAA,26,39.0,2231.0,9564.0,8142.0,8.45316001792918,0.5716410510659395,5.64380200528781,0.8819836256908054,0.25398159256900876,0.06546303119626627,110.70264576438346
4,Pacific Coast League,AAA,27,41.0,1909.0,7697.0,6683.0,7.19408067050812,0.5149664019547954,4.874054860481323,0.6134963623082702,0.2562054254073015,0.060152626066137964,97.38145293672021
4,Pacific Coast League,AAA,28,30.0,1578.0,6295.0,5427.0,7.436628643852979,0.5293680297397769,4.665063912031013,0.7623726242718152,0.25423337095266085,0.06817763036668509,103.52021848417525
4,Pacific Coast League,AAA,29,25.0,1335.0,5416.0,4617.0,7.292883895131086,0.5529715762273901,5.293305126986918,0.6879808966281183,0.24557581934361153,0.06411089452025125,97.75425264492897
4,Pacific Coast League,AAA,30,23.0,1064.0,4068.0,3482.0,6.161184210526316,0.5221339387060159,4.51287188593017,0.4062956196804572,0.24750034839995086,0.05226881102814474,87.65693308422259
4,Pacific Coast League,AAA,31,8.0,315.0,1338.0,1184.0,7.493650793650794,0.43288590604026844,6.073691433102987,0.6050275881644158,0.24709803092899854,0.06672297297297297,84.56953058413337
4,Pacific Coast League,AAA,32,10.0,440.0,1790.0,1540.0,7.495454545454545,0.4278728606356968,5.250297187895953,0.6357322867905132,0.25866616706089385,0.05779220779220779,93.03061767378686
4,Pacific Coast League,AAA,33,10.0,486.0,2035.0,1747.0,6.8539094650205765,0.5727699530516432,3.6270125991695843,0.6315412746226342,0.24327631898869773,0.05266170578133944,92.77193165999533
4,Pacific Coast League,AAA,34,7.0,145.0,510.0,432.0,4.793103448275862,0.45985401459854014,2.0844427195891844,0.5550240919980929,0.24062552843333332,0.05555555555555555,81.49164464621654
4,Pacific Coast League,AAA,35,5.0,117.0,535.0,447.0,7.636752136752137,0.6632653061224489,3.209434798446262,0.469590435798179,0.2578507417046729,0.06935123042505593,91.25490222168132
4,Pacific Coast League,AAA,37,1.0,10.0,39.0,33.0,3.25,0.5,2.64285714,0.0,0.291666666,0.06060606060606061,59.13672239556326
5,Eastern League,AA,19,3.0,33.0,151.0,134.0,9.893939393939394,0.21875,4.771965319163856,1.5890894781707223,0.2411450543708609,0.029850746268656716,137.78430524289655
5,Eastern League,AA,20,17.0,517.0,2199.0,1918.0,6.587040618955513,0.5021551724137931,5.190418449101716,0.5226332343137339,0.2250763349099591,0.058394160583941604,112.2031001206145
5,Eastern League,AA,21,27.0,1571.0,6454.0,5553.0,6.377784850413749,0.49734395750332006,5.051499107898741,0.4530717746139953,0.22253674450495814,0.05348460291734198,112.5954757804067
5,Eastern League,AA,22,54.0,3033.0,11974.0,10560.0,5.69221892515661,0.41688263606071824,4.903174003999791,0.38274384485257096,0.22526877905378323,0.05113636363636364,95.43473720176604
5,Eastern League,AA,23,59.0,2964.0,11317.0,9848.0,5.473009446693657,0.4244604316546763,5.202938909365233,0.3478963479372165,0.22879363054563934,0.05544272948822096,98.50268260593637
5,Eastern League,AA,24,52.0,2923.0,11129.0,9765.0,5.4336298323640095,0.36460481099656356,4.951506518956614,0.4641291442025705,0.2313744629057418,0.05468509984639017,96.80885470225432
