Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Baseline Source Year,Team League Max G,Player Team Game Share,Baseline Scope,Baseline Average Age,Baseline FGPts_per_game,Baseline Approach_score,Baseline Speed_score,Baseline LD%,Baseline HR_FB_pct,Baseline wRC+,Age_Plus,FGPts_per_game_Plus,Approach_score_Plus,Speed_score_Plus,LD%_Plus,HR_FB_pct_Plus,wRC+_Score,Age_Plus_RobustZ,Approach_score_Plus_RobustZ,Speed_score_Plus_RobustZ,LD%_Plus_RobustZ,HR_FB_pct_Plus_RobustZ,Approach_score_Plus_RobustZ_Capped,LD%_Plus_RobustZ_Capped,HR_FB_pct_Plus_RobustZ_Capped,5 Tool+,Hitter+
Luis Hernández,SFG,A,17,20,91,98,21,17,2,0,2,16,9,6,0,29,0,1,0,1,0,0,0.231,sa3076284,standard,8,A,98,0.061,0.29600000000000004,0.21,0.231,0.276,0.319,0.594,0.088,2.6,0.311,-0.2,7,-7.6,0.274,48,advanced,A,98,0.311,4.56,0.18,0.672,0.14800000000000002,0.0,0.222,0.46799999999999997,0.226,0.306,0.124,134.0,237.0,371.0,batted,California League,A,116.5,fantrax_hitting_categories,5.825,4.55,0.23076923076923078,0.2755102040816326,0.31868131868131866,0.5941915227629513,0.20689655172413793,0.061,0.29600000000000004,0.1330344827586207,2.6,0.222,61.0,9.028,2026,119,0.16806722689075632,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,123.57179403887737,75.45248204746903,39.885405662699576,43.62080976708381,79.58834303557114,170.00953558454665,48,149.21799802059454,83.67680112202417,76.08355273608822,79.14496501607745,123.31616163960814,83.67680112202417,79.14496501607745,123.31616163960814,102.2878957068785,95.37930925923659
Josuar Gonzalez,SFG,A,18,31,129,153,46,31,6,6,3,32,35,21,0,30,1,2,0,2,13,4,0.357,sa3067675,standard,8,A,153,0.13699999999999998,0.196,0.7,0.357,0.444,0.566,1.01,0.209,8.4,0.439,0.0,36,12.5,0.449,151,advanced,A,153,0.439,2.31,0.131,0.606,0.263,0.154,0.115,0.382,0.255,0.363,0.092,238.0,341.0,579.0,batted,California League,A,433.5,fantrax_hitting_categories,13.983870967741936,4.161290322580645,0.35658914728682173,0.4444444444444444,0.5658914728682171,1.0103359173126614,0.7,0.13699999999999998,0.196,0.4669,8.4,0.115,98.0,25.774,2026,119,0.2605042016806723,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,181.1360983944501,139.98247309837183,140.92877001673233,57.92262743144344,88.06800266767057,151,134.88263416484375,118.5927514799501,117.01674773181443,56.54546519890391,99.84429877503189,118.5927514799501,56.54546519890391,99.84429877503189,105.37637947010883,91.66083848462863
Elliot Lascelles,SDP,A,18,15,56,64,18,13,4,1,0,11,5,7,0,10,1,0,0,0,6,0,0.321,sa3078041,standard,8,A,64,0.109,0.156,0.7,0.321,0.406,0.429,0.835,0.107,8.8,0.391,1.0,12,1.8,0.39,119,advanced,A,64,0.391,4.33,0.23800000000000002,0.619,0.14300000000000002,0.0,0.0,0.444,0.111,0.444,0.054000000000000006,95.0,145.0,240.0,batted,California League,A,131.5,fantrax_hitting_categories,8.766666666666667,3.7333333333333334,0.32142857142857145,0.40625,0.42857142857142855,0.8348214285714286,0.7,0.109,0.156,0.5145,8.8,0.0,46.0,6.578000000000001,2026,105,0.14285714285714285,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,113.556525198766,154.2535498160469,147.6396638270529,105.23347579147739,0.0,119,134.88263416484375,123.57080147675666,119.83972669703694,105.89539337109916,74.61753027572097,123.57080147675666,105.89539337109916,74.61753027572097,111.7612171970915,101.36124170785894
Breyson Guedez,OAK,A,18,91,385,414,119,80,26,7,6,57,64,24,2,106,3,2,0,9,1,1,0.309,sa3067688,standard,8,A,414,0.057999999999999996,0.256,0.23,0.309,0.353,0.46,0.812,0.151,4.9,0.411,-1.2,65,1.5,0.363,99,advanced,A,414,0.411,2.47,0.313,0.489,0.198,0.091,0.109,0.413,0.24600000000000002,0.342,0.14800000000000002,438.0,1022.0,1460.0,batted,California League,A,703.0,fantrax_hitting_categories,7.725274725274725,4.230769230769231,0.3090909090909091,0.3526570048309179,0.4597402597402597,0.8123972645711777,0.22641509433962265,0.057999999999999996,0.256,0.15532075471698112,4.9,0.109,275.0,54.45,2026,113,0.8053097345132744,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,100.06715064730601,46.56710937842925,82.2084491764272,138.39528538963205,83.47315035457471,99,134.88263416484375,86.00751910629197,92.3156817861176,140.4864645198342,98.52811954898088,86.00751910629197,140.4864645198342,98.52811954898088,110.44408382521367,108.340701058369
Gabriel Davalillo,LAA,A,18,109,392,459,96,62,21,0,13,47,60,51,1,125,7,9,0,14,1,0,0.245,sa3068659,standard,8,A,459,0.111,0.272,0.41,0.245,0.336,0.398,0.733,0.153,1.9,0.316,-0.7,60,-10.1,0.335,84,advanced,A,459,0.316,0.99,0.243,0.377,0.381,0.225,0.127,0.457,0.239,0.304,0.151,681.0,1113.0,1794.0,batted,California League,A,652.0,fantrax_hitting_categories,5.981651376146789,3.596330275229358,0.24489795918367346,0.3355119825708061,0.3979591836734694,0.7334711662442754,0.408,0.111,0.272,0.25173599999999996,1.9,0.127,263.0,100.203,2026,113,0.9646017699115044,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,77.48162112840069,75.47360858404738,31.876745599022787,107.44426309802104,97.25770729386228,84,134.88263416484375,96.09071052379694,71.14333954694885,108.20146478101483,102.4766572271339,96.09071052379694,108.20146478101483,102.4766572271339,102.55896124874766,102.25627751064856
Jose Verdugo,SDP,A,18,105,376,429,104,84,12,4,4,57,54,32,0,71,4,8,9,6,37,7,0.277,sa3067649,standard,8,A,429,0.075,0.166,0.45,0.277,0.333,0.362,0.695,0.085,7.8,0.324,2.7,52,-14.1,0.323,79,advanced,A,429,0.324,1.15,0.233,0.41,0.35700000000000004,0.299,0.037000000000000005,0.439,0.237,0.324,0.098,527.0,1010.0,1537.0,batted,California League,A,824.0,fantrax_hitting_categories,7.847619047619047,3.580952380952381,0.2765957446808511,0.3333333333333333,0.3617021276595745,0.6950354609929078,0.4507042253521127,0.075,0.166,0.3420845070422535,7.8,0.037000000000000005,309.0,110.31300000000002,2026,105,1.0,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,101.65190305679866,102.56122361193411,130.86242930125144,103.02268848493377,28.334922597424452,79,134.88263416484375,105.53943710348537,112.78227928398069,103.58932196118351,82.73396883636883,105.53943710348537,103.58932196118351,82.73396883636883,107.90552826997244,97.28757596701257
Sebastian Blanco,COL,A,18,24,79,96,18,13,4,0,1,8,9,11,0,30,2,1,3,3,2,1,0.228,sa3067801,standard,8,A,96,0.115,0.313,0.37,0.228,0.333,0.316,0.65,0.089,3.2,0.347,-0.3,11,-3.9,0.314,75,advanced,A,96,0.347,2.23,0.16,0.58,0.26,0.154,0.077,0.314,0.353,0.33299999999999996,0.128,161.0,214.0,375.0,batted,California League,A,113.5,fantrax_hitting_categories,4.729166666666667,3.2916666666666665,0.22784810126582278,0.3333333333333333,0.31645569620253167,0.649789029535865,0.36666666666666664,0.115,0.313,0.20973333333333335,3.2,0.077,49.0,12.74,2026,96,0.25,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,61.25791639762329,62.8806825683555,53.6871504825647,70.74519380939657,58.96727135139681,75,134.88263416484375,91.69803458543838,80.31802118392197,69.92067937641478,91.50849701004219,91.69803458543838,69.92067937641478,91.50849701004219,93.66557326413222,84.37573699063178
Ashly Andujar,COL,A,18,80,327,361,79,62,10,4,3,47,33,26,0,72,3,3,2,6,6,4,0.242,sa3023890,standard,8,A,361,0.07200000000000001,0.19899999999999998,0.36,0.242,0.301,0.324,0.625,0.083,6.0,0.298,-1.7,34,-21.7,0.293,63,advanced,A,361,0.298,2.87,0.183,0.606,0.21100000000000002,0.34,0.057,0.386,0.228,0.386,0.114,438.0,840.0,1278.0,batted,California League,A,472.0,fantrax_hitting_categories,5.9,4.0875,0.2415902140672783,0.3008356545961003,0.3241590214067278,0.6249946760028281,0.3611111111111111,0.07200000000000001,0.19899999999999998,0.26325,6.0,0.057,255.0,53.80500000000001,2026,96,0.8333333333333334,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,76.42397323262958,78.92565012453711,100.6634071548088,80.91481541949732,43.65109697441063,63,134.88263416484375,97.29485480243625,100.07887394047945,80.52860786202683,87.1212329232055,97.29485480243625,80.52860786202683,87.1212329232055,99.98124073859836,88.31489852922284
Victor Santana,ARI,A,18,30,109,122,28,24,4,0,0,9,15,9,0,20,0,3,0,8,0,0,0.257,sa3067736,standard,8,A,122,0.07400000000000001,0.16399999999999998,0.45,0.257,0.306,0.294,0.599,0.037,1.0,0.304,-0.3,10,-8.2,0.285,57,advanced,A,122,0.304,1.96,0.163,0.5539999999999999,0.28300000000000003,0.038,0.0,0.315,0.185,0.5,0.105,144.0,276.0,420.0,batted,California League,A,144.0,fantrax_hitting_categories,4.8,3.6333333333333333,0.25688073394495414,0.30578512396694213,0.29357798165137616,0.5993631056183183,0.45,0.07400000000000001,0.16399999999999998,0.34290000000000004,1.0,0.0,92.0,26.036,2026,107,0.2803738317757009,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,62.17543585027491,102.80571862375605,16.777234525801465,72.07166619332276,0.0,57,134.88263416484375,105.6247220765044,64.79163687519824,71.30432222236418,74.61753027572097,105.6247220765044,71.30432222236418,74.61753027572097,90.24416912292631,83.84885819152986
Yorger Bautista,SEA,A,18,21,92,98,21,16,4,0,1,8,11,4,0,31,1,1,0,3,3,1,0.228,sa3067684,standard,8,A,98,0.040999999999999995,0.316,0.13,0.228,0.265,0.304,0.57,0.076,4.2,0.328,-0.1,7,-8.5,0.264,44,advanced,A,98,0.328,0.92,0.258,0.355,0.387,0.41700000000000004,0.042,0.419,0.21,0.371,0.23600000000000002,86.0,219.0,305.0,batted,California League,A,112.0,fantrax_hitting_categories,5.333333333333333,4.380952380952381,0.22826086956521738,0.2653061224489796,0.30434782608695654,0.5696539485359362,0.12903225806451613,0.040999999999999995,0.316,0.08296774193548387,4.2,0.042,61.0,23.607,2026,109,0.1926605504587156,league,21.007204986609153,7.720090634441088,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046,116.70669437005085,69.08381761141656,24.874769122973927,70.46438500836616,114.07662501765196,32.163966191670994,44,134.88263416484375,78.44077719356342,87.37546859697822,115.11967901076183,83.83078485807799,78.44077719356342,115.11967901076183,83.83078485807799,99.92986876484505,92.46374702080108
