Source League ID,League Name,League Level,Players,Total G,Total PA,Total AB,Average Age,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+
2,International League,AAA,1253.0,54849.0,215923.0,186964.0,26.173904586357175,6.694134414274345,0.5206932786899547,0.11023561099002685,0.23151944639258934,0.3473618036691066,4.876810161375791,0.23719555413830098,0.14201341322462258,100.06080745099635
4,Pacific Coast League,AAA,642.0,27428.0,114179.0,98186.0,26.789400853046534,7.627320271066588,0.5906097212487621,0.11358078285582049,0.2119095567133443,0.4051432867269266,5.165757187847475,0.2504803658124227,0.1410872799713804,99.58177614392237
5,Eastern League,AA,667.0,30570.0,120000.0,104401.0,23.52555,6.245469003677811,0.4657327518959897,0.10415014349369839,0.24275780242461661,0.3086180113067074,5.135155400511725,0.23016349222726817,0.12122379625947144,100.04846108071345
6,Southern League,AA,213.0,9818.0,39316.0,34044.0,23.669778207345608,6.904810436200571,0.49138583666657953,0.1085174232003668,0.2409683173859935,0.323057827195279,5.421561196459457,0.23221667218838402,0.15141406352798756,99.47873639230848
7,Texas League,AA,265.0,12316.0,50675.0,43511.0,23.860601874691664,7.306760308854937,0.5009528680231714,0.1133319078165835,0.24375299599218178,0.3250093614390711,5.418729156388752,0.24271481415544083,0.15743926110182277,99.87338924518994
8,California League,A,232.0,9968.0,42193.0,35976.0,21.007204986609153,7.720090634441088,0.515772147602345,0.11634696544841025,0.24424874878436395,0.33354175681114656,5.960457895859502,0.2261637736565906,0.13058091079226447,99.5732704477046
9,Carolina League,A,352.0,14825.0,60018.0,50450.0,20.28969642440601,6.910129163834126,0.6082155339744666,0.1306570192725208,0.23909182109052124,0.39037732541998543,5.815871905095138,0.2354880433875678,0.11930982289003733,99.9159585457696
10,Florida State League,A,403.0,12286.0,49494.0,41698.0,20.933426273891786,6.9580158925206845,0.5761531831561946,0.1267733861144945,0.24882635360793445,0.3668904040268181,5.509494080090516,0.23583826213946693,0.1427415798591581,100.05020810603305
11,Midwest League,A+,323.0,14560.0,60097.0,50842.0,22.04590911359968,7.386122844678346,0.5648725075012213,0.1254906998817711,0.24048176749604724,0.36031492770065965,5.494429006439589,0.22458259854987916,0.14217480506650673,100.09429755229047
13,Northwest League,A+,163.0,7419.0,30782.0,26502.0,22.432590474952896,7.133847611314115,0.5003538008336254,0.11218485124666362,0.23845972903603105,0.32560702238814504,4.952956273146644,0.2286759578481754,0.1491235898299377,99.75920992787994
14,South Atlantic League,A+,362.0,14519.0,60550.0,51489.0,21.973228736581337,7.4487939352170915,0.5285623339126466,0.11980921882259242,0.24622654919916034,0.3386421336454941,5.642254335260116,0.23293813237948569,0.15722188115876312,99.98556564822461
16,Arizona Complex League,CPX,394.0,8888.0,32054.0,26527.0,19.604823111000186,6.952046253259268,0.6114354208521642,0.1364013162018176,0.2550134054121617,0.3798277597892006,6.104161727085542,0.20130557750039502,0.1441983416122345,100.21351469395395
17,Florida Complex League,CPX,419.0,8422.0,29539.0,23999.0,19.36812349774874,6.925319200192725,0.7777321701207911,0.15315641350066686,0.23049283044512398,0.48489691608483204,6.164907410541995,0.21771782601264741,0.1346347980470484,100.0050780324317
30,Dominican Summer League,R,823.0,27641.0,102151.0,80690.0,17.627561159460015,7.478359950412018,0.9685103741077704,0.16540592303773657,0.1970572673422431,0.6273629846852006,6.525725641452359,0.18331756869602805,0.08224820507503693,99.91901205078756
