Source League ID,League Name,League Level,Players,Total G,Total PA,Total AB,Average Age,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+
2,International League,AAA,614.0,26271.0,103883.0,89649.0,26.088436028994156,6.8143804968369075,0.5244960416567387,0.11253837901573432,0.23150322282278812,0.34694615349234514,4.903553998248029,0.23710680726262376,0.1457397782882253,100.06522722678397
4,Pacific Coast League,AAA,323.0,13065.0,54736.0,47017.0,26.833710903244665,7.592345451756405,0.6108616586803892,0.1139635123489613,0.20665443877830786,0.4224602408482448,5.180437006723181,0.253422298720085,0.13709456345158488,99.5765857936276
5,Eastern League,AA,343.0,14930.0,59691.0,51763.0,23.612822703590155,6.810050013517166,0.4576599734014032,0.10685603720368007,0.24693478333780522,0.2975486155102656,5.294711095475029,0.23180876995651956,0.14690950321326635,100.05040960948887
6,Southern League,AA,213.0,9818.0,39316.0,34044.0,23.669778207345608,6.904810436200571,0.49138583666657953,0.1085174232003668,0.2409683173859935,0.323057827195279,5.421561196459456,0.23221667218838402,0.15141406352798756,99.47873639230848
7,Texas League,AA,265.0,12316.0,50675.0,43511.0,23.860601874691664,7.306760308854937,0.5009528680231714,0.1133319078165835,0.24375299599218178,0.32500936143907116,5.4187291563887525,0.24271481415544086,0.1574392611018228,99.87338924518994
8,California League,A,232.0,9968.0,42193.0,35976.0,21.007204986609153,7.720090634441088,0.515772147602345,0.11634696544841025,0.24424874878436395,0.33354175681114656,5.960457895859502,0.22616377365659063,0.13058091079226453,99.5732704477046
9,Carolina League,A,352.0,14825.0,60018.0,50450.0,20.28969642440601,6.910129163834126,0.6082155339744666,0.1306570192725208,0.23909182109052127,0.39037732541998543,5.815871905095138,0.2354880433875678,0.11930982289003733,99.9159585457696
10,Florida State League,A,403.0,12286.0,49494.0,41698.0,20.933426273891786,6.9580158925206845,0.5761531831561947,0.1267733861144945,0.24882635360793443,0.36689040402681805,5.5094940800905166,0.23583826213946693,0.14274157985915809,100.05020810603305
11,Midwest League,A+,323.0,14560.0,60097.0,50842.0,22.04590911359968,7.386122844678346,0.5648725075012212,0.1254906998817711,0.2404817674960473,0.36031492770065965,5.4944290064395895,0.22458259854987914,0.14217480506650673,100.09429755229047
13,Northwest League,A+,163.0,7419.0,30782.0,26502.0,22.432590474952896,7.133847611314115,0.5003538008336252,0.11218485124666364,0.23845972903603108,0.32560702238814504,4.952956273146644,0.22867595784817538,0.1491235898299377,99.75920992787994
14,South Atlantic League,A+,362.0,14519.0,60550.0,51489.0,21.973228736581337,7.4487939352170915,0.5285623339126466,0.11980921882259242,0.24622654919916032,0.3386421336454941,5.642254335260116,0.23293813237948563,0.1572218811587631,99.98556564822461
16,Arizona Complex League,CPX,394.0,8888.0,32054.0,26527.0,19.604823111000186,6.952046253259268,0.6114354208521642,0.1364013162018176,0.2550134054121618,0.37982775978920064,6.104161727085543,0.20130557750039502,0.14419834161223452,100.21351469395395
17,Florida Complex League,CPX,419.0,8422.0,29539.0,23999.0,19.36812349774874,6.925319200192725,0.7777321701207911,0.1531564135006668,0.23049283044512403,0.48489691608483204,6.164907410541995,0.21771782601264741,0.1346347980470484,100.0050780324317
30,Dominican Summer League,R,823.0,27641.0,102151.0,80690.0,17.627561159460015,7.478359950412018,0.9685103741077704,0.16540592303773657,0.19705726734224313,0.6273629846852006,6.52572564145236,0.18331756869602805,0.08224820507503693,99.91901205078756
