Metric,wRC+ Correlation,N
FGPts_per_game,0.7715079741783929,5229
Approach_score,0.3708875500692978,5037
Speed_score,0.23267116336464463,5229
LD%,0.24953825377970826,5147
HR_FB_pct,0.467634958787729,5147
