Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Boston Baro,NYM,CPX,21,2,5,5,4,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.800,sa3022962
Tommy Pham,PHI,CPX,38,2,4,7,3,1,1,0,1,3,2,2,0,1,0,1,0,0,0,0,.750,2967
George Lombard Jr.,NYY,CPX,21,2,3,6,2,0,0,0,2,3,2,3,0,0,0,0,0,0,0,1,.667,sa3023233
Edward Guribe,STL,CPX,19,1,3,4,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.667,sa3024799
Brandon Butterworth,BAL,CPX,23,4,12,17,8,6,1,1,0,5,7,5,0,1,0,0,0,0,2,1,.667,sa3025264
Logan Maxwell,NYY,CPX,23,1,3,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.667,sa3076050
Jake Rucker,MIN,CPX,26,5,12,19,7,4,1,1,1,7,6,6,0,1,1,0,0,0,3,0,.583,sa3017757
Logan Driscoll,TBR,CPX,28,4,9,18,5,4,1,0,0,6,2,9,0,1,0,0,0,0,0,0,.556,25475
Jacob Melton,TBR,CPX,25,5,11,16,6,5,0,0,1,5,3,3,0,1,1,0,0,0,2,0,.545,31661
Ryan Cermak,TBR,CPX,25,5,13,19,7,4,0,0,3,8,5,3,0,4,3,0,0,0,2,1,.538,sa3020204
Brandon Forrester,HOU,CPX,22,4,13,15,7,4,2,1,0,7,5,2,0,2,0,0,0,1,5,0,.538,sa3069109
Jhonkensy Noel,BAL,CPX,24,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500,24257
Braden Shewmake,HOU,CPX,28,2,6,8,3,1,2,0,0,2,1,1,0,0,1,0,0,0,1,0,.500,25817
Alan Roden,MIN,CPX,26,2,4,8,2,1,1,0,0,1,1,4,0,1,0,0,0,0,1,0,.500,31564
Deniel Ortiz,STL,CPX,21,2,6,7,3,2,1,0,0,1,1,0,0,0,0,1,0,0,2,0,.500,sa3066597
Alejandro Urias,NYM,CPX,24,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,sa3077860
