Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Christian Bethancourt,CHC,AAA,34,249,5.6%,19.7%,0.29,.270,.320,.491,.811,.222,4.2,.287,0.1,36,2.2,.354,101,10028
Carlos Pérez,DET,AAA,35,20,20.0%,10.0%,2.00,.533,.650,1.533,2.183,1.000,2.2,.375,-0.1,11,8.1,.817,407,10642
Drew Pomeranz,CHC,AAA,37,0,0.0%,0.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,0.0,.000,-100,11426
Brandon Drury,KCR,AAA,33,212,15.6%,25.9%,0.60,.226,.354,.362,.715,.136,1.2,.299,-0.5,27,-1.9,.333,90,11615
Elias Díaz,KCR,AAA,35,35,2.9%,22.9%,0.13,.219,.286,.250,.536,.031,1.9,.292,-0.1,2,-2.6,.259,43,11680
Ben Gamel,ATL,AAA,34,225,14.7%,31.6%,0.46,.210,.333,.328,.661,.118,4.6,.313,-1.1,24,-6.2,.312,82,12160
Jorge Alfaro,KCR,AAA,33,17,5.9%,23.5%,0.25,.267,.353,.533,.886,.267,1.1,.300,0.0,3,0.6,.387,124,12180
Eugenio Suárez,CIN,AAA,34,7,0.0%,42.9%,0.00,.143,.143,.286,.429,.143,0.1,.250,0.0,0,-1.0,.181,-2,12552
Trevor Story,BOS,AAA,33,37,2.7%,29.7%,0.09,.171,.189,.200,.389,.029,1.3,.240,-0.1,0,-5.3,.178,-6,12564
Francisco Lindor,NYM,AAA,32,10,10.0%,0.0%,1.00,.222,.300,.222,.522,.000,7.1,.222,0.2,1,-0.7,.257,42,12916
Javier Báez,DET,AAA,33,8,0.0%,12.5%,0.00,.625,.625,1.000,1.625,.375,2.0,.714,0.0,4,2.5,.705,336,12979
Jorge Polanco,NYM,AAA,32,27,18.5%,7.4%,2.50,.091,.259,.364,.623,.273,0.8,.000,0.0,2,-1.4,.283,58,13152
Orlando Arcia,CIN,AAA,31,283,7.4%,16.3%,0.46,.272,.325,.498,.823,.226,4.3,.282,-1.1,42,3.6,.358,106,13185
Luke Maile,KCR,AAA,35,105,13.3%,24.8%,0.54,.202,.324,.303,.627,.101,1.6,.262,-0.2,10,-3.9,.300,69,13355
Lucas Sims,CHW,AAA,32,0,0.0%,0.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,0.0,.000,-100,13470
Tyrone Taylor,NYM,AAA,32,13,0.0%,30.8%,0.00,.417,.462,.750,1.212,.333,2.6,.571,0.0,4,2.0,.520,210,13675
Tomás Nido,BOS,AAA,32,183,8.2%,23.5%,0.35,.230,.303,.348,.651,.118,1.2,.296,-0.3,18,-6.9,.299,77,13755
Eric Haase,CHW,AAA,33,30,16.7%,16.7%,1.00,.360,.467,.560,1.027,.200,1.4,.421,-0.6,7,2.9,.457,164,14111
Andrew Velazquez,KCR,AAA,31,63,7.9%,22.2%,0.36,.259,.328,.315,.643,.056,7.5,.341,1.5,6,-2.3,.301,70,14196
Ty Blach,CHC,AAA,35,1,0.0%,100.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,-0.3,.000,-100,14361
Jake Cave,TBR,AAA,33,144,12.5%,20.8%,0.60,.232,.326,.376,.702,.144,4.8,.272,0.8,17,-2.8,.321,83,14477
Kyle Farmer,ATL,AAA,35,98,7.1%,18.4%,0.39,.256,.306,.256,.562,.000,1.0,.315,-0.3,7,-6.3,.268,55,14813
Dom Nuñez,CLE,AAA,31,131,16.0%,32.1%,0.50,.170,.305,.255,.560,.085,4.8,.246,0.3,10,-7.8,.274,57,15055
Mitch Garver,NYY,AAA,35,34,17.6%,26.5%,0.67,.179,.324,.214,.538,.036,1.2,.263,-0.1,3,-2.0,.276,57,15161
Austin Wynns,CHC,AAA,35,27,7.4%,18.5%,0.40,.136,.259,.182,.441,.045,2.0,.167,-0.1,1,-2.7,.226,19,15271
Mike Tauchman,NYM,AAA,35,33,3.0%,15.2%,0.20,.188,.212,.219,.431,.031,2.2,.222,-0.1,0,-4.1,.200,6,15274
Rowdy Tellez,ATL,AAA,31,372,12.1%,23.4%,0.52,.262,.352,.472,.824,.210,2.8,.309,-0.7,57,6.3,.363,115,15679
Cody Bellinger,NYY,AAA,30,6,0.0%,16.7%,0.00,.167,.167,.167,.333,.000,0.1,.200,0.0,0,-1.0,.153,-21,15998
Austin Slater,TBR,AAA,33,165,15.2%,25.5%,0.60,.293,.400,.429,.829,.136,3.3,.400,0.0,27,4.9,.378,120,16153
Óscar Mercado,PHI,AAA,31,84,10.7%,22.6%,0.47,.141,.262,.183,.445,.042,4.7,.173,-1.0,3,-8.3,.228,27,16375
Brian Navarreto,MIA,AAA,31,86,5.8%,23.3%,0.25,.211,.291,.329,.620,.118,3.0,.268,-0.4,7,-4.2,.286,68,16398
Sergio Alcántara,PHI,AAA,29,144,21.5%,26.4%,0.82,.223,.389,.348,.737,.125,4.5,.315,-0.1,21,1.1,.352,106,16417
Christian Arroyo,NYM,AAA,31,261,6.9%,16.9%,0.41,.278,.331,.435,.765,.156,4.9,.309,1.0,34,-0.8,.340,95,16434
Isiah Kiner-Falefa,BOS,AAA,31,35,17.1%,20.0%,0.86,.241,.371,.276,.647,.034,6.1,.318,0.5,4,-0.7,.320,84,16512
Austin Gomber,ATL,AAA,32,0,0.0%,0.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,0.0,.000,-100,16561
Jose Trevino,CIN,AAA,33,10,10.0%,30.0%,0.33,.111,.200,.222,.422,.111,2.6,.167,0.0,0,-1.2,.201,10,16725
Chadwick Tromp,ATL,AAA,31,107,10.3%,21.5%,0.48,.200,.280,.347,.628,.147,2.0,.229,-0.7,9,-5.4,.285,65,16953
Gleyber Torres,DET,AAA,29,7,14.3%,28.6%,0.50,.167,.286,.167,.452,.000,0.1,.250,0.0,0,-0.6,.237,38,16997
Alex Jackson,MIN,AAA,30,95,6.3%,32.6%,0.19,.239,.295,.511,.806,.273,4.6,.280,0.0,13,0.2,.347,98,17276
Javy Guerra,ATL,AAA,30,0,0.0%,0.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,0.0,.000,-100,17292
Michael Chavis,CIN,AAA,30,458,9.2%,21.6%,0.42,.248,.323,.449,.772,.201,2.4,.270,-2.2,61,-1.3,.340,99,17321
Eloy Jiménez,TOR,AAA,29,133,8.3%,15.8%,0.52,.286,.353,.361,.715,.076,1.4,.337,-0.3,17,-1.4,.331,96,17484
Kevin Newman,KCR,AAA,32,208,9.1%,21.6%,0.42,.225,.298,.289,.587,.064,2.7,.294,-0.2,16,-12.0,.277,54,17696
Scott Kingery,CHC,AAA,32,142,8.5%,27.5%,0.31,.200,.277,.304,.581,.104,4.0,.259,-0.1,10,-9.1,.269,46,17975
Paul DeJong,DET,AAA,32,110,19.1%,25.5%,0.75,.188,.355,.447,.802,.259,1.7,.189,-0.7,16,1.4,.359,111,18015
Dylan Moore,PHI,AAA,33,333,9.9%,25.8%,0.38,.247,.330,.390,.721,.144,6.7,.318,1.7,40,-4.7,.327,90,18042
Sam Haggerty,CIN,AAA,32,99,11.1%,27.3%,0.41,.205,.293,.273,.566,.068,3.0,.283,-0.8,7,-6.2,.270,54,18054
Garrett Stubbs,PHI,AAA,33,46,15.2%,21.7%,0.70,.289,.413,.632,1.045,.342,5.4,.320,0.5,10,4.1,.448,167,18067
LaMonte Wade Jr.,CHW,AAA,32,201,22.4%,21.4%,1.05,.250,.420,.441,.861,.191,3.1,.298,-0.2,36,8.6,.394,124,18126
