Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Adam Frazier,LAA,A,34,4,16,18,6,4,1,0,1,3,3,2,0,0,0,0,0,1,0,0,.375,15223
Sebastián Rivero,LAA,A,27,5,14,17,1,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,.071,21735
Vaughn Grissom,LAA,A,25,1,5,5,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.400,26031
Adael Amador,COL,A,23,3,9,10,4,3,1,0,0,1,1,0,0,1,0,1,0,1,0,0,.444,27962
Denzel Clarke,OAK,A,26,2,6,6,4,3,0,0,1,2,1,0,0,0,0,0,0,0,1,0,.667,29858
Wade Meckler,LAA,A,26,2,7,9,3,1,1,0,1,2,1,2,0,1,0,0,0,0,0,0,.429,31490
Nolan Schanuel,LAA,A,24,1,4,5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,.250,33189
Travis d'Arnaud,LAA,A,37,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,7739
Victor Duarte,SDP,A,25,21,64,84,18,12,4,0,2,16,17,15,0,11,1,1,0,2,5,2,.281,sa3008904
Rubel Cespedes,LAA,A,25,6,20,21,3,2,0,0,1,2,1,1,0,6,0,0,0,1,0,0,.150,sa3008953
Gleiner Diaz,SEA,A,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,sa3015501
Diosfran Cabeza,ARI,A,23,4,5,6,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,.400,sa3015517
Juan Castillo,COL,A,23,3,10,14,2,2,0,0,0,4,1,3,0,3,1,0,0,0,0,0,.200,sa3015541
Jose D. Hernandez,LAD,A,23,22,66,81,13,5,3,1,4,15,14,15,0,29,0,0,0,1,1,2,.197,sa3015557
Carlos Franco,OAK,A,23,2,6,9,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,.000,sa3015580
George Feliz,SEA,A,23,72,245,274,51,36,8,2,5,35,26,21,0,102,5,3,0,4,6,3,.208,sa3015596
Luis Mendez,COL,A,23,68,223,261,50,39,8,1,2,40,16,32,0,54,2,1,3,3,9,4,.224,sa3015650
Starlin Aguilar,SEA,A,22,75,254,276,69,43,16,0,10,29,53,22,0,74,0,0,0,9,0,1,.272,sa3015722
Adrian De Leon,ARI,A,22,16,55,70,8,3,2,0,3,11,10,11,0,25,3,0,1,1,1,0,.145,sa3015864
Cesar Quintas,SEA,A,23,93,362,417,97,58,28,2,9,56,68,39,0,89,10,6,0,5,13,3,.268,sa3016109
Ricardo Cova,SEA,A,22,80,321,354,93,60,20,4,9,59,44,22,0,50,6,4,1,7,24,7,.290,sa3016186
Jose Ramos,SFG,A,23,13,49,58,9,6,1,1,1,10,6,6,0,16,1,0,2,0,1,0,.184,sa3016541
Jose Astudillo,SFG,A,22,47,179,199,60,43,10,1,6,38,33,13,0,14,3,1,3,9,11,2,.335,sa3016548
Moises Alcala,ARI,A,23,7,17,19,4,1,1,0,2,4,3,2,0,4,0,0,0,0,0,0,.235,sa3016628
Jakey Josepha,ARI,A,22,50,169,214,42,27,13,0,2,32,18,39,1,55,0,5,0,0,17,5,.249,sa3017481
Carlos Pacheco,OAK,A,21,13,47,54,9,7,2,0,0,4,7,4,0,8,2,1,0,1,5,0,.191,sa3018455
Ronny Ugarte,COL,A,21,29,104,121,32,27,3,0,2,21,15,15,0,24,0,2,0,5,0,1,.308,sa3018460
Bryan Andrade,OAK,A,21,101,404,460,99,68,17,4,10,68,60,42,1,99,8,6,0,17,13,1,.245,sa3018467
Jonathan Linares,LAA,A,21,44,131,165,36,23,7,1,5,29,25,26,0,38,6,1,1,3,2,0,.275,sa3018475
Derek Bernard,COL,A,20,75,284,334,77,52,15,2,8,58,51,44,0,84,2,4,0,8,8,4,.271,sa3018477
Yerald Nin,ARI,A,20,44,185,207,51,39,9,2,1,27,13,20,0,49,1,0,1,3,13,4,.276,sa3018479
Roynier Hernandez,COL,A,21,6,22,32,8,5,2,0,1,7,8,9,0,5,0,1,0,0,0,1,.364,sa3018495
Mairo Martinus,LAD,A,21,94,391,421,124,76,25,8,15,87,64,20,0,91,7,3,0,9,30,5,.317,sa3018505
Alejandro Rios,ARI,A,21,9,30,34,3,3,0,0,0,1,0,2,0,19,2,0,0,0,0,0,.100,sa3018511
Oswaldo Osorio,LAD,A,21,55,188,223,48,27,7,1,13,32,39,30,0,57,3,2,0,6,1,0,.255,sa3018560
Jose Alpuria,ARI,A,21,72,261,308,80,47,14,6,13,53,51,27,0,73,16,2,2,5,24,3,.307,sa3018562
Eliezer Rivero,LAA,A,21,14,33,35,7,6,1,0,0,2,3,1,0,15,1,0,0,0,1,0,.212,sa3018937
Dervy Ventura,SEA,A,22,109,381,460,94,67,17,3,7,63,49,70,0,121,0,4,2,3,35,11,.247,sa3019218
Cesar Gonzalez,OAK,A,21,60,202,244,46,35,7,0,4,31,22,31,0,69,9,2,0,4,5,1,.228,sa3019308
Abdias De La Cruz,ARI,A,21,86,326,385,82,49,18,4,11,52,51,48,0,82,1,6,4,5,8,4,.252,sa3019401
Cruzmel Arias,COL,A,22,6,25,27,7,5,0,1,1,7,4,1,0,5,1,0,0,0,0,1,.280,sa3019527
Athanael Duarte,LAA,A,21,19,54,64,8,6,1,0,1,8,4,9,0,22,0,0,1,2,1,1,.148,sa3019630
Kevyn Castillo,LAA,A,21,98,366,438,104,66,20,6,12,75,54,62,1,74,6,3,1,5,21,8,.284,sa3019771
Adrian Rodriguez,ARI,A,22,20,63,81,9,6,2,1,0,10,3,12,0,21,5,0,1,1,3,1,.143,sa3019899
Pedro Catuy,ARI,A,20,69,258,289,62,41,12,1,8,42,30,22,0,81,5,1,3,4,21,4,.240,sa3021061
Joendry Vargas,LAD,A,20,120,515,554,151,99,34,6,12,79,84,27,0,104,6,5,0,15,24,10,.293,sa3021067
Felix Morrobel,LAA,A,20,37,95,111,19,16,3,0,0,20,7,14,0,20,0,2,0,0,5,3,.200,sa3021103
Yeiker Reyes,COL,A,20,32,113,133,30,25,2,2,1,23,13,15,0,31,0,3,2,3,5,1,.265,sa3021126
Ramon Landaeta,OAK,A,20,30,110,125,28,19,6,1,2,14,19,13,0,39,1,1,0,3,0,1,.255,sa3021131
Jeremy Ciriaco,COL,A,19,70,236,272,49,35,10,2,2,32,27,25,0,69,4,2,5,2,7,4,.208,sa3021133
Carlos Virahonda,ARI,A,20,48,187,217,51,29,10,2,10,27,57,14,0,40,13,3,0,2,3,1,.273,sa3021144
Yoiber Ocopio,SDP,A,21,66,222,262,55,34,15,1,5,43,30,26,0,59,10,1,1,4,8,1,.248,sa3021159
José Mejía,ARI,A,20,33,107,136,32,20,7,2,3,20,18,27,0,21,2,0,0,1,4,1,.299,sa3021169
Anyelo Marquez,LAA,A,20,113,404,458,96,61,19,1,15,57,57,43,0,128,6,3,2,7,10,9,.238,sa3021178
Victor Rodriguez,LAA,A,20,22,79,85,15,7,2,4,2,10,5,6,0,33,0,0,0,2,0,0,.190,sa3021183
Eliesbert Alejos,ARI,A,20,84,291,333,62,50,9,1,2,30,28,31,0,74,7,1,2,11,2,2,.213,sa3021195
Javier Herrera,LAD,A,21,68,229,276,61,44,10,4,3,53,30,40,0,61,2,3,2,5,14,2,.266,sa3021203
Yosneiker Rivas,SFG,A,20,10,41,42,12,10,1,0,1,5,7,0,0,10,0,1,0,0,0,1,.293,sa3021262
Angel Guzman,SFG,A,20,36,123,152,32,22,5,1,4,23,23,24,1,35,4,0,1,3,0,0,.260,sa3021268
Dario Reynoso,SFG,A,21,104,383,460,105,59,27,4,15,81,69,71,0,153,4,1,1,3,21,6,.274,sa3021329
Abel Lorenzo,LAD,A,20,33,124,133,26,18,6,1,1,15,14,5,0,34,3,1,0,3,7,2,.210,sa3021831
Kelvin Alcantara,SEA,A,20,4,14,15,5,3,1,0,1,3,4,1,0,6,0,0,0,0,0,0,.357,sa3021837
Samil Dishmey,LAA,A,20,26,82,90,21,12,5,2,2,9,8,6,0,33,2,0,0,1,4,2,.256,sa3021841
Sebastian De Andrade,SEA,A,20,10,29,36,6,4,2,0,0,6,1,5,0,9,2,0,0,1,1,1,.207,sa3021842
Jose Gonzalez,LAD,A,21,5,18,19,4,2,0,1,1,5,3,1,0,7,0,0,0,0,1,0,.222,sa3022196
Wilder Dalis,COL,A,19,71,277,328,86,48,19,3,16,64,68,44,0,79,4,3,0,0,23,3,.310,sa3022347
Enyervert Perez,ARI,A,20,93,329,393,73,46,16,0,11,41,56,44,0,111,10,4,0,5,1,1,.222,sa3022379
Jesus Freitez,COL,A,20,49,161,187,40,30,8,1,1,20,25,15,0,26,2,1,4,5,10,2,.248,sa3022392
Lisbel Diaz,SFG,A,20,6,24,28,6,3,0,0,3,6,6,4,0,5,0,0,0,0,0,0,.250,sa3022399
Alcides Hernandez,SDP,A,21,15,38,51,10,9,1,0,0,9,6,11,0,13,0,2,0,1,0,0,.263,sa3022446
Yimy Tovar,SDP,A,20,50,167,196,40,28,7,3,2,25,32,25,0,29,0,3,1,5,10,2,.240,sa3022486
John Wimmer,LAA,A,21,55,184,220,50,25,15,0,10,38,38,27,0,73,7,1,1,1,12,3,.272,sa3022509
Nate Nankil,OAK,A,23,23,91,105,24,17,6,0,1,20,11,10,0,17,3,1,0,2,2,0,.264,sa3022532
Myles Naylor,OAK,A,21,22,84,97,23,14,4,2,3,14,14,13,0,36,0,0,0,4,3,1,.274,sa3022605
