Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Maikol Rodriguez","SEA","DSL",19,9,0,0.333333333,0,0.222222222,0.222222222,0.555555555,0.777777777,0.333333333,7.5,0.2,0.19403394404798746,0.7784309865018983,-0.809671980045114,0.3147607644399007,50.589547674149536,"sa3068236"
"Michael Cordero","STL","DSL",17,9,0.111111111,0.333333333,0.333333333,0.428571428,0.444444444,0.857142857,1.301587301,0.428571429,0.14285714,0.5,-0.017898176796734333,2.5813207912975087,0.9932178247504966,0.5190720094574822,162.17901052913055,"sa3068237"
"Bladimir Figueredo","TBR","DSL",18,10,0.1,0.1,1,0.5,0.5,0.625,1.125,0.125,6.160714285714286,0.5,0.17613576725125313,2.818512362706141,1.0539535109872382,0.5140109837055207,164.16019316042448,"sa3068238"
"Adrian Feliz","NYY","DSL",17,7,0.142857142,0,1,0.5,0.571428571,1,1.571428571,0.5,1.60119047125,0.4,-0.017898176796734333,3.025563233601929,1.7903720373986973,0.6673782978739057,239.80462612735386,"sa3068239"
"Alfiery Matos","NYY","DSL",18,6,0.333333333,0,2,0.25,0.5,0.25,0.75,0,2.64285714,0.25,-0.017898176796734333,1.294107371221865,0.23537206019052329,0.44652634859085083,117.01144878413889,"sa3068241"
"Emmanuel Orozco","NYY","DSL",17,9,0.333333333,0,3,0.4,0.666666666,0.4,1.066666666,0,6.59719141249985,0.4,0.16420364938676357,3.279578408822389,1.6914754422753768,0.59820157289505,202.5203681522334,"sa3068242"
"Andy Mata","DET","DSL",18,7,0.142857142,0.285714285,0.5,0.333333333,0.428571428,0.333333333,0.761904761,0,1.60119047125,0.5,-0.017898176796734333,1.2269861681862337,-0.008205028016997956,0.4053207891327994,103.45920558490968,"sa3068243"
"Diego Arce","TOR","DSL",18,6,0,0.5,0,0,0.166666666,0,0.166666666,0,0.14285714,0,-0.005966058932244778,-0.4837824306517168,-1.5425177416830582,0.14430914322535196,-45.72328649645118,"sa3068247"
"Victor Garcia","CHC","DSL",18,4,0.5,0.25,2,0.5,0.75,1,1.75,0.5,6.4583333312499995,1,0.18806788511574268,2.0383498485906326,1.3325263079030714,0.7462834417819977,290.8162162447126,"sa3068328"
"Liordanys Menendez","LAA","DSL",18,4,0.25,0,1,0.5,0.5,0.5,1,0,2.9918566783201945,0.333333333,-0.45766773633658886,0.9144049201867697,0.20858137949920866,0.4597003012895584,130.15318532613725,"sa3068394"
"Junior Castillo","WSN","DSL",18,3,0,0.666666666,0,0.333333333,0.333333333,1.333333333,1.666666666,1,0.14285714,0,0,1.1322134019590648,0.602845746443394,0.6114675203959147,212.20129911193814,"sa3068397"
"Emile Torres","TBR","DSL",18,10,0,0.5,0,0.2,0.2,0.2,0.4,0,0.14285714,0.4,-0.011932117864489555,-0.26332238860991203,-2.0278812403288144,0.19968886375427247,-10.602184728310322,"sa3068398"
"Ismael Mejia","ARI","DSL",17,4,0,0,0,0,0,0,0,0,0.14285714,0,0,-0.8884848846088409,-1.594308425296402,0,-100,"sa3068401"
"Gustavo Antunez","BOS","DSL",18,3,0,0.333333333,0,0.333333333,0.333333333,1.333333333,1.666666666,1,0.14285714,0,0,1.1322134019590648,0.602845746443394,0.6114675203959147,215.0151705268507,"sa3068402"
"Wanderly De La Cruz","CIN","DSL",18,6,0.333333333,0.166666666,2,0.5,0.666666666,0.5,1.166666666,0,2.9879227053140096,0.666666666,-0.4695998542010784,2.27305228267796,1.214316971646618,0.6129337350527445,212.15840119506757,"sa3068403"
"Julio Acosta","CHC","DSL",18,6,0.166666666,0.5,0.333333333,0,0.166666666,0,0.166666666,0,7.5,0,0.3940339470282197,-0.508782433573746,-1.5675177446050874,0.14005948106447855,-46.24291572014197,"sa3068405"
"Luis Cuevas","OAK","DSL",18,5,0,0,0,0.4,0.4,0.6,1,0.2,2.5,0.4,-0.6517016803845763,1.1472837522154862,0.2650043263560348,0.4605728626251221,134.89745125166414,"sa3068407"
"Ricardo Chirinos","BAL","DSL",18,4,0.25,0,1,0.5,0.75,0.5,1.25,0,2.64285714,0.5,-0.017898176796734333,1.7633498164483141,1.057526275760753,0.6761640161275864,250.95077517795755,"sa3068408"
"Frandy Guillen","BAL","DSL",18,8,0.25,0,2,0.2,0.5,0.8,1.3,0.6,0.14285714,0,-0.017898176796734333,2.5184419791385895,1.1067948977634674,0.5476213991641998,179.97899771331643,"sa3068409"
"Moises Rangel","LAD","DSL",18,3,0.333333333,0.333333333,1,0,0.333333333,0,0.333333333,0,0.14285714,0,-0.005966058932244778,0.15758122988288492,-0.37178642563278586,0.2801189621289571,29.59158377576543,"sa3068410"
"Jose Montilla","KCR","DSL",18,1,0,1,0,0,0,0,0,0,0.14285714,0,0,-0.22212122115221022,-0.3985771063241005,0,-100,"sa3068411"
