Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Christian Bethancourt,CHC,AAA,34,67,230,249,62,39,9,0,14,35,45,14,0,49,3,0,2,8,5,1,.270,10028
Carlos Pérez,DET,AAA,35,5,15,20,8,3,0,0,5,8,10,4,0,2,1,0,0,0,0,0,.533,10642
Drew Pomeranz,CHC,AAA,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,11426
Brandon Drury,KCR,AAA,33,53,177,212,40,26,9,0,5,23,29,33,1,55,2,0,0,4,0,0,.226,11615
Elias Díaz,KCR,AAA,35,10,32,35,7,6,1,0,0,3,1,1,0,8,2,0,0,2,0,0,.219,11680
Ben Gamel,ATL,AAA,34,57,186,225,39,25,9,2,3,24,20,33,0,71,3,3,0,1,2,2,.210,12160
Jorge Alfaro,KCR,AAA,33,4,15,17,4,2,1,0,1,2,2,1,0,4,1,0,0,0,0,0,.267,12180
Eugenio Suárez,CIN,AAA,34,2,7,7,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,.143,12552
Trevor Story,BOS,AAA,33,10,35,37,6,5,1,0,0,2,3,1,0,11,0,1,0,1,0,0,.171,12564
Francisco Lindor,NYM,AAA,32,2,9,10,2,2,0,0,0,3,0,1,0,0,0,0,0,1,1,0,.222,12916
Javier Báez,DET,AAA,33,2,8,8,5,2,3,0,0,2,1,0,0,1,0,0,0,0,0,0,.625,12979
Jorge Polanco,NYM,AAA,32,8,22,27,2,0,0,0,2,3,3,5,0,2,0,0,0,0,0,0,.091,13152
Orlando Arcia,CIN,AAA,31,69,261,283,71,41,15,1,14,43,43,21,0,46,0,1,0,4,4,3,.272,13185
Luke Maile,KCR,AAA,35,28,89,105,18,13,3,0,2,12,9,14,0,26,2,0,0,3,0,0,.202,13355
Lucas Sims,CHW,AAA,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,13470
Tyrone Taylor,NYM,AAA,32,3,12,13,5,3,1,0,1,3,5,0,0,4,1,0,0,0,0,0,.417,13675
Tomás Nido,BOS,AAA,32,47,161,183,37,24,10,0,3,16,11,15,0,43,2,0,4,4,0,0,.230,13755
Eric Haase,CHW,AAA,33,7,25,30,9,6,2,0,1,3,8,5,0,5,0,0,0,0,0,1,.360,14111
Andrew Velazquez,KCR,AAA,31,18,54,63,14,11,3,0,0,12,9,5,0,14,1,1,2,0,8,0,.259,14196
Ty Blach,CHC,AAA,35,16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,14361
Jake Cave,TBR,AAA,33,41,125,144,29,19,6,0,4,15,16,18,0,30,0,1,0,3,8,1,.232,14477
Kyle Farmer,ATL,AAA,35,24,90,98,23,23,0,0,0,7,7,7,0,18,0,1,0,4,0,0,.256,14813
Dom Nuñez,CLE,AAA,31,36,106,131,18,13,3,0,2,16,12,21,0,42,1,3,0,0,3,0,.170,15055
Mitch Garver,NYY,AAA,35,9,28,34,5,4,1,0,0,3,1,6,0,9,0,0,0,1,0,0,.179,15161
Austin Wynns,CHC,AAA,35,7,22,27,3,2,1,0,0,2,1,2,0,5,2,1,0,0,0,0,.136,15271
Mike Tauchman,NYM,AAA,35,8,32,33,6,5,1,0,0,3,0,1,0,5,0,0,0,1,0,0,.188,15274
Rowdy Tellez,ATL,AAA,31,92,324,372,85,49,20,0,16,42,63,45,2,87,1,2,0,5,5,2,.262,15679
Cody Bellinger,NYY,AAA,30,2,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.167,15998
Austin Slater,TBR,AAA,33,38,140,165,41,28,10,0,3,19,13,25,1,42,0,0,0,3,2,0,.293,16153
Óscar Mercado,PHI,AAA,31,24,71,84,10,9,0,0,1,9,6,9,0,19,3,1,0,4,3,3,.141,16375
Brian Navarreto,MIA,AAA,31,23,76,86,16,9,6,0,1,7,9,5,0,20,4,1,0,2,1,1,.211,16398
Sergio Alcántara,PHI,AAA,29,35,112,144,25,15,8,0,2,23,13,31,0,38,0,1,0,0,4,1,.223,16417
Christian Arroyo,NYM,AAA,31,66,237,261,66,45,13,0,8,33,45,18,0,44,2,3,1,8,8,0,.278,16434
Isiah Kiner-Falefa,BOS,AAA,31,9,29,35,7,6,1,0,0,5,3,6,0,7,0,0,0,0,3,0,.241,16512
Austin Gomber,ATL,AAA,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,16561
