Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Ty Doucette,CIN,CPX,22,5,40.0%,0.0%,2.00,1.000,1.000,2.000,3.000,1.000,2.6,1.000,0.0,4,3.3,1.072,485,sa3030503
Landyn Vidourek,LAD,CPX,22,6,33.3%,16.7%,2.00,.500,.667,2.000,2.667,1.500,0.1,.000,0.0,4,2.9,.879,387,sa3044483
Jose Ortiz,SFG,CPX,21,6,0.0%,16.7%,0.00,.400,.500,1.600,2.100,1.200,0.1,.000,0.0,3,2.1,.750,310,sa3022693
Max Kepler,ARI,CPX,33,7,42.9%,14.3%,3.00,.333,.714,1.333,2.048,1.000,2.6,.000,0.0,3,2.3,.723,298,12144
Jackson Appel,CHW,CPX,24,7,14.3%,14.3%,1.00,.333,.714,1.333,2.048,1.000,0.1,.000,0.0,4,2.4,.731,297,sa3025367
Leo Rivas,SEA,CPX,28,16,50.0%,25.0%,2.00,.429,.750,.857,1.607,.429,6.6,1.000,0.4,7,4.7,.687,279,21009
Sebastian Walcott,TEX,CPX,20,7,14.3%,28.6%,0.50,.500,.571,1.167,1.738,.667,7.5,.667,0.2,3,2.1,.696,278,sa3021069
Ludwing Espinoza,CHC,CPX,20,9,22.2%,11.1%,2.00,.571,.667,.857,1.524,.286,2.6,.667,0.0,4,2.6,.675,269,sa3021073
Grant McCray,SFG,CPX,25,10,10.0%,10.0%,1.00,.500,.600,1.000,1.600,.500,7.5,.500,0.6,4,2.8,.666,262,25690
Mike Antico,COL,CPX,28,9,33.3%,11.1%,3.00,.400,.667,.800,1.467,.400,2.6,.500,0.0,4,2.3,.642,250,sa3016922
Luke Adams,MIL,CPX,22,16,12.5%,18.8%,0.67,.385,.500,1.154,1.654,.769,4.6,.286,0.2,7,3.9,.636,245,sa3020135
Spencer Packard,SEA,CPX,28,20,15.0%,15.0%,1.00,.438,.550,.875,1.425,.438,0.3,.455,0.0,8,4.3,.601,230,sa3016803
Braulio Cavero,TEX,CPX,20,29,13.8%,13.8%,1.00,.480,.552,.880,1.432,.400,4.2,.526,0.0,11,6.4,.610,229,sa3076518
Adam Fogel,CHW,CPX,27,17,17.6%,5.9%,3.00,.462,.529,1.000,1.529,.538,6.0,.364,0.2,7,3.6,.602,224,sa3076094
Luis Peña,MIL,CPX,19,12,16.7%,16.7%,1.00,.444,.583,.778,1.361,.333,8.8,.571,-0.2,5,2.5,.598,224,sa3024134
Luis Merejo,CLE,CPX,20,3,33.3%,0.0%,1.00,.500,.667,.500,1.167,.000,2.5,.500,-0.6,1,0.6,.587,222,sa3021196
Fernando Gonzalez,SFG,CPX,24,16,25.0%,6.3%,4.00,.364,.563,.818,1.381,.455,2.2,.333,0.0,6,3.2,.586,217,sa3032413
Clayton Gray,COL,CPX,24,20,30.0%,5.0%,6.00,.417,.632,.583,1.215,.167,7.1,.455,0.4,7,3.9,.581,215,sa3067153
Casey Cook,TEX,CPX,23,22,18.2%,18.2%,1.00,.412,.545,.824,1.369,.412,3.3,.500,0.0,8,4.3,.584,214,sa3025356
Kellon Lindsey,LAD,CPX,20,22,27.3%,40.9%,0.67,.375,.545,.813,1.358,.438,6.1,.800,0.4,8,4.1,.574,214,sa3067042
Mason Neville,CIN,CPX,22,71,21.1%,25.4%,0.83,.418,.535,.909,1.444,.491,4.7,.516,-0.2,27,14.6,.593,213,sa3038799
Konni Durschlag,SEA,CPX,24,32,25.0%,18.8%,1.33,.400,.625,.500,1.125,.100,5.3,.571,0.2,11,5.6,.563,209,sa3075707
Stuart Fairchild,SEA,CPX,30,7,0.0%,28.6%,0.00,.333,.429,1.000,1.429,.667,2.6,.333,0.0,2,1.2,.562,208,20321
Alejandro Blasco,CLE,CPX,19,100,22.0%,17.0%,1.29,.382,.510,.855,1.365,.474,8.6,.385,1.0,34,17.5,.561,207,sa3023938
Pablo Aliendo,CIN,CPX,25,25,20.0%,20.0%,1.00,.412,.600,.647,1.247,.235,6.0,.545,0.2,9,4.7,.576,203,sa3006220
Skyler Messinger,COL,CPX,27,15,20.0%,26.7%,0.75,.333,.467,.917,1.383,.583,2.0,.333,0.0,5,2.5,.554,200,sa3019963
Adrian Gil,CHW,CPX,20,9,33.3%,0.0%,3.00,.250,.667,.250,.917,.000,7.5,.250,0.4,3,1.5,.557,199,sa3021856
Logan Wagner,LAD,CPX,22,15,6.7%,20.0%,0.33,.500,.533,.643,1.176,.143,4.9,.636,0.2,5,2.4,.544,197,sa3019932
Ben Wilmes,COL,CPX,23,99,17.2%,19.2%,0.89,.405,.556,.635,1.191,.230,6.1,.519,0.8,33,15.9,.547,196,sa3077591
Alexander Frias,MIL,CPX,18,137,11.7%,15.3%,0.76,.441,.518,.678,1.196,.237,7.8,.516,-1.3,44,20.8,.538,189,sa3068835
Blake Penso,COL,CPX,24,12,0.0%,16.7%,0.00,.500,.500,.667,1.167,.167,0.6,.600,0.0,4,1.8,.533,188,sa3077842
Slate Alford,LAA,CPX,23,49,24.5%,20.4%,1.20,.389,.531,.667,1.197,.278,6.4,.480,0.6,15,7.2,.532,187,sa3025895
Rubel Cespedes,LAA,CPX,25,4,0.0%,0.0%,0.00,.333,.500,.667,1.167,.333,2.6,.333,0.0,1,0.6,.525,183,sa3008953
Aidan Redahan,COL,CPX,24,15,33.3%,26.7%,1.25,.400,.600,.400,1.000,.000,4.5,.667,0.2,5,2.1,.523,182,sa3077713
Akil Baddoo,MIL,CPX,27,7,42.9%,42.9%,1.00,.250,.571,.500,1.071,.250,2.6,1.000,0.0,2,1.0,.525,182,22168
Rylan Mills,MIL,CPX,19,24,16.7%,12.5%,1.33,.350,.458,.800,1.258,.450,3.4,.333,0.0,7,3.3,.524,182,sa3069313
Reiner Herrera,CLE,CPX,20,152,22.4%,17.1%,1.31,.324,.487,.721,1.208,.396,7.3,.325,-0.4,45,19.6,.514,180,sa3021172
Aaron Graeber,LAA,CPX,23,24,12.5%,16.7%,0.75,.381,.458,.762,1.220,.381,0.2,.400,0.0,7,3.2,.519,180,sa3076333
Ethan Conrad,CHC,CPX,21,21,9.5%,9.5%,1.00,.412,.500,.647,1.147,.235,6.3,.429,0.2,6,2.8,.517,180,sa3029266
Blake Hunt,SDP,CPX,27,28,21.4%,14.3%,1.50,.333,.500,.667,1.167,.333,1.2,.333,0.0,8,3.6,.515,178,23209
Colton Vincent,SDP,CPX,26,61,13.1%,19.7%,0.67,.413,.509,.630,1.139,.217,8.8,.529,0.6,18,7.9,.514,178,sa3023089
Davis Diaz,OAK,CPX,23,14,28.6%,7.1%,4.00,.300,.500,.700,1.200,.400,1.6,.250,0.0,4,1.9,.520,175,sa3025494
Ty Harvey,SDP,CPX,19,38,10.5%,23.7%,0.44,.424,.474,.697,1.171,.273,2.3,.522,0.0,11,4.7,.509,175,sa3069181
Cristian Arguelles,COL,CPX,19,255,11.8%,12.2%,0.97,.402,.478,.671,1.150,.269,7.8,.436,0.1,75,31.4,.508,174,sa3023968
Sebastian Baquera,TEX,CPX,19,29,10.3%,10.3%,1.00,.375,.483,.667,1.149,.292,6.3,.400,-0.6,9,3.6,.510,172,sa3023707
Alessander De La Cruz,COL,CPX,20,198,19.2%,21.7%,0.88,.372,.495,.628,1.123,.256,9.1,.477,3.0,57,23.7,.504,172,sa3021132
Jose Silva,CHC,CPX,19,82,19.5%,24.4%,0.80,.322,.500,.610,1.110,.288,9.7,.447,1.6,23,9.6,.501,170,sa3076313
Francisco Espinoza,LAD,CPX,19,57,15.8%,21.1%,0.75,.370,.474,.652,1.126,.283,4.5,.438,0.2,16,6.3,.496,169,sa3024357
Pablo Guerrero,TEX,CPX,19,22,9.1%,4.5%,2.00,.421,.500,.579,1.079,.158,1.4,.444,0.0,6,2.6,.503,168,sa3021249
Brandon Drury,KCR,CPX,33,29,24.1%,24.1%,1.00,.364,.517,.591,1.108,.227,6.0,.500,0.4,8,3.3,.500,168,11615
Eric Martinez,MIL,CPX,22,7,0.0%,42.9%,0.00,.200,.429,.800,1.229,.600,0.1,.000,0.0,2,0.8,.498,167,sa3017023
Jared Thomas,COL,CPX,22,17,17.6%,23.5%,0.75,.385,.471,.692,1.163,.308,9.1,.500,0.2,5,1.9,.496,167,sa3025252
Yael Romero,CIN,CPX,20,72,19.4%,22.2%,0.88,.314,.500,.647,1.147,.333,4.1,.394,0.0,21,8.9,.509,165,sa3021062
Sam Mongelli,LAD,CPX,25,51,9.8%,19.6%,0.50,.297,.471,.622,1.092,.324,6.4,.320,0.4,14,5.2,.485,164,sa3022511
Jake Thompson,LAA,CPX,28,8,12.5%,25.0%,0.50,.286,.375,.857,1.232,.571,2.6,.250,0.0,2,0.8,.489,163,sa3019945
Lisbel Diaz,SFG,CPX,20,13,15.4%,0.0%,2.00,.364,.462,.636,1.098,.273,10.0,.364,0.6,4,1.4,.489,162,sa3022399
Kaden Hopson,LAA,CPX,25,23,30.4%,4.3%,7.00,.154,.522,.462,.983,.308,6.2,.091,0.2,6,2.4,.487,161,sa3067443
Ian Francis,CIN,CPX,23,12,25.0%,8.3%,3.00,.250,.500,.625,1.125,.375,1.1,.167,0.0,3,1.4,.502,161,sa3076334
Ryland Zaborowski,LAA,CPX,24,44,15.9%,15.9%,1.00,.324,.477,.588,1.066,.265,2.3,.360,-0.6,12,4.4,.485,161,sa3076279
Jeffery Heard,LAA,CPX,23,75,14.7%,20.0%,0.73,.357,.493,.554,1.047,.196,7.9,.452,0.0,20,7.5,.484,160,sa3076340
Juan Martinez,MIL,CPX,19,164,17.1%,11.6%,1.47,.356,.476,.598,1.074,.242,7.3,.380,2.4,45,16.7,.486,160,sa3024128
Adrian Placencia,LAA,CPX,23,37,29.7%,21.6%,1.38,.269,.486,.577,1.063,.308,8.4,.313,0.0,10,3.7,.483,159,sa3014688
LeTrey McCollum,LAA,CPX,23,2,0.0%,50.0%,0.00,.500,.500,.500,1.000,.000,0.1,1.000,0.0,1,0.2,.481,158,sa3075490
Wuinder Torres,CLE,CPX,19,23,13.0%,13.0%,1.00,.368,.478,.526,1.005,.158,0.2,.400,0.0,6,2.0,.471,156,sa3024635
Reggie Crawford,SFG,CPX,25,17,11.8%,23.5%,0.50,.357,.471,.571,1.042,.214,6.5,.444,0.2,4,1.6,.477,155,sa3020457
Niko Kavadas,LAA,CPX,27,35,20.0%,34.3%,0.58,.333,.486,.519,1.004,.185,1.2,.571,0.0,9,3.2,.474,154,29782
Nelson Quiroz,LAD,CPX,24,30,13.3%,16.7%,0.80,.385,.467,.538,1.005,.154,4.2,.476,0.0,8,2.5,.468,154,sa3009565
Marco Argudin,TEX,CPX,20,82,17.1%,15.9%,1.08,.359,.481,.547,1.028,.188,6.6,.431,-2.0,21,7.6,.476,153,sa3067877
Eliezer Rivero,LAA,CPX,21,107,15.0%,24.3%,0.62,.317,.448,.622,1.070,.305,7.2,.407,-0.2,27,9.3,.471,152,sa3018937
Eriel Dihigo,COL,CPX,19,140,15.0%,18.6%,0.81,.351,.475,.532,1.006,.180,6.0,.440,0.2,36,12.1,.470,152,sa3023927
Gustavo Campero,LAA,CPX,28,13,7.7%,23.1%,0.33,.364,.462,.545,1.007,.182,2.6,.500,0.0,3,1.1,.469,151,22707
Carlos Santana,ARI,CPX,40,17,5.9%,11.8%,0.50,.250,.471,.500,.971,.250,2.6,.222,0.0,4,1.4,.463,150,2396
