Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Max Kepler,ARI,A+,33,2,6,7,3,2,0,0,1,1,5,1,0,1,0,0,0,0,0,0,.500,12144
Alejo Lopez,SEA,A+,30,2,8,9,4,3,1,0,0,2,3,1,0,3,0,0,0,0,0,0,.500,21127
Cal Raleigh,SEA,A+,29,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333,21534
Brendan Donovan,SEA,A+,29,5,21,23,2,2,0,0,0,0,1,0,0,5,1,1,0,1,0,0,.095,24679
Will Wilson,SEA,A+,27,2,5,6,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,.200,25434
Diego Cartaya,SFG,A+,24,10,28,35,3,2,0,0,1,4,1,6,0,23,1,0,0,0,0,0,.107,sa3008742
David Calabrese,TOR,A+,23,16,66,72,23,16,4,0,3,13,10,4,0,9,0,0,2,1,7,0,.348,sa3014507
Adrian Placencia,LAA,A+,23,52,150,202,22,11,4,0,7,24,21,47,0,69,4,1,0,3,3,1,.147,sa3014688
Diosfran Cabeza,ARI,A+,23,17,49,60,12,11,1,0,0,7,5,10,0,12,0,1,0,2,0,0,.245,sa3015517
Juan Castillo,COL,A+,23,49,168,191,36,30,3,1,2,18,16,15,0,67,1,4,2,4,0,1,.214,sa3015541
Carlos Jimenez,SEA,A+,23,102,383,453,110,61,24,5,20,68,79,66,0,95,2,2,0,2,20,14,.287,sa3015599
Axel Sanchez,SEA,A+,23,54,172,208,38,22,9,0,7,26,27,27,0,43,6,3,0,4,12,3,.221,sa3015601
Onil Perez,SFG,A+,23,37,129,143,33,22,8,0,3,17,19,10,0,22,2,2,0,2,3,0,.256,sa3015610
Alexis Hernandez,TOR,A+,23,73,275,329,78,45,17,2,14,55,53,36,0,66,10,4,4,11,11,3,.284,sa3015642
Manuel Beltre,TOR,A+,22,58,201,225,49,31,12,0,6,30,25,16,0,49,4,4,0,10,6,3,.244,sa3015710
Kenny Castillo,ARI,A+,22,85,310,338,80,53,18,1,8,32,54,20,0,73,4,4,0,10,1,1,.258,sa3015863
Adrian De Leon,ARI,A+,22,4,11,14,0,0,0,0,0,0,2,2,0,4,0,0,1,0,0,0,.000,sa3015864
Jorge Ruiz,LAA,A+,22,99,388,423,100,71,19,5,5,48,45,23,0,61,4,2,6,3,14,5,.258,sa3015873
Johan Macias,LAA,A+,23,68,229,254,55,41,8,1,5,33,34,13,0,44,3,1,8,2,5,4,.240,sa3016095
Cesar Quintas,SEA,A+,23,20,73,90,23,16,6,0,1,14,15,13,0,18,3,1,0,2,3,1,.315,sa3016109
Ricardo Cova,SEA,A+,22,23,93,95,29,18,9,2,0,13,6,2,0,16,0,0,0,4,8,0,.312,sa3016186
Jose Ramos,SFG,A+,23,31,99,126,29,21,6,0,2,19,16,25,0,25,1,1,0,1,13,2,.293,sa3016541
Jose Astudillo,SFG,A+,22,15,63,71,21,18,3,0,0,11,8,7,0,5,0,0,0,2,7,1,.333,sa3016548
Luis Suisbel,SEA,A+,23,102,383,433,99,51,27,2,19,61,58,35,0,109,11,2,2,6,6,4,.258,sa3016717
Edward Duran,TOR,A+,22,44,169,181,39,28,7,2,2,19,18,8,0,35,3,1,0,6,0,1,.231,sa3016719
Spencer Packard,SEA,A+,28,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,sa3016803
Jakey Josepha,ARI,A+,22,58,215,237,58,41,10,4,3,33,30,19,0,55,1,1,1,2,24,8,.270,sa3017481
Anthony Scull,LAA,A+,22,50,191,211,52,27,13,1,11,28,28,15,0,59,2,2,1,5,0,2,.272,sa3017988
Randy De Jesus,LAA,A+,21,94,349,392,85,47,18,1,19,50,63,35,0,139,3,3,1,10,0,0,.244,sa3018426
Modeifi Marte,ARI,A+,23,70,253,274,69,50,10,2,7,31,35,19,0,43,1,1,0,3,4,2,.273,sa3018445
Kendry Chirinos,TOR,A+,21,50,170,195,33,24,4,2,3,18,22,19,0,60,4,2,0,4,0,0,.194,sa3018453
Ruben Santana,ARI,A+,21,9,27,33,4,4,0,0,0,4,1,5,0,13,1,0,0,3,1,1,.148,sa3018468
Dario Laverde,LAA,A+,21,2,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000,sa3018470
Kelvin Hidalgo,COL,A+,21,114,413,467,104,74,15,3,12,55,50,39,0,126,6,3,6,12,20,9,.252,sa3018472
Capri Ortiz,LAA,A+,21,110,400,443,93,64,19,2,8,52,57,25,0,105,10,4,4,5,38,13,.233,sa3018473
Derek Bernard,COL,A+,20,15,50,61,11,7,3,0,1,7,5,11,0,16,0,0,0,0,2,0,.220,sa3018477
Yerald Nin,ARI,A+,20,71,237,270,57,45,5,4,3,35,25,27,0,60,1,2,1,3,22,6,.241,sa3018479
Roynier Hernandez,COL,A+,21,92,340,404,96,72,17,1,6,54,42,60,2,62,1,3,0,11,4,2,.282,sa3018495
Jose Alpuria,ARI,A+,21,6,17,25,4,2,1,0,1,5,1,7,0,2,1,0,0,2,2,1,.235,sa3018562
Jean Joseph,TOR,A+,21,20,70,81,13,6,2,1,4,9,20,7,0,11,0,4,0,1,0,0,.186,sa3018568
Alberto Barriga,ARI,A+,21,40,147,168,38,20,10,0,8,17,27,19,0,37,1,1,0,2,8,1,.259,sa3018595
