Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Kyle Farmer,ATL,AA,35,23,4.3%,17.4%,0.25,.100,.217,.250,.467,.150,2.6,.067,-0.1,1,-2.2,.224,30,14813
Jared Oliva,TBR,AA,30,1,0.0%,0.0%,0.00,.000,1.000,.000,1.000,.000,2.5,.000,0.2,0,0.4,.760,367,19968
Gustavo Campero,LAA,AA,28,193,7.8%,13.5%,0.58,.287,.375,.455,.830,.168,6.0,.309,-0.4,32,6.2,.373,126,22707
Jordyn Adams,MIL,AA,26,51,13.7%,27.5%,0.50,.190,.333,.429,.762,.238,6.3,.200,0.4,7,0.4,.343,103,23788
Jordan Groshans,ATL,AA,26,436,8.3%,19.3%,0.43,.282,.344,.588,.932,.305,3.7,.286,-2.0,82,22.4,.395,138,23794
Matthew Lugo,LAA,AA,25,159,14.5%,25.2%,0.58,.258,.382,.406,.788,.148,7.5,.345,0.2,25,3.5,.361,119,25980
Maverick Handley,ATL,AA,28,16,0.0%,37.5%,0.00,.067,.067,.067,.133,.000,0.1,.111,0.0,-2,-3.7,.061,-72,26106
Tristin English,ATL,AA,29,91,2.2%,25.3%,0.09,.250,.275,.477,.752,.227,3.2,.283,-0.2,11,-0.9,.323,92,26148
Kyren Paris,LAA,AA,24,120,10.0%,32.5%,0.31,.200,.280,.248,.527,.048,7.1,.313,-0.2,8,-8.5,.251,50,26420
Ha-Seong Kim,ATL,AA,30,13,30.8%,0.0%,4.00,.333,.538,.333,.872,.000,5.9,.333,0.1,3,1.1,.436,163,27506
Jacob Hurtubise,MIL,AA,28,100,13.0%,16.0%,0.81,.317,.430,.463,.893,.146,8.4,.388,0.3,19,5.9,.404,141,27599
Carlos Jorge,CIN,AA,22,259,9.7%,20.1%,0.48,.330,.402,.452,.854,.122,8.0,.405,1.6,46,11.1,.385,124,29455
Justyn-Henry Malloy,TBR,AA,26,42,19.0%,19.0%,1.00,.273,.429,.697,1.126,.424,2.3,.238,-0.4,11,4.9,.471,185,29606
Kenny Piper,TBR,AA,27,277,11.9%,26.4%,0.45,.264,.366,.506,.872,.243,5.8,.333,0.4,49,11.1,.382,129,29962
Seiya Suzuki,CHC,AA,31,17,11.8%,17.6%,0.67,.429,.471,.571,1.042,.143,2.6,.500,-0.1,4,1.7,.450,175,30116
Wade Meckler,LAA,AA,26,121,15.7%,16.5%,0.95,.347,.450,.525,.975,.178,6.5,.403,0.6,27,10.3,.435,165,31490
Rikuu Nishida,CHW,AA,25,54,20.4%,9.3%,2.20,.250,.434,.350,.784,.100,7.0,.286,1.0,9,2.0,.379,128,33795
Braden Montgomery,CHW,AA,23,126,16.7%,25.4%,0.66,.313,.429,.606,1.035,.293,5.3,.385,-1.0,28,11.2,.439,166,35423
Marcus Smith,CIN,AA,25,20,20.0%,55.0%,0.36,.125,.300,.125,.425,.000,5.0,.400,0.3,1,-1.7,.238,32,sa1169620
David García,MIL,AA,26,58,6.9%,25.9%,0.27,.185,.241,.315,.556,.130,4.9,.216,0.1,4,-4.2,.251,45,sa3003197
Daniel Vellojin,TBR,AA,26,109,10.1%,22.9%,0.44,.232,.321,.326,.647,.095,4.0,.300,-0.2,12,-3.1,.301,79,sa3005587
Julio Carreras,CIN,AA,26,134,9.7%,29.1%,0.33,.191,.286,.313,.599,.122,5.2,.253,0.4,12,-6.6,.277,57,sa3005598
Pablo Aliendo,CIN,AA,25,146,6.2%,34.9%,0.18,.180,.274,.352,.626,.172,1.1,.257,-0.3,14,-6.3,.284,61,sa3006220
Andy Weber,CHW,AA,28,132,9.1%,18.9%,0.48,.239,.318,.359,.677,.120,5.2,.278,-1.7,15,-2.9,.309,84,sa3008282
Eduardo Garcia,MIL,AA,23,197,10.2%,25.4%,0.40,.222,.315,.322,.636,.099,5.2,.286,-0.2,20,-6.5,.296,73,sa3008751
Alexander Ramirez,CHC,AA,23,5,40.0%,0.0%,2.00,.667,.800,1.000,1.800,.333,7.5,.667,0.4,2,1.7,.728,350,sa3008757
Alexander Vargas,CIN,AA,24,62,6.5%,11.3%,0.57,.339,.383,.393,.776,.054,6.8,.388,-0.8,9,1.1,.355,105,sa3008851
J.J. D'Orazio,LAA,AA,24,165,7.9%,21.2%,0.37,.245,.309,.408,.717,.163,2.0,.269,-0.8,20,-2.4,.318,92,sa3008876
Jose Colmenares,CHW,AA,24,81,9.9%,23.5%,0.42,.232,.325,.420,.745,.188,4.3,.271,-0.1,11,-0.2,.332,99,sa3009309
J.T. Arruda,TBR,AA,28,94,12.8%,25.5%,0.50,.321,.398,.436,.834,.115,4.5,.429,-0.7,16,3.1,.374,124,sa3010036
