Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Javier Báez,DET,A,33,6,0.0%,0.0%,0.00,.250,.500,.250,.750,.000,2.6,.250,0.0,1,0.4,.425,143,12979
Mike Tauchman,NYM,A,35,19,15.8%,15.8%,1.00,.267,.421,.400,.821,.133,2.6,.333,0.0,3,0.8,.401,127,15274
Gleyber Torres,DET,A,29,7,14.3%,14.3%,1.00,.167,.286,.667,.952,.500,0.1,.000,0.0,1,0.3,.396,126,16997
Nathan Lukes,TOR,A,31,13,23.1%,7.7%,3.00,.333,.462,.667,1.128,.333,0.1,.250,0.0,3,1.4,.478,174,18123
Andy Ibáñez,NYM,A,33,4,0.0%,0.0%,0.00,.250,.250,.250,.500,.000,0.1,.250,0.0,0,-0.4,.238,30,18819
Zach McKinstry,DET,A,31,3,0.0%,33.3%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,-0.9,.000,-100,19392
Vladimir Guerrero Jr.,TOR,A,27,3,66.7%,0.0%,2.00,1.000,1.000,2.000,3.000,1.000,1.6,1.000,0.0,2,1.5,.948,454,19611
Jesús Sánchez,TOR,A,28,7,28.6%,14.3%,2.00,.000,.286,.000,.286,.000,2.6,.000,0.0,0,-0.8,.220,20,19913
Jared Young,NYM,A,30,7,14.3%,28.6%,0.50,.167,.286,.167,.452,.000,2.6,.250,0.0,0,-0.6,.246,34,20404
Mark Kolozsvary,PHI,A,30,35,20.0%,42.9%,0.47,.160,.400,.320,.720,.160,2.6,.333,-0.1,6,0.5,.371,108,21304
Lars Nootbaar,STL,A,28,4,25.0%,25.0%,1.00,.667,.750,1.667,2.417,1.000,2.6,1.000,0.0,3,2.0,.931,447,21454
Joey Bart,PIT,A,29,2,50.0%,50.0%,1.00,.000,.500,.000,.500,.000,2.6,.000,0.0,0,0.1,.385,117,21524
Alejandro Kirk,TOR,A,27,11,18.2%,18.2%,1.00,.222,.364,.556,.919,.333,1.6,.167,0.0,2,0.5,.408,133,22581
Wenceel Pérez,DET,A,26,3,0.0%,33.3%,0.00,.000,.333,.000,.333,.000,0.1,.000,0.0,0,-0.2,.266,49,22857
Lenyn Sosa,TOR,A,26,18,5.6%,33.3%,0.17,.125,.222,.250,.472,.125,0.1,.200,0.0,1,-1.9,.232,28,22896
Ronny Mauricio,NYM,A,25,3,0.0%,0.0%,0.00,.333,.333,.333,.667,.000,2.6,.333,0.0,0,-0.1,.317,77,23698
Addison Barger,TOR,A,26,10,10.0%,10.0%,1.00,.222,.300,.889,1.189,.667,0.1,.000,0.0,2,1.1,.477,174,24598
Jared Triolo,PIT,A,28,7,28.6%,0.0%,2.00,.000,.286,.000,.286,.000,7.5,.000,0.2,0,-0.8,.220,19,25807
C.J. Stubbs,TOR,A,29,9,11.1%,33.3%,0.33,.143,.333,.143,.476,.000,2.6,.250,0.0,1,-0.6,.280,56,25814
Dominic Fletcher,PIT,A,28,14,7.1%,42.9%,0.17,.231,.286,.615,.901,.385,1.6,.333,0.0,2,0.4,.384,117,26149
Spencer Horwitz,PIT,A,28,10,30.0%,20.0%,1.50,.333,.600,.833,1.433,.500,6.8,.333,0.2,4,2.1,.606,249,26477
Robert Hassell III,PIT,A,24,12,8.3%,16.7%,0.50,.182,.250,.182,.432,.000,4.6,.222,-0.5,0,-1.3,.223,21,27482
Nick Yorke,PIT,A,24,22,22.7%,18.2%,1.25,.313,.455,.313,.767,.000,4.4,.385,-0.2,4,0.7,.391,121,27504
Trei Cruz,DET,A,27,19,21.1%,21.1%,1.00,.200,.368,.267,.635,.067,0.4,.273,0.0,2,-0.4,.331,87,27569
Pedro León,PHI,A,28,8,25.0%,12.5%,2.00,.333,.500,1.333,1.833,1.000,0.1,.000,0.0,3,2.3,.693,299,27781
Jhostynxon Garcia,PIT,A,23,25,8.0%,20.0%,0.40,.364,.400,.818,1.218,.455,2.2,.333,0.0,7,3.2,.506,190,28142
Tommy Pham,NYM,A,38,17,17.6%,17.6%,1.00,.167,.353,.250,.603,.083,2.6,.200,0.0,2,-0.5,.315,76,2967
Hao-Yu Lee,DET,A,23,12,8.3%,16.7%,0.50,.300,.333,.300,.633,.000,1.1,.333,0.0,1,-0.5,.302,70,30080
Jack Brannigan,PIT,A,25,19,21.1%,73.7%,0.29,.067,.263,.067,.330,.000,4.1,1.000,0.2,0,-2.3,.212,14,31471
Alan Roden,MIN,A,26,11,27.3%,18.2%,1.50,.375,.545,.875,1.420,.500,0.8,.400,0.0,4,2.3,.597,247,31564
Rhylan Thomas,TOR,A,26,18,5.6%,11.1%,0.50,.353,.389,.471,.859,.118,2.5,.400,-1.0,3,0.7,.399,127,31793
Gabriel Rincones Jr.,PHI,A,25,29,17.2%,20.7%,0.83,.250,.379,.417,.796,.167,6.0,.294,0.1,5,0.6,.378,112,31958
John Peck,DET,A,23,8,12.5%,50.0%,0.25,.000,.125,.000,.125,.000,0.1,.000,0.0,-1,-1.7,.096,-53,33500
Walker Jenkins,MIN,A,21,5,0.0%,0.0%,0.00,.800,.800,1.600,2.400,.800,1.6,.750,0.0,4,2.9,1.042,512,33571
Eddinson Paulino,NYM,A,23,29,10.3%,6.9%,1.50,.240,.345,.320,.665,.080,7.4,.261,-0.2,3,-0.6,.327,83,sa3009538
Sergio Tapia,DET,A,23,95,9.5%,17.9%,0.53,.202,.274,.310,.583,.107,1.1,.224,-0.2,7,-6.2,.276,55,sa3009763
Jamari Baylor,NYM,A,25,63,9.5%,31.7%,0.30,.236,.333,.509,.842,.273,5.1,.290,0.1,10,1.3,.378,113,sa3011446
Roberto Campos,DET,A,23,17,17.6%,11.8%,1.50,.214,.353,.214,.567,.000,0.6,.250,0.0,2,-0.7,.304,71,sa3014683
Hedbert Perez,TOR,A,23,12,8.3%,33.3%,0.25,.455,.500,.818,1.318,.364,4.4,.667,-0.1,4,2.3,.578,234,sa3014692
Emmanuel Rodriguez,MIN,A,23,11,0.0%,72.7%,0.00,.182,.182,.364,.545,.182,5.1,.667,0.0,0,-1.1,.234,31,sa3014693
Luis Durango,NYY,A,23,106,5.7%,11.3%,0.50,.313,.362,.365,.726,.052,7.7,.353,0.3,15,-0.5,.348,96,sa3015232
Adrian Pinto,TOR,A,23,41,17.1%,14.6%,1.17,.242,.390,.394,.784,.152,2.2,.269,-0.1,7,0.9,.379,116,sa3015542
Miguel Briceno,MIN,A,22,17,11.8%,29.4%,0.40,.133,.235,.200,.435,.067,2.6,.200,0.0,1,-1.9,.223,24,sa3015566
Jesus Castillo,PIT,A,22,6,0.0%,33.3%,0.00,.400,.500,.400,.900,.000,2.6,.667,0.0,1,0.5,.450,157,sa3015587
Javier Rivas,PIT,A,23,10,10.0%,30.0%,0.33,.556,.600,.556,1.156,.000,1.9,.833,-0.5,3,1.7,.553,218,sa3015589
Victor Arias,TOR,A,22,24,20.8%,25.0%,0.83,.105,.292,.158,.450,.053,5.8,.154,-0.1,1,-2.0,.254,41,sa3015636
Johnfrank Salazar,STL,A,22,92,8.7%,21.7%,0.40,.317,.391,.463,.855,.146,5.8,.410,0.1,17,3.6,.399,130,sa3015643
Newremberg Rondon,DET,A,22,71,11.3%,29.6%,0.38,.190,.282,.254,.536,.063,1.5,.268,-0.1,5,-5.2,.267,49,sa3015653
Omar Alfonzo,PIT,A,22,4,25.0%,0.0%,1.00,.333,.500,.667,1.167,.333,2.6,.333,0.0,1,0.6,.518,197,sa3015665
Kevin Villavicencio,NYM,A,22,54,3.7%,20.4%,0.18,.115,.148,.115,.264,.000,5.8,.146,-0.2,-2,-10.1,.134,-32,sa3015673
Jesus Hernandez,MIA,A,22,14,7.1%,28.6%,0.25,.000,.071,.000,.071,.000,0.1,.000,0.0,-2,-3.5,.055,-76,sa3015736
