Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Logan Driscoll,TBR,A,28,65,.261,3.25,27.7%,55.3%,17.0%,37.5%,12.5%,68.8%,14.6%,16.7%,11.7%,97,142,239,25475
Victor Mesa Jr.,TBR,A,24,11,.667,0.50,57.1%,14.3%,28.6%,0.0%,50.0%,57.1%,28.6%,14.3%,14.0%,21,29,50,25999
Justyn-Henry Malloy,TBR,A,26,12,.250,0.33,20.0%,20.0%,60.0%,33.3%,33.3%,60.0%,40.0%,0.0%,8.0%,22,28,50,29606
Zach Cole,HOU,A,25,25,.308,0.83,21.4%,35.7%,42.9%,16.7%,16.7%,57.1%,21.4%,21.4%,9.2%,54,66,120,31583
Kevin Made,WSN,A,23,31,.318,1.67,23.8%,47.6%,28.6%,33.3%,0.0%,50.0%,22.7%,27.3%,8.6%,47,69,116,sa3014679
Junior Tilien,ATL,A,23,67,.277,1.86,16.7%,54.2%,29.2%,28.6%,7.1%,45.8%,22.9%,31.3%,6.5%,93,153,246,sa3015187
Arxy Hernandez,CHW,A,22,123,.294,1.52,25.0%,45.2%,29.8%,32.0%,8.0%,43.7%,25.3%,31.0%,14.9%,142,287,429,sa3015693
Maikol Hernández,BAL,A,22,13,.429,0.33,42.9%,14.3%,42.9%,66.7%,0.0%,57.1%,14.3%,28.6%,6.3%,26,37,63,sa3015712
Danyer Cueva,TEX,A,22,10,.333,3.00,33.3%,50.0%,16.7%,100.0%,0.0%,50.0%,16.7%,33.3%,20.0%,9,26,35,sa3015725
Gabriel Silva,KCR,A,22,71,.088,0.36,18.9%,21.6%,59.5%,40.9%,13.6%,67.6%,16.2%,16.2%,18.7%,96,172,268,sa3015865
Jose Perez,TBR,A,22,13,.429,1.50,28.6%,42.9%,28.6%,50.0%,0.0%,14.3%,57.1%,28.6%,11.1%,29,34,63,sa3016162
Eric Martinez,MIL,A,22,22,.300,3.00,20.0%,60.0%,20.0%,50.0%,0.0%,70.0%,0.0%,30.0%,12.6%,34,61,95,sa3017023
Geuri Lubo,CHC,A,22,152,.207,1.48,18.9%,48.4%,32.6%,22.6%,19.4%,51.0%,20.4%,28.6%,12.1%,232,340,572,sa3017122
Reed Trimble,BAL,A,26,6,.000,2.00,0.0%,66.7%,33.3%,0.0%,100.0%,66.7%,33.3%,0.0%,7.7%,13,13,26,sa3017180
Branden Boissiere,WSN,A,26,17,.300,0.83,8.3%,41.7%,50.0%,33.3%,33.3%,33.3%,33.3%,33.3%,13.6%,23,36,59,sa3017558
Cristhian Vaquero,WSN,A,21,101,.367,0.83,19.2%,36.5%,44.2%,26.1%,17.4%,45.3%,20.8%,34.0%,16.0%,153,253,406,sa3018403
Alexis Hernandez,CHC,A,21,486,.330,1.48,29.0%,42.3%,28.7%,18.8%,5.0%,39.4%,19.9%,40.8%,10.1%,790,1129,1919,sa3018413
Victor Izturis,CLE,A,21,129,.225,1.18,22.8%,41.8%,35.4%,21.4%,7.1%,31.7%,28.0%,40.2%,9.0%,219,281,500,sa3018428
Kenni Gomez,HOU,A,21,131,.256,1.07,25.0%,38.8%,36.3%,20.7%,0.0%,46.3%,20.7%,32.9%,13.2%,193,321,514,sa3018430
Henry Ramos,KCR,A,21,426,.313,2.29,21.1%,54.9%,23.9%,26.5%,10.3%,33.9%,23.6%,42.5%,9.8%,630,1025,1655,sa3018432
Marcos Torres,TEX,A,21,331,.299,1.33,22.8%,44.1%,33.2%,22.4%,14.9%,42.0%,23.4%,34.6%,15.2%,459,789,1248,sa3018449
