Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Andy Ibáñez,NYM,A+,33,5,20,22,12,10,1,0,1,5,4,1,0,2,1,0,0,0,0,0,.600,18819
Sean Murphy,ATL,A+,31,4,9,11,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,.000,19352
René Pinto,PHI,A+,29,4,12,12,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.250,19859
Mark Kolozsvary,PHI,A+,30,4,12,19,4,2,0,0,2,3,3,7,0,6,0,0,0,0,1,0,.333,21304
Michael Siani,BAL,A+,26,2,8,9,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,.000,22557
Luis Vázquez,BAL,A+,26,8,32,34,10,6,4,0,0,6,7,1,0,12,1,0,0,0,5,1,.313,23442
Liover Peguero,PHI,A+,25,6,24,25,2,2,0,0,0,0,0,1,0,7,0,0,0,1,0,0,.083,24273
Grae Kessinger,NYM,A+,28,6,20,29,3,0,3,0,0,6,5,6,0,9,3,0,0,0,0,0,.150,25813
Maverick Handley,ATL,A+,28,5,11,15,4,3,1,0,0,2,1,1,0,4,2,1,0,0,0,1,.364,26106
Pedro León,PHI,A+,28,6,24,25,6,1,3,1,1,2,4,1,0,8,0,0,0,0,1,0,.250,27781
Jhostynxon Garcia,PIT,A+,23,3,11,12,2,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,.182,28142
Justyn-Henry Malloy,TBR,A+,26,5,19,26,9,5,1,0,3,6,6,7,0,4,0,0,0,1,0,1,.474,29606
Jack Brannigan,PIT,A+,25,4,14,16,5,3,0,0,2,3,2,1,0,4,1,0,0,0,0,0,.357,31471
Tim Elko,CHW,A+,27,5,20,22,3,1,2,0,0,0,0,2,0,12,0,0,0,0,0,0,.150,31522
Jackson Holliday,BAL,A+,22,2,8,9,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,.250,31781
Gabriel Rincones Jr.,PHI,A+,25,3,9,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,.000,31958
Freuddy Batista,HOU,A+,26,53,183,210,49,34,8,0,7,29,37,17,0,38,7,3,0,9,4,1,.268,sa3002866
Hemmanuel Rosario,HOU,A+,25,6,22,22,6,4,0,0,2,3,6,0,0,5,0,0,0,0,0,0,.273,sa3005130
Arturo De Freitas,TEX,A+,25,29,100,111,23,12,6,0,5,17,19,8,0,41,1,1,1,1,0,0,.230,sa3005939
Jose Colmenares,PHI,A+,24,36,126,154,35,25,6,1,3,22,19,25,0,41,2,1,0,3,5,9,.278,sa3009309
Eddinson Paulino,NYM,A+,23,10,27,36,6,4,0,1,1,5,6,9,0,8,0,0,0,0,1,0,.222,sa3009538
Brandon Lewis,PHI,A+,27,29,104,118,19,10,4,0,5,11,15,12,2,35,1,1,0,1,0,0,.183,sa3010035
Jamari Baylor,NYM,A+,25,31,90,118,23,15,4,1,3,15,15,22,0,24,5,0,0,1,9,2,.256,sa3011446
Wuilfredo Antunez,PHI,A+,24,17,61,69,17,14,2,0,1,5,12,7,0,13,0,0,0,3,5,1,.279,sa3011578
Erick Brito,PHI,A+,24,3,9,12,1,1,0,0,0,0,0,3,0,2,0,0,0,0,2,1,.111,sa3011753
Jhon Diaz,TBR,A+,23,45,159,176,33,21,7,0,5,17,22,15,0,44,0,0,2,2,8,2,.208,sa3014710
Vincent Perozo,NYM,A+,23,18,62,69,16,14,0,0,2,4,7,5,0,13,2,0,0,1,1,0,.258,sa3015188
Narbe Cruz,HOU,A+,25,18,60,68,17,13,3,0,1,9,4,4,0,15,3,1,0,2,0,1,.283,sa3015205
Luis Durango,NYY,A+,23,32,95,107,33,26,5,2,0,16,6,7,0,13,1,0,4,0,18,3,.347,sa3015232
Jesus Castillo,PIT,A+,22,3,13,14,5,4,1,0,0,3,4,1,0,2,0,0,0,0,1,0,.385,sa3015587
Miguel Villarroel,WSN,A+,24,9,28,31,7,3,1,2,1,5,1,3,0,4,0,0,0,0,1,1,.250,sa3015631
Kevin Villavicencio,NYM,A+,22,22,70,73,13,6,3,1,3,8,10,2,0,16,0,0,1,2,5,0,.186,sa3015673
Arxy Hernandez,CHW,A+,22,51,190,212,47,31,9,0,7,26,25,17,0,54,3,1,1,8,0,0,.247,sa3015693
Shalin Polanco,PIT,A+,22,70,228,271,46,27,5,3,11,39,36,35,0,76,2,4,2,3,7,2,.202,sa3015699
Maikol Hernández,BAL,A+,22,20,61,69,8,6,1,0,1,5,7,7,0,20,0,0,1,2,1,0,.131,sa3015712
Yeison Morrobel,TEX,A+,22,75,300,339,89,59,14,2,14,59,59,35,0,57,1,2,1,9,2,4,.297,sa3015720
Ronald Hernandez,NYM,A+,22,107,376,454,77,51,14,2,10,52,50,70,0,113,6,2,0,4,24,2,.205,sa3015738
Yasmil Bucce,BAL,A+,21,58,175,224,40,21,8,0,11,27,41,45,0,71,4,0,0,0,2,1,.229,sa3015739
Gleider Figuereo,TEX,A+,22,116,426,493,101,60,20,2,19,69,72,60,0,111,5,2,0,4,11,3,.237,sa3015813
