Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Adam Frazier,LAA,A,34,18,11.1%,0.0%,2.00,.375,.444,.625,1.069,.250,1.3,.333,0.0,5,1.8,.469,164,15223
Sebastián Rivero,LAA,A,27,17,11.8%,5.9%,2.00,.071,.235,.071,.307,.000,1.6,.077,0.0,0,-2.6,.192,0,21735
Vaughn Grissom,LAA,A,25,5,0.0%,20.0%,0.00,.400,.400,.400,.800,.000,2.6,.500,0.0,1,0.1,.375,108,26031
Adael Amador,COL,A,23,10,0.0%,10.0%,0.00,.444,.400,.556,.956,.111,1.1,.444,0.0,2,0.4,.408,131,27962
Denzel Clarke,OAK,A,26,6,0.0%,0.0%,0.00,.667,.667,1.167,1.833,.500,6.0,.600,0.2,3,2.3,.785,350,29858
Wade Meckler,LAA,A,26,9,22.2%,11.1%,2.00,.429,.556,1.000,1.556,.571,1.1,.400,0.0,4,2.2,.626,258,31490
Nolan Schanuel,LAA,A,24,5,0.0%,20.0%,0.00,.250,.200,.500,.700,.250,0.1,.250,0.0,0,-0.5,.253,36,33189
Travis d'Arnaud,LAA,A,37,4,0.0%,0.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,-1,-1.3,.000,-100,7739
Victor Duarte,SDP,A,25,84,17.9%,13.1%,1.36,.281,.420,.438,.857,.156,5.4,.308,-0.3,16,3.2,.400,125,sa3008904
Rubel Cespedes,LAA,A,25,21,4.8%,28.6%,0.17,.150,.190,.300,.490,.150,1.6,.154,0.0,0,-2.7,.216,14,sa3008953
Gleiner Diaz,SEA,A,22,0,0.0%,0.0%,0.00,.000,.000,.000,.000,.000,0.1,.000,0.0,0,0.0,.000,-100,sa3015501
Diosfran Cabeza,ARI,A,23,6,0.0%,0.0%,0.00,.400,.500,.400,.900,.000,2.6,.400,0.0,1,0.5,.445,152,sa3015517
