Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Enrique Hernández,LAD,AAA,34,19,66,72,17,11,4,1,1,10,6,5,0,14,0,1,0,2,0,0,.258,10472
Carlos Pérez,HOU,AAA,35,57,212,238,47,26,13,0,8,21,28,24,1,47,1,1,0,7,1,0,.222,10642
Yolmer Sánchez,LAA,AAA,34,113,385,458,106,71,26,2,7,58,69,53,2,104,12,6,2,4,18,5,.275,11602
Max Kepler,ARI,AAA,33,6,21,24,6,5,1,0,0,1,0,3,0,4,0,0,0,3,1,0,.286,12144
James McCann,ARI,AAA,36,3,12,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,12859
Teoscar Hernández,LAD,AAA,33,4,14,16,3,0,0,0,3,4,6,2,0,4,0,0,0,1,0,0,.214,13066
Patrick Wisdom,SEA,AAA,34,69,261,299,78,32,13,1,32,58,72,34,1,76,3,1,0,0,4,2,.299,13602
Mookie Betts,LAD,AAA,33,2,5,6,2,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.400,13611
Jeimer Candelario,LAA,AAA,32,88,334,387,94,54,19,6,15,61,56,48,0,113,4,1,0,3,3,3,.281,13621
Chris Taylor,LAA,AAA,35,32,106,132,27,20,7,0,0,22,15,20,0,35,3,2,1,3,3,1,.255,13757
Rob Refsnyder,SEA,AAA,35,7,29,32,6,5,0,0,1,4,3,3,0,8,0,0,0,0,0,0,.207,13770
Eric Haase,SFG,AAA,33,9,36,40,9,5,2,0,2,6,8,2,0,13,1,1,0,0,0,0,.250,14111
Andrew Velazquez,ARI,AAA,31,40,146,167,40,30,6,1,3,20,21,14,0,39,0,1,3,2,5,2,.274,14196
Joey Meneses,OAK,AAA,34,112,458,515,144,100,27,1,16,72,109,44,1,59,4,9,0,22,0,0,.314,14366
Trey Mancini,LAA,AAA,34,52,183,224,50,27,17,0,6,40,29,32,0,49,2,6,0,8,3,0,.273,15149
Adam Frazier,LAA,AAA,34,6,23,25,5,3,2,0,0,2,2,2,0,3,0,0,0,3,0,0,.217,15223
