Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Jose Trevino,CIN,A+,33,1,2,3,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.000,16725
Ke'Bryan Hayes,CIN,A+,29,2,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.167,18577
John Peck,DET,A+,23,3,8,10,1,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,.125,33500
Cooper Pratt,MIL,A+,21,1,2,3,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,.500,33530
Walker Jenkins,MIN,A+,21,3,11,12,5,4,0,0,1,3,2,1,0,2,0,0,0,0,0,0,.455,33571
Marcus Smith,CIN,A+,25,29,103,122,24,13,4,2,5,14,17,16,0,40,0,2,1,1,4,0,.233,sa1169620
David García,MIL,A+,26,32,102,116,22,17,3,0,2,15,8,12,0,30,1,1,0,5,0,0,.216,sa3003197
Julio Carreras,CIN,A+,26,31,119,142,35,20,11,1,3,24,14,16,0,24,5,1,1,3,7,2,.294,sa3005598
Andrick Nava,MIL,A+,24,10,34,38,10,6,3,0,1,6,6,3,0,11,0,1,0,0,0,1,.294,sa3010693
Roberto Campos,DET,A+,23,11,42,51,14,13,0,1,0,7,7,9,0,11,0,0,0,2,0,1,.333,sa3014683
Jose Salas,MIN,A+,23,40,145,163,31,17,6,1,7,26,27,9,0,51,8,1,0,4,6,2,.214,sa3014690
Emmanuel Rodriguez,MIN,A+,23,6,19,27,8,7,1,0,0,1,3,6,0,2,2,0,0,0,0,0,.421,sa3014693
Reginald Preciado,CHC,A+,23,27,103,112,27,18,7,0,2,17,18,7,0,40,2,0,0,1,1,0,.262,sa3014702
Yerlin Confidan,CIN,A+,23,72,275,316,69,48,13,1,7,40,45,35,0,69,3,3,0,7,6,3,.251,sa3015176
Junior Tilien,DET,A+,23,49,174,192,34,24,9,0,1,19,16,17,1,42,1,0,0,5,0,0,.195,sa3015187
Blayberg Diaz,MIL,A+,23,48,142,157,32,26,6,0,0,13,20,11,0,36,3,1,0,3,0,0,.225,sa3015352
Diego Guzman,KCR,A+,22,31,91,102,14,10,3,1,0,15,10,11,0,39,0,0,0,1,4,1,.154,sa3015365
Johnny Ascanio,CIN,A+,22,35,100,122,21,16,5,0,0,14,9,15,0,25,5,1,1,1,0,0,.210,sa3015526
Maick Collado,CLE,A+,23,33,121,136,32,23,6,0,3,18,15,12,0,27,1,2,0,3,1,1,.264,sa3015534
Esteban González,CLE,A+,23,84,275,321,64,34,15,2,13,45,37,36,0,95,8,1,0,3,22,3,.233,sa3015535
Kevin Rivas,CLE,A+,23,25,68,81,5,2,2,0,1,5,4,13,0,41,0,0,0,1,0,0,.074,sa3015539
Jose D. Hernandez,LAD,A+,23,35,108,125,26,19,4,0,3,18,12,16,0,22,1,0,0,3,2,2,.241,sa3015557
Jose Meza,LAD,A+,23,101,363,423,89,66,12,1,10,53,55,51,0,103,6,3,0,14,13,7,.245,sa3015558
Miguel Briceno,MIN,A+,22,49,154,173,44,34,5,0,5,24,23,18,0,31,0,1,0,0,0,1,.286,sa3015566
Carlos Franco,OAK,A+,23,42,139,163,24,15,6,0,3,14,23,21,0,24,0,3,0,7,1,0,.173,sa3015580
