Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Andy Ibáñez,NYM,A+,33,22,.647,3.00,33.3%,50.0%,16.7%,33.3%,33.3%,33.3%,33.3%,33.3%,13.8%,23,42,65,18819
Sean Murphy,ATL,A+,31,11,.000,0.40,0.0%,28.6%,71.4%,0.0%,0.0%,85.7%,14.3%,0.0%,9.8%,20,21,41,19352
René Pinto,PHI,A+,29,12,.375,1.00,25.0%,37.5%,37.5%,0.0%,0.0%,25.0%,75.0%,0.0%,27.9%,11,32,43,19859
Mark Kolozsvary,PHI,A+,30,19,.500,1.00,33.3%,33.3%,33.3%,0.0%,100.0%,50.0%,33.3%,16.7%,12.5%,40,40,80,21304
Michael Siani,BAL,A+,26,9,.000,0.50,0.0%,33.3%,66.7%,50.0%,0.0%,33.3%,0.0%,66.7%,24.4%,12,29,41,22557
Luis Vázquez,BAL,A+,26,34,.500,0.71,40.0%,25.0%,35.0%,0.0%,0.0%,35.0%,40.0%,25.0%,18.2%,37,84,121,23442
Liover Peguero,PHI,A+,25,25,.118,2.00,11.8%,58.8%,29.4%,20.0%,0.0%,47.1%,23.5%,29.4%,17.9%,33,62,95,24273
Grae Kessinger,NYM,A+,28,29,.273,1.00,45.5%,27.3%,27.3%,33.3%,0.0%,36.4%,45.5%,18.2%,10.6%,62,70,132,25813
Maverick Handley,ATL,A+,28,15,.500,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,62.5%,25.0%,12.5%,13.0%,26,28,54,26106
Pedro León,PHI,A+,28,25,.333,0.27,12.5%,18.8%,68.8%,45.5%,9.1%,43.8%,12.5%,43.8%,17.5%,25,55,80,27781
Jhostynxon Garcia,PIT,A+,23,12,.286,5.00,28.6%,71.4%,0.0%,0.0%,0.0%,42.9%,42.9%,14.3%,21.4%,15,27,42,28142
Justyn-Henry Malloy,TBR,A+,26,26,.500,0.43,33.3%,20.0%,46.7%,14.3%,42.9%,46.7%,40.0%,13.3%,7.7%,52,65,117,29606
Jack Brannigan,PIT,A+,25,16,.375,0.60,20.0%,30.0%,50.0%,0.0%,40.0%,50.0%,40.0%,10.0%,13.1%,24,37,61,31471
Tim Elko,CHW,A+,27,22,.375,1.50,37.5%,37.5%,25.0%,0.0%,0.0%,37.5%,50.0%,12.5%,21.6%,35,67,102,31522
Jackson Holliday,BAL,A+,22,9,.250,0.25,28.6%,14.3%,57.1%,0.0%,0.0%,50.0%,0.0%,50.0%,5.4%,18,19,37,31781
Gabriel Rincones Jr.,PHI,A+,25,12,.000,1.00,33.3%,33.3%,33.3%,50.0%,0.0%,33.3%,0.0%,66.7%,6.5%,23,23,46,31958
Freuddy Batista,HOU,A+,26,210,.298,1.18,24.6%,40.8%,34.5%,16.3%,14.3%,47.3%,20.5%,32.2%,13.5%,270,483,753,sa3002866
Hemmanuel Rosario,HOU,A+,25,22,.267,0.86,18.8%,37.5%,43.8%,42.9%,28.6%,52.9%,5.9%,41.2%,21.2%,19,47,66,sa3005130
Arturo De Freitas,TEX,A+,25,111,.327,0.95,25.9%,36.2%,37.9%,9.1%,22.7%,46.7%,31.7%,21.7%,15.1%,175,308,483,sa3005939
Jose Colmenares,PHI,A+,24,154,.386,1.14,30.2%,37.2%,32.6%,32.1%,10.7%,46.5%,26.7%,26.7%,11.8%,253,356,609,sa3009309
Eddinson Paulino,NYM,A+,23,36,.278,0.75,26.3%,31.6%,42.1%,25.0%,12.5%,47.4%,21.1%,31.6%,14.1%,75,88,163,sa3009538
Brandon Lewis,PHI,A+,27,118,.215,0.76,27.1%,31.4%,41.4%,24.1%,17.2%,47.1%,20.0%,32.9%,20.5%,150,285,435,sa3010035
Jamari Baylor,NYM,A+,25,118,.317,2.20,25.0%,51.6%,23.4%,6.7%,20.0%,56.3%,17.2%,26.6%,13.3%,211,264,475,sa3011446
Wuilfredo Antunez,PHI,A+,24,69,.340,1.06,29.8%,36.2%,34.0%,31.3%,6.3%,39.6%,16.7%,43.8%,15.0%,88,178,266,sa3011578
Erick Brito,PHI,A+,24,12,.143,3.00,50.0%,50.0%,0.0%,0.0%,0.0%,71.4%,14.3%,14.3%,4.4%,19,26,45,sa3011753
Jhon Diaz,TBR,A+,23,176,.255,2.00,14.3%,57.1%,28.6%,28.1%,15.6%,42.2%,25.0%,32.8%,12.4%,229,434,663,sa3014710
Vincent Perozo,NYM,A+,23,69,.298,1.44,18.8%,47.9%,33.3%,18.8%,12.5%,55.1%,18.4%,26.5%,12.1%,70,153,223,sa3015188
Narbe Cruz,HOU,A+,25,68,.356,2.60,20.0%,57.8%,22.2%,10.0%,10.0%,47.8%,19.6%,32.6%,11.8%,76,169,245,sa3015205
Luis Durango,NYY,A+,23,107,.402,4.82,19.0%,67.1%,13.9%,36.4%,0.0%,36.5%,28.2%,35.3%,6.6%,118,258,376,sa3015232
Jesus Castillo,PIT,A+,22,14,.455,1.33,36.4%,36.4%,27.3%,33.3%,0.0%,36.4%,27.3%,36.4%,9.5%,16,26,42,sa3015587
Miguel Villarroel,WSN,A+,24,31,.261,1.63,12.5%,54.2%,33.3%,0.0%,12.5%,20.8%,37.5%,41.7%,10.1%,46,73,119,sa3015631
Kevin Villavicencio,NYM,A+,22,73,.196,0.92,13.2%,41.5%,45.3%,33.3%,12.5%,50.9%,23.6%,25.5%,11.1%,74,179,253,sa3015673
Arxy Hernandez,CHW,A+,22,212,.308,0.65,16.8%,32.8%,50.4%,20.3%,10.1%,45.3%,24.1%,30.7%,15.9%,257,508,765,sa3015693
