Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Kyle Farmer,ATL,AA,35,7,20,23,2,1,0,0,1,5,3,1,0,4,2,0,0,0,0,0,.100,14813
Jared Oliva,TBR,AA,30,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,.000,19968
Gustavo Campero,LAA,AA,28,44,167,193,48,32,10,0,6,40,27,15,0,26,9,1,0,4,11,4,.287,22707
Jordyn Adams,MIL,AA,26,12,42,51,8,4,1,0,3,8,10,7,0,14,2,0,0,1,3,0,.190,23788
Jordan Groshans,ATL,AA,26,103,393,436,111,57,18,6,30,57,81,36,0,84,3,4,0,8,1,2,.282,23794
Matthew Lugo,LAA,AA,25,39,128,159,33,22,6,2,3,19,26,23,0,40,4,2,1,1,11,3,.258,25980
Maverick Handley,ATL,AA,28,4,15,16,1,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,.067,26106
Tristin English,ATL,AA,29,24,88,91,22,13,3,1,5,10,20,2,0,23,1,0,0,2,0,0,.250,26148
Kyren Paris,LAA,AA,24,31,105,120,21,17,3,1,0,12,12,12,0,39,0,1,1,4,8,3,.200,26420
Ha-Seong Kim,ATL,AA,30,4,9,13,3,3,0,0,0,3,0,4,0,0,0,0,0,0,1,0,.333,27506
Jacob Hurtubise,MIL,AA,28,26,82,100,26,18,4,4,0,18,19,13,0,16,4,1,0,0,6,1,.317,27599
Carlos Jorge,CIN,AA,22,59,230,259,76,63,4,3,6,45,32,25,0,52,3,1,0,3,23,4,.330,29455
Justyn-Henry Malloy,TBR,AA,26,9,33,42,9,3,2,0,4,6,11,8,0,8,1,0,0,1,1,1,.273,29606
Kenny Piper,TBR,AA,27,66,235,277,62,28,22,1,11,38,42,33,0,73,6,2,1,1,11,2,.264,29962
Seiya Suzuki,CHC,AA,31,5,14,17,6,4,2,0,0,5,1,2,0,3,0,1,0,0,0,0,.429,30116
Wade Meckler,LAA,AA,26,28,101,121,35,26,4,1,4,19,13,19,0,20,0,0,1,0,6,0,.347,31490
Rikuu Nishida,CHW,AA,25,11,40,54,10,6,4,0,0,10,2,11,0,5,2,0,1,0,6,0,.250,33795
Braden Montgomery,CHW,AA,23,27,99,126,31,17,5,3,6,20,22,21,0,32,2,4,0,3,2,2,.313,35423
Marcus Smith,CIN,AA,25,6,16,20,2,2,0,0,0,1,1,4,0,11,0,0,0,0,2,0,.125,sa1169620
