Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Max Kepler,ARI,A+,33,7,14.3%,14.3%,1.00,.500,.571,1.000,1.571,.500,0.1,.500,0.0,3,1.8,.651,290,12144
Alejo Lopez,SEA,A+,30,9,11.1%,33.3%,0.33,.500,.556,.625,1.181,.125,2.0,.800,0.0,3,1.4,.533,210,21127
Cal Raleigh,SEA,A+,29,3,0.0%,33.3%,0.00,.333,.333,.333,.667,.000,0.1,.500,0.0,0,-0.1,.308,70,21534
Brendan Donovan,SEA,A+,29,23,0.0%,21.7%,0.00,.095,.130,.095,.226,.000,0.1,.118,0.0,-1,-4.6,.114,-52,24679
Will Wilson,SEA,A+,27,6,16.7%,33.3%,0.50,.200,.333,.400,.733,.200,0.1,.333,0.0,1,-0.1,.336,87,25434
Diego Cartaya,SFG,A+,24,35,17.1%,65.7%,0.26,.107,.286,.214,.500,.107,1.9,.500,-0.1,2,-2.7,.259,48,sa3008742
David Calabrese,TOR,A+,23,72,5.6%,12.5%,0.44,.348,.386,.545,.931,.197,6.6,.370,1.3,14,4.0,.411,143,sa3014507
Adrian Placencia,LAA,A+,23,202,23.3%,34.2%,0.68,.147,.361,.313,.675,.167,3.2,.200,-0.3,25,-2.6,.333,97,sa3014688
Diosfran Cabeza,ARI,A+,23,60,16.7%,20.0%,0.83,.245,.367,.265,.632,.020,1.5,.316,-0.1,7,-1.7,.315,80,sa3015517
Juan Castillo,COL,A+,23,191,7.9%,35.1%,0.22,.214,.277,.280,.556,.065,3.2,.330,-0.8,12,-14.3,.261,39,sa3015541
Carlos Jimenez,SEA,A+,23,453,14.6%,21.0%,0.69,.287,.393,.533,.926,.245,6.0,.333,-3.6,87,23.9,.408,132,sa3015599
Axel Sanchez,SEA,A+,23,208,13.0%,20.7%,0.63,.221,.341,.395,.737,.174,5.1,.248,0.6,27,-1.6,.338,88,sa3015601
Onil Perez,SFG,A+,23,143,7.0%,15.4%,0.45,.256,.315,.388,.702,.132,4.6,.283,0.4,16,-3.7,.318,85,sa3015610
Alexis Hernandez,TOR,A+,23,329,10.9%,20.1%,0.55,.284,.382,.513,.894,.229,6.2,.322,0.2,59,13.7,.395,134,sa3015642
Manuel Beltre,TOR,A+,22,225,7.1%,21.8%,0.33,.244,.307,.393,.700,.149,4.5,.287,-0.6,25,-6.4,.314,83,sa3015710
Kenny Castillo,ARI,A+,22,338,5.9%,21.6%,0.27,.258,.308,.400,.708,.142,2.6,.309,-0.8,38,-8.8,.317,81,sa3015863
Adrian De Leon,ARI,A+,22,14,14.3%,28.6%,0.50,.000,.154,.000,.154,.000,0.1,.000,0.0,-1,-2.8,.115,-45,sa3015864
Jorge Ruiz,LAA,A+,22,423,5.4%,14.4%,0.38,.258,.305,.371,.676,.113,6.4,.293,-0.2,44,-14.9,.307,80,sa3015873
Johan Macias,LAA,A+,23,254,5.1%,17.3%,0.30,.240,.289,.349,.638,.109,5.0,.276,-1.3,23,-12.4,.291,70,sa3016095
