Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Kyle Farmer,ATL,AA,35,23,.067,0.78,0.0%,43.8%,56.3%,0.0%,11.1%,37.5%,12.5%,50.0%,8.9%,23,56,79,14813
Jared Oliva,TBR,AA,30,1,.000,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,1,1,2,19968
Gustavo Campero,LAA,AA,28,193,.309,1.14,21.6%,41.7%,36.7%,17.6%,11.8%,44.0%,30.5%,25.5%,11.1%,272,470,742,22707
Jordyn Adams,MIL,AA,26,51,.200,0.67,10.7%,35.7%,53.6%,20.0%,20.0%,57.1%,21.4%,21.4%,13.1%,76,122,198,23788
Jordan Groshans,ATL,AA,26,436,.286,0.68,26.0%,29.9%,44.2%,22.8%,22.1%,46.0%,25.9%,28.1%,11.7%,608,1053,1661,23794
Matthew Lugo,LAA,AA,25,159,.345,0.67,27.0%,29.2%,43.8%,23.1%,7.7%,40.0%,18.9%,41.1%,12.7%,247,377,624,25980
Maverick Handley,ATL,AA,28,16,.111,1.33,22.2%,44.4%,33.3%,66.7%,0.0%,66.7%,22.2%,11.1%,22.2%,17,37,54,26106
Tristin English,ATL,AA,29,91,.283,1.47,27.7%,43.1%,29.2%,21.1%,26.3%,45.5%,21.2%,33.3%,16.1%,97,208,305,26148
Kyren Paris,LAA,AA,24,120,.313,2.00,15.6%,56.3%,28.1%,33.3%,0.0%,42.4%,19.7%,37.9%,14.1%,184,291,475,26420
Ha-Seong Kim,ATL,AA,30,13,.333,6.00,22.2%,66.7%,11.1%,0.0%,0.0%,77.8%,11.1%,11.1%,6.8%,29,30,59,27506
Jacob Hurtubise,MIL,AA,28,100,.388,1.47,34.4%,39.1%,26.6%,17.6%,0.0%,48.4%,20.3%,31.3%,7.5%,159,242,401,27599
Carlos Jorge,CIN,AA,22,259,.405,2.21,22.9%,53.1%,24.0%,16.3%,14.0%,45.6%,18.3%,36.1%,10.6%,375,642,1017,29455
Justyn-Henry Malloy,TBR,AA,26,42,.238,0.47,8.3%,29.2%,62.5%,13.3%,26.7%,28.0%,32.0%,40.0%,9.2%,88,97,185,29606
Kenny Piper,TBR,AA,27,277,.333,0.56,25.0%,26.8%,48.2%,27.8%,13.9%,51.8%,24.1%,24.1%,13.4%,453,700,1153,29962
Seiya Suzuki,CHC,AA,31,17,.500,0.67,16.7%,33.3%,50.0%,33.3%,0.0%,58.3%,25.0%,16.7%,2.6%,33,43,76,30116
Wade Meckler,LAA,AA,26,121,.403,1.79,32.9%,43.0%,24.1%,10.5%,21.1%,46.3%,25.6%,28.0%,4.4%,235,284,519,31490
Rikuu Nishida,CHW,AA,25,54,.286,11.00,31.4%,62.9%,5.7%,0.0%,0.0%,22.2%,19.4%,58.3%,2.4%,101,144,245,33795
Braden Montgomery,CHW,AA,23,126,.385,1.17,26.8%,39.4%,33.8%,4.2%,25.0%,38.0%,35.2%,26.8%,16.2%,199,302,501,35423
Marcus Smith,CIN,AA,25,20,.400,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,40.0%,20.0%,40.0%,12.5%,37,51,88,sa1169620
David García,MIL,AA,26,58,.216,1.46,17.9%,48.7%,33.3%,23.1%,15.4%,30.8%,28.2%,41.0%,14.8%,69,140,209,sa3003197
Daniel Vellojin,TBR,AA,26,109,.300,0.94,15.5%,40.8%,43.7%,29.0%,3.2%,47.9%,19.7%,32.4%,10.3%,177,280,457,sa3005587
Julio Carreras,CIN,AA,26,134,.253,1.65,20.8%,49.4%,29.9%,39.1%,13.0%,44.3%,22.8%,32.9%,16.5%,189,344,533,sa3005598
Pablo Aliendo,CIN,AA,25,146,.257,0.86,30.8%,32.1%,37.2%,6.9%,13.8%,55.1%,35.9%,9.0%,20.0%,184,350,534,sa3006220
Andy Weber,CHW,AA,28,132,.278,1.22,21.1%,43.3%,35.6%,21.9%,9.4%,41.9%,24.7%,33.3%,10.0%,188,312,500,sa3008282
Eduardo Garcia,MIL,AA,23,197,.286,1.17,19.5%,43.4%,37.2%,31.0%,9.5%,52.9%,25.2%,21.8%,14.8%,276,486,762,sa3008751
Alexander Ramirez,CHC,AA,23,5,.667,,,,,,,,,,,,,,sa3008757
Alexander Vargas,CIN,AA,24,62,.388,1.85,24.5%,49.0%,26.5%,53.8%,0.0%,41.2%,19.6%,39.2%,8.1%,77,144,221,sa3008851
J.J. D'Orazio,LAA,AA,24,165,.269,1.12,20.5%,42.0%,37.5%,26.2%,16.7%,47.8%,16.8%,35.4%,10.9%,258,412,670,sa3008876
Jose Colmenares,CHW,AA,24,81,.271,1.00,21.6%,39.2%,39.2%,25.0%,15.0%,55.8%,19.2%,25.0%,15.8%,118,204,322,sa3009309
J.T. Arruda,TBR,AA,28,94,.429,1.29,29.1%,40.0%,30.9%,5.9%,5.9%,27.6%,29.3%,43.1%,11.4%,160,236,396,sa3010036
Joe Corbett,MIL,AA,29,0,.000,,,,,,,,,,,,,,sa3010237
Darrien Miller,MIL,AA,25,209,.243,0.50,20.8%,26.4%,52.8%,30.4%,16.1%,52.8%,22.2%,25.0%,6.9%,422,503,925,sa3011330
