Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Ty Doucette,CIN,CPX,22,1,3,5,3,2,0,0,1,3,2,2,0,0,0,0,0,0,0,0,1.000,sa3030503
Ludwing Espinoza,CHC,CPX,20,2,7,9,4,2,2,0,0,4,0,2,0,1,0,0,0,1,0,0,.571,sa3021073
Grant McCray,SFG,CPX,25,3,8,10,4,2,1,0,1,3,2,1,0,1,1,0,0,0,3,0,.500,25690
Logan Wagner,LAD,CPX,22,4,14,15,7,5,2,0,0,2,1,1,0,3,0,0,0,0,1,0,.500,sa3019932
Sebastian Walcott,TEX,CPX,20,2,6,7,3,1,1,0,1,4,1,1,0,2,0,0,0,0,1,0,.500,sa3021069
Luis Merejo,CLE,CPX,20,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.500,sa3021196
Landyn Vidourek,LAD,CPX,22,2,4,6,2,0,0,0,2,2,4,2,0,1,0,0,0,0,0,0,.500,sa3044483
LeTrey McCollum,LAA,CPX,23,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500,sa3075490
Blake Penso,COL,CPX,24,4,12,12,6,4,2,0,0,1,3,0,0,2,0,0,0,0,0,0,.500,sa3077842
Braulio Cavero,TEX,CPX,20,7,25,29,12,8,0,2,2,7,8,4,0,4,0,0,0,0,0,0,.480,sa3076518
Adam Fogel,CHW,CPX,27,4,13,17,6,3,1,0,2,5,6,3,0,1,0,1,0,1,1,0,.462,sa3076094
Luis Peña,MIL,CPX,19,3,9,12,4,2,1,1,0,4,1,2,0,2,1,0,0,0,2,1,.444,sa3024134
Alexander Frias,MIL,CPX,18,32,118,137,52,34,12,2,4,33,34,16,0,21,3,0,0,2,12,6,.441,sa3068835
Spencer Packard,SEA,CPX,28,5,16,20,7,4,1,0,2,3,6,3,0,3,1,0,0,0,0,0,.438,sa3016803
Leo Rivas,SEA,CPX,28,4,7,16,3,2,0,0,1,6,4,8,0,4,1,0,0,0,2,0,.429,21009
Ty Harvey,SDP,CPX,19,11,33,38,14,9,3,0,2,9,10,4,0,9,0,1,0,1,0,0,.424,sa3069181
Pablo Guerrero,TEX,CPX,19,6,19,22,8,5,3,0,0,3,3,2,0,1,1,0,0,0,0,0,.421,sa3021249
Mason Neville,CIN,CPX,22,18,55,71,23,10,6,0,7,22,17,15,0,18,0,1,0,1,2,1,.418,sa3038799
Clayton Gray,COL,CPX,24,5,12,20,5,4,0,1,0,2,2,6,0,1,1,0,1,1,2,0,.417,sa3067153
Colton Vincent,SDP,CPX,26,17,46,61,19,13,3,2,1,14,13,8,0,12,2,1,4,0,3,0,.413,sa3023089
Pablo Aliendo,CIN,CPX,25,6,17,25,7,5,1,0,1,11,4,5,0,5,3,0,0,0,1,0,.412,sa3006220
Casey Cook,TEX,CPX,23,6,17,22,7,3,2,1,1,3,8,4,0,4,1,0,0,0,0,0,.412,sa3025356
Ethan Conrad,CHC,CPX,21,5,17,21,7,5,1,0,1,5,2,2,0,2,1,0,0,0,1,0,.412,sa3029266
Ben Wilmes,COL,CPX,23,27,74,99,30,19,8,0,3,31,18,17,0,19,8,0,0,0,4,0,.405,sa3077591
Cristian Arguelles,COL,CPX,19,57,219,255,88,56,14,9,9,62,70,30,0,31,4,2,0,6,10,3,.402,sa3023968
Mike Antico,COL,CPX,28,3,5,9,2,0,2,0,0,3,3,3,0,1,1,0,0,0,0,0,.400,sa3016922
Jose Ortiz,SFG,CPX,21,2,5,6,2,0,0,0,2,3,3,0,0,1,1,0,0,0,0,0,.400,sa3022693
Konni Durschlag,SEA,CPX,24,9,20,32,8,6,2,0,0,7,4,8,0,6,4,0,0,0,1,0,.400,sa3075707
Aidan Redahan,COL,CPX,24,3,10,15,4,4,0,0,0,2,1,5,0,4,0,0,0,0,1,0,.400,sa3077713
Christian Koss,SFG,CPX,28,5,18,19,7,6,0,0,1,5,7,1,0,2,0,0,0,0,1,0,.389,27653
Slate Alford,LAA,CPX,23,13,36,49,14,8,4,0,2,15,13,12,0,10,0,1,0,1,3,0,.389,sa3025895
Nelson Quiroz,LAD,CPX,24,9,26,30,10,7,2,1,0,5,4,4,0,5,0,0,0,0,0,0,.385,sa3009565
Luke Adams,MIL,CPX,22,4,13,16,5,1,1,0,3,3,5,2,0,3,1,0,0,0,1,0,.385,sa3020135
Jared Thomas,COL,CPX,22,4,13,17,5,2,2,1,0,7,2,3,0,4,0,1,0,0,1,0,.385,sa3025252
Alejandro Blasco,CLE,CPX,19,25,76,100,29,12,7,1,9,29,29,22,0,17,0,2,0,1,8,1,.382,sa3023938
Aaron Graeber,LAA,CPX,23,6,21,24,8,4,2,0,2,3,12,3,0,4,0,0,0,0,0,0,.381,sa3076333
Sebastian Baquera,TEX,CPX,19,7,24,29,9,5,2,1,1,7,7,3,0,3,2,0,0,1,0,1,.375,sa3023707
Kellon Lindsey,LAD,CPX,20,5,16,22,6,3,1,0,2,6,6,6,0,9,0,0,0,0,2,0,.375,sa3067042
Alessander De La Cruz,COL,CPX,20,46,156,198,58,33,16,3,6,50,41,38,0,43,2,2,0,5,15,0,.372,sa3021132
