Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Jorge Alfaro,KCR,AA,33,233,.323,1.27,22.9%,43.1%,33.9%,13.5%,37.8%,43.4%,28.3%,28.3%,27.3%,279,584,863,12180
Corey Seager,TEX,AA,32,11,.143,1.67,0.0%,62.5%,37.5%,0.0%,33.3%,37.5%,25.0%,37.5%,8.7%,16,30,46,13624
Lourdes Gurriel Jr.,ARI,AA,32,9,.143,0.20,14.3%,14.3%,71.4%,20.0%,20.0%,12.5%,12.5%,75.0%,8.6%,14,21,35,19238
Taylor Trammell,HOU,AA,28,16,.182,1.50,23.1%,46.2%,30.8%,0.0%,50.0%,69.2%,23.1%,7.7%,12.7%,15,40,55,19960
Jake Meyers,HOU,AA,30,16,.083,0.50,18.2%,27.3%,54.5%,50.0%,0.0%,50.0%,33.3%,16.7%,12.7%,16,39,55,20308
Lars Nootbaar,STL,AA,28,17,.200,1.67,20.0%,50.0%,30.0%,33.3%,0.0%,30.0%,20.0%,50.0%,10.7%,39,36,75,21454
Jeremy Peña,HOU,AA,28,12,.250,3.00,57.1%,42.9%,0.0%,0.0%,0.0%,50.0%,37.5%,12.5%,15.8%,14,24,38,21636
Nick Allen,HOU,AA,27,9,.500,3.00,25.0%,75.0%,0.0%,0.0%,0.0%,25.0%,0.0%,75.0%,12.5%,18,22,40,22277
Tirso Ornelas,SDP,AA,26,497,.279,1.52,24.1%,45.7%,30.1%,26.4%,15.1%,47.1%,22.0%,30.9%,8.3%,689,1156,1845,22566
Maikel Garcia,KCR,AA,26,16,.364,7.00,27.3%,63.6%,9.1%,0.0%,0.0%,27.3%,18.2%,54.5%,3.4%,31,28,59,22715
Brendan Donovan,SEA,AA,29,5,.333,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,9.1%,12,10,22,24679
Cody Freeman,TEX,AA,25,12,.182,2.00,18.2%,54.5%,27.3%,33.3%,0.0%,72.7%,9.1%,18.2%,2.4%,18,24,42,25629
Josh Smith,TEX,AA,28,7,.500,1.00,33.3%,33.3%,33.3%,0.0%,100.0%,0.0%,33.3%,66.7%,3.6%,14,14,28,26396
Evan Carter,TEX,AA,23,3,1.000,1.00,0.0%,50.0%,50.0%,0.0%,100.0%,100.0%,0.0%,0.0%,6.7%,8,7,15,27790
Joey Loperfido,HOU,AA,27,3,.000,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,,,,26.7%,5,10,15,29630
Jordan Lawlar,ARI,AA,23,37,.222,0.80,18.2%,36.4%,45.5%,10.0%,50.0%,60.9%,30.4%,8.7%,19.1%,35,96,131,29976
Lazaro Montes,SEA,AA,21,339,.265,0.83,24.6%,34.3%,41.1%,19.4%,34.7%,44.6%,29.4%,26.0%,18.1%,569,851,1420,30361
Michael Arroyo,SEA,AA,21,297,.317,0.93,25.8%,35.7%,38.5%,14.6%,12.2%,42.8%,19.5%,37.7%,8.7%,392,657,1049,30384
Zach Dezenzo,HOU,AA,26,22,.462,4.50,21.4%,64.3%,14.3%,0.0%,50.0%,50.0%,21.4%,28.6%,6.5%,43,64,107,31562
Ben Ross,MIN,AA,25,72,.455,0.79,29.2%,31.3%,39.6%,15.8%,26.3%,42.9%,24.5%,32.7%,8.5%,121,149,270,31710
Ethan Salas,SDP,AA,20,300,.319,1.56,24.1%,46.3%,29.6%,31.3%,10.9%,42.1%,20.8%,37.0%,6.0%,443,685,1128,32051
Wyatt Langford,TEX,AA,24,8,.500,2.00,0.0%,66.7%,33.3%,0.0%,100.0%,66.7%,33.3%,0.0%,7.7%,20,19,39,33333
Tommy White,OAK,AA,23,94,.343,3.64,28.2%,56.3%,15.5%,36.4%,9.1%,45.1%,26.8%,28.2%,11.5%,118,196,314,35107
Joshua Kuroda-Grauer,OAK,AA,23,150,.285,1.26,25.2%,41.7%,33.1%,28.6%,14.3%,46.5%,22.5%,31.0%,5.7%,149,342,491,35121
Lucas Spence,HOU,AA,23,202,.328,1.32,22.1%,44.3%,33.6%,18.2%,9.1%,41.0%,29.1%,29.9%,10.2%,292,473,765,35126
Matt O'Neill,ARI,AA,28,64,.211,1.29,20.0%,45.0%,35.0%,21.4%,14.3%,35.9%,38.5%,25.6%,10.5%,118,159,277,sa1170279
