Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Max Kepler,ARI,A+,33,7,.500,2.00,40.0%,40.0%,20.0%,0.0%,100.0%,60.0%,20.0%,20.0%,4.0%,10,15,25,12144
Alejo Lopez,SEA,A+,30,9,.800,0.00,60.0%,0.0%,40.0%,50.0%,0.0%,20.0%,40.0%,40.0%,14.6%,10,31,41,21127
Cal Raleigh,SEA,A+,29,3,.500,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,18.2%,3,8,11,21534
Brendan Donovan,SEA,A+,29,23,.118,2.75,11.8%,64.7%,23.5%,50.0%,0.0%,38.9%,11.1%,50.0%,7.3%,31,51,82,24679
Will Wilson,SEA,A+,27,6,.333,0.00,33.3%,0.0%,66.7%,0.0%,0.0%,33.3%,33.3%,33.3%,3.4%,12,17,29,25434
Diego Cartaya,SFG,A+,24,35,.500,0.50,40.0%,20.0%,40.0%,50.0%,50.0%,80.0%,0.0%,20.0%,33.1%,65,92,157,sa3008742
David Calabrese,TOR,A+,23,72,.370,1.05,30.4%,35.7%,33.9%,21.1%,15.8%,55.9%,30.5%,13.6%,8.4%,93,157,250,sa3014507
Adrian Placencia,LAA,A+,23,202,.200,0.79,13.6%,38.3%,48.1%,28.2%,17.9%,42.2%,22.9%,34.9%,18.3%,384,481,865,sa3014688
Diosfran Cabeza,ARI,A+,23,60,.316,3.00,26.3%,55.3%,18.4%,42.9%,0.0%,28.9%,34.2%,36.8%,10.7%,97,156,253,sa3015517
Juan Castillo,COL,A+,23,191,.330,1.69,22.8%,48.5%,28.7%,24.1%,6.9%,40.6%,26.4%,33.0%,21.9%,244,496,740,sa3015541
Carlos Jimenez,SEA,A+,23,453,.333,1.11,19.0%,42.6%,38.4%,27.0%,18.0%,48.1%,25.1%,26.8%,13.9%,744,1036,1780,sa3015599
Axel Sanchez,SEA,A+,23,208,.248,0.88,19.8%,37.4%,42.7%,46.4%,12.5%,50.4%,23.7%,26.0%,12.1%,327,485,812,sa3015601
Onil Perez,SFG,A+,23,143,.283,0.97,27.4%,35.8%,36.8%,41.0%,7.7%,38.5%,22.9%,38.5%,10.1%,184,333,517,sa3015610
Alexis Hernandez,TOR,A+,23,329,.322,1.05,19.8%,41.1%,39.1%,25.9%,17.3%,38.9%,32.4%,28.7%,11.9%,455,813,1268,sa3015642
Manuel Beltre,TOR,A+,22,225,.287,1.14,21.3%,41.9%,36.8%,38.6%,10.5%,54.5%,23.7%,21.8%,16.0%,265,552,817,sa3015710
Kenny Castillo,ARI,A+,22,338,.309,0.93,22.6%,37.2%,40.2%,25.0%,8.3%,44.8%,24.9%,30.3%,14.6%,386,824,1210,sa3015863
Adrian De Leon,ARI,A+,22,14,.000,0.75,0.0%,42.9%,57.1%,25.0%,0.0%,57.1%,14.3%,28.6%,17.3%,24,28,52,sa3015864
Jorge Ruiz,LAA,A+,22,423,.293,2.06,24.8%,50.6%,24.5%,25.3%,6.3%,36.3%,29.5%,34.2%,9.6%,489,1018,1507,sa3015873
Johan Macias,LAA,A+,23,254,.276,2.13,23.0%,52.5%,24.6%,22.2%,11.1%,40.3%,30.9%,28.8%,10.5%,278,599,877,sa3016095
Cesar Quintas,SEA,A+,23,90,.400,1.35,28.6%,41.1%,30.4%,29.4%,5.9%,48.2%,16.1%,35.7%,11.7%,145,213,358,sa3016109
Ricardo Cova,SEA,A+,22,95,.377,1.41,29.3%,41.3%,29.3%,45.5%,0.0%,37.3%,25.3%,37.3%,13.4%,74,195,269,sa3016186
