Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Diego Villegas,SFG,DSL,22,197,.283,1.91,13.9%,56.5%,29.6%,20.6%,0.0%,41.0%,21.4%,37.6%,8.3%,303,373,676,sa3015757
Alessandro Duran,SFG,DSL,20,116,.371,1.04,13.6%,43.9%,42.4%,28.6%,7.1%,55.6%,19.4%,25.0%,11.8%,168,231,399,sa3018521
Dennys Riera,SFG,DSL,21,221,.347,0.88,14.1%,40.1%,45.8%,9.2%,6.2%,51.7%,26.2%,22.1%,13.7%,254,403,657,sa3019675
Junior Suarez,KCR,DSL,21,0,.000,,,,,,,,,,,,,,sa3021031
Railin Tea,BAL,DSL,19,37,.348,1.83,10.5%,57.9%,31.6%,33.3%,0.0%,65.0%,20.0%,15.0%,11.5%,53,77,130,sa3021153
Eduardo Perez,HOU,DSL,19,97,.381,0.93,17.1%,40.0%,42.9%,20.0%,26.7%,52.6%,39.5%,7.9%,21.3%,111,176,287,sa3021154
Jose Marcano,CLE,DSL,20,3,1.000,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,13.3%,3,12,15,sa3021170
Pablo Arosemena,CLE,DSL,20,41,.304,0.40,12.5%,25.0%,62.5%,0.0%,6.7%,41.7%,41.7%,16.7%,8.9%,73,84,157,sa3021187
Carlos De Sousa,TBR,DSL,20,65,.318,1.27,17.1%,46.3%,36.6%,26.7%,0.0%,44.4%,22.2%,33.3%,17.1%,74,137,211,sa3021240
Willian Berti,DET,DSL,20,212,.296,0.47,9.9%,28.7%,61.4%,14.5%,9.7%,52.4%,27.6%,20.0%,10.5%,429,437,866,sa3021261
Keiberg Camacaro,SFG,DSL,19,219,.371,0.94,18.0%,39.8%,42.2%,22.2%,13.0%,54.8%,24.4%,20.7%,12.8%,326,430,756,sa3021267
Wagnel Luna,DET,DSL,20,131,.307,0.94,9.9%,43.7%,46.5%,36.4%,3.0%,52.6%,23.7%,23.7%,12.2%,219,279,498,sa3021646
Adrian Hoyte,DET,DSL,20,35,.278,0.86,18.8%,37.5%,43.8%,42.9%,0.0%,47.4%,15.8%,36.8%,18.5%,63,61,124,sa3022209
Richard Meran,NYY,DSL,20,90,.279,1.29,22.0%,43.9%,34.1%,7.1%,14.3%,68.9%,13.3%,17.8%,16.8%,156,190,346,sa3022404
Franco Willias,SFG,DSL,21,233,.450,1.08,16.3%,43.5%,40.1%,18.6%,8.5%,50.0%,34.0%,16.0%,13.6%,292,474,766,sa3023714
Dawel Joseph,SEA,DSL,19,219,.387,0.65,19.1%,31.8%,49.1%,25.9%,7.4%,52.7%,23.6%,23.6%,19.0%,317,410,727,sa3023719
Gregori Arias,MIA,DSL,19,133,.250,0.88,7.7%,43.1%,49.2%,34.4%,12.5%,41.2%,20.6%,38.2%,16.7%,217,269,486,sa3023734
Jaset Martinez,CIN,DSL,19,4,.500,0.00,50.0%,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,0.0%,13.3%,9,6,15,sa3023735
Leandy Mella,DET,DSL,19,55,.227,0.55,19.0%,28.6%,52.4%,36.4%,9.1%,52.2%,8.7%,39.1%,24.6%,72,135,207,sa3023741
