Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Jose Trevino,CIN,A+,33,3,1.000,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,6,4,10,16725
Ke'Bryan Hayes,CIN,A+,29,6,.167,2.00,0.0%,66.7%,33.3%,100.0%,0.0%,66.7%,16.7%,16.7%,6.7%,11,19,30,18577
John Peck,DET,A+,23,10,.167,0.33,20.0%,20.0%,60.0%,0.0%,0.0%,16.7%,16.7%,66.7%,20.6%,12,22,34,33500
Cooper Pratt,MIL,A+,21,3,.333,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,66.7%,0.0%,33.3%,11.1%,4,5,9,33530
Walker Jenkins,MIN,A+,21,12,.500,0.33,55.6%,11.1%,33.3%,33.3%,33.3%,44.4%,44.4%,11.1%,4.4%,19,26,45,33571
Marcus Smith,CIN,A+,25,122,.317,0.81,38.7%,27.4%,33.9%,9.5%,23.8%,35.4%,40.0%,24.6%,11.7%,209,314,523,sa1169620
David García,MIL,A+,26,116,.282,1.25,26.0%,41.1%,32.9%,12.5%,8.3%,43.2%,21.6%,35.1%,12.8%,177,267,444,sa3003197
Julio Carreras,CIN,A+,26,142,.344,1.12,23.4%,40.4%,36.2%,14.7%,8.8%,29.9%,35.1%,35.1%,11.1%,226,326,552,sa3005598
Andrick Nava,MIL,A+,24,38,.391,0.89,29.2%,33.3%,37.5%,33.3%,11.1%,45.8%,29.2%,25.0%,17.2%,40,94,134,sa3010693
Roberto Campos,DET,A+,23,51,.452,4.25,32.3%,54.8%,12.9%,25.0%,0.0%,41.9%,29.0%,29.0%,11.5%,93,116,209,sa3014683
Jose Salas,MIN,A+,23,163,.273,0.88,21.1%,36.8%,42.1%,32.5%,17.5%,49.5%,24.2%,26.3%,17.7%,201,399,600,sa3014690
Emmanuel Rodriguez,MIN,A+,23,27,.471,1.17,23.5%,41.2%,35.3%,33.3%,0.0%,41.2%,23.5%,35.3%,12.7%,52,50,102,sa3014693
Reginald Preciado,CHC,A+,23,112,.410,0.80,27.4%,32.3%,40.3%,24.0%,8.0%,52.4%,27.0%,20.6%,17.7%,147,282,429,sa3014702
Yerlin Confidan,CIN,A+,23,316,.307,1.53,25.1%,45.3%,29.6%,30.0%,11.7%,38.9%,31.7%,29.3%,11.0%,510,730,1240,sa3015176
Junior Tilien,DET,A+,23,192,.252,1.60,20.6%,48.9%,30.5%,27.5%,2.5%,44.3%,21.4%,34.4%,11.5%,240,428,668,sa3015187
