Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Javier Báez,DET,A,33,6,.250,1.00,0.0%,50.0%,50.0%,100.0%,0.0%,50.0%,25.0%,25.0%,14.3%,6,8,14,12979
Mike Tauchman,NYM,A,35,19,.333,1.00,50.0%,25.0%,25.0%,33.3%,0.0%,16.7%,58.3%,25.0%,4.7%,37,48,85,15274
Gleyber Torres,DET,A,29,7,.000,0.67,0.0%,40.0%,60.0%,0.0%,33.3%,40.0%,20.0%,40.0%,5.9%,15,19,34,16997
Nathan Lukes,TOR,A,31,13,.250,0.40,22.2%,22.2%,55.6%,0.0%,20.0%,22.2%,44.4%,33.3%,7.8%,23,28,51,18123
Andy Ibáñez,NYM,A,33,4,.250,0.33,0.0%,25.0%,75.0%,0.0%,0.0%,75.0%,0.0%,25.0%,10.0%,3,7,10,18819
Zach McKinstry,DET,A,31,3,.000,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,2,8,10,19392
Vladimir Guerrero Jr.,TOR,A,27,3,1.000,0.00,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,6.3%,11,5,16,19611
Jesús Sánchez,TOR,A,28,7,.000,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,25.0%,25.0%,3.7%,14,13,27,19913
Jared Young,NYM,A,30,7,.250,0.33,0.0%,25.0%,75.0%,0.0%,0.0%,25.0%,25.0%,50.0%,21.4%,11,17,28,20404
Mark Kolozsvary,PHI,A,30,35,.333,0.75,22.2%,33.3%,44.4%,25.0%,25.0%,40.0%,30.0%,30.0%,12.8%,60,81,141,21304
Lars Nootbaar,STL,A,28,4,1.000,0.00,50.0%,0.0%,50.0%,0.0%,100.0%,0.0%,50.0%,50.0%,4.8%,11,10,21,21454
Joey Bart,PIT,A,29,2,.000,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,,,,8.3%,5,7,12,21524
Alejandro Kirk,TOR,A,27,11,.167,0.75,0.0%,42.9%,57.1%,25.0%,25.0%,28.6%,0.0%,71.4%,5.5%,22,33,55,22581
Wenceel Pérez,DET,A,26,3,.000,0.00,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,3,4,7,22857
Lenyn Sosa,TOR,A,26,18,.200,0.40,30.0%,20.0%,50.0%,80.0%,0.0%,30.0%,10.0%,60.0%,13.0%,28,49,77,22896
Ronny Mauricio,NYM,A,25,3,.333,2.00,33.3%,66.7%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,4,7,11,23698
Addison Barger,TOR,A,26,10,.000,0.60,0.0%,37.5%,62.5%,0.0%,40.0%,50.0%,25.0%,25.0%,10.7%,12,16,28,24598
Jared Triolo,PIT,A,28,7,.000,4.00,0.0%,80.0%,20.0%,0.0%,0.0%,60.0%,0.0%,40.0%,3.8%,12,14,26,25807
C.J. Stubbs,TOR,A,29,9,.250,0.50,25.0%,25.0%,50.0%,50.0%,0.0%,50.0%,25.0%,25.0%,8.7%,21,25,46,25814
Dominic Fletcher,PIT,A,28,14,.333,0.00,42.9%,0.0%,57.1%,50.0%,25.0%,71.4%,0.0%,28.6%,12.7%,23,40,63,26149
Spencer Horwitz,PIT,A,28,10,.333,0.00,25.0%,0.0%,75.0%,0.0%,33.3%,75.0%,0.0%,25.0%,4.9%,21,20,41,26477
