Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Jorge Alfaro,KCR,AA,33,56,210,233,46,23,8,1,14,32,48,12,1,100,8,3,0,6,1,2,.219,12180
Corey Seager,TEX,AA,32,4,10,11,2,1,0,0,1,1,1,1,0,2,0,0,0,1,0,0,.200,13624
Lourdes Gurriel Jr.,ARI,AA,32,2,8,9,2,0,1,0,1,2,3,1,0,0,0,0,0,0,0,0,.250,19238
Taylor Trammell,HOU,AA,28,4,16,16,4,1,1,0,2,3,3,0,0,3,0,0,0,0,1,0,.250,19960
Jake Meyers,HOU,AA,30,4,16,16,1,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,.063,20308
Lars Nootbaar,STL,AA,28,4,12,17,2,1,1,0,0,1,1,5,0,2,0,0,0,1,0,0,.167,21454
Jeremy Peña,HOU,AA,28,3,11,12,2,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,.182,21636
Nick Allen,HOU,AA,27,2,7,9,2,1,1,0,0,3,2,2,0,3,0,0,0,0,0,0,.286,22277
Tirso Ornelas,SDP,AA,26,117,440,497,111,62,32,1,16,55,52,46,4,88,5,4,0,11,2,1,.252,22566
Maikel Garcia,KCR,AA,26,4,13,16,4,3,1,0,0,5,0,3,0,2,0,0,0,1,1,0,.308,22715
Brendan Donovan,SEA,AA,29,1,3,5,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,.333,24679
Cody Freeman,TEX,AA,25,3,10,12,2,2,0,0,0,2,2,0,0,1,0,2,0,1,0,0,.200,25629
Josh Smith,TEX,AA,28,2,4,7,2,1,0,0,1,3,2,2,0,1,1,0,0,1,0,0,.500,26396
Evan Carter,TEX,AA,23,1,2,3,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,27790
Joey Loperfido,HOU,AA,27,1,2,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000,29630
Jordan Lawlar,ARI,AA,23,9,36,37,9,4,0,0,5,7,7,1,0,13,0,0,0,0,2,0,.250,29976
Lazaro Montes,SEA,AA,21,79,278,339,65,28,11,1,25,67,66,54,2,103,6,1,0,3,5,3,.234,30361
Michael Arroyo,SEA,AA,21,65,261,297,75,52,12,1,10,46,40,24,1,49,9,3,0,5,13,2,.287,30384
Zach Dezenzo,HOU,AA,26,5,18,22,7,5,1,0,1,4,5,3,0,4,1,0,0,4,0,0,.389,31562
Ben Ross,MIN,AA,25,16,59,72,25,13,7,0,5,15,16,12,0,10,1,0,0,0,8,1,.424,31710
Ethan Salas,SDP,AA,20,72,259,300,74,54,13,0,7,41,37,33,2,48,1,6,0,3,14,6,.286,32051
Wyatt Langford,TEX,AA,24,2,5,8,2,1,0,0,1,2,2,3,0,2,0,0,0,0,1,0,.400,33333
Tommy White,OAK,AA,23,21,83,94,25,19,5,0,1,9,17,8,0,13,2,1,0,4,1,2,.301,35107
Joshua Kuroda-Grauer,OAK,AA,23,33,144,150,41,23,11,1,6,27,18,5,0,15,1,0,0,9,11,3,.285,35121
Lucas Spence,HOU,AA,23,44,171,202,46,29,10,3,4,27,30,19,1,41,10,2,0,0,10,2,.269,35126
Matt O'Neill,ARI,AA,28,17,53,64,10,4,4,0,2,7,12,11,0,13,0,0,0,2,0,0,.189,sa1170279
Francisco Acuna,SDP,AA,26,85,262,331,51,28,16,1,6,39,27,50,0,78,9,4,6,9,11,1,.195,sa3003291
Hemmanuel Rosario,HOU,AA,25,4,14,15,3,1,1,0,1,1,4,1,0,8,0,0,0,0,0,0,.214,sa3005130
Keyber Rodriguez,TEX,AA,25,41,173,189,55,35,13,2,5,27,19,11,1,46,1,4,0,0,5,3,.318,sa3005488
Jesus Valdez,ARI,AA,28,38,97,116,16,12,2,0,2,11,11,12,0,27,7,0,0,4,2,0,.165,sa3005492
Alberto Rodriguez,KCR,AA,25,45,148,173,29,24,3,0,2,20,22,17,0,52,4,3,1,4,0,2,.196,sa3005603
Orlando Martinez,TEX,AA,28,69,241,273,68,44,20,1,3,31,36,26,0,50,3,2,1,6,10,5,.282,sa3006664
Luis Verdugo,SDP,AA,25,96,320,377,78,60,10,0,8,46,33,43,0,97,3,6,5,9,5,0,.244,sa3006888
Frainyer Chavez,TEX,AA,27,107,421,506,113,77,24,0,12,81,48,70,2,93,7,5,3,10,25,7,.268,sa3007019
Connor Scott,KCR,AA,26,82,298,328,68,43,13,1,11,40,48,23,0,94,2,1,3,1,8,3,.228,sa3008080
Jax Biggers,HOU,AA,29,31,98,122,17,12,2,1,2,21,11,21,0,33,1,0,2,1,3,0,.173,sa3008251
Brayan Buelvas,OAK,AA,24,13,39,47,11,6,1,1,3,5,7,8,0,13,0,0,0,0,1,0,.282,sa3008868
Euribiel Angeles,OAK,AA,24,70,269,297,70,52,12,1,5,36,35,19,0,46,2,4,3,8,8,4,.260,sa3008877
