Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Christian Bethancourt,CHC,AAA,34,249,.287,1.17,16.7%,45.0%,38.3%,34.8%,20.3%,51.6%,22.3%,26.1%,16.1%,263,570,833,10028
Carlos Pérez,DET,AAA,35,20,.375,0.20,7.7%,15.4%,76.9%,30.0%,50.0%,69.2%,0.0%,30.8%,3.7%,38,44,82,10642
Drew Pomeranz,CHC,AAA,37,0,.000,,,,,,,,,,,,,,11426
Brandon Drury,KCR,AAA,33,212,.299,1.25,26.2%,41.0%,32.8%,20.0%,12.5%,44.3%,24.6%,31.1%,7.9%,384,511,895,11615
Elias Díaz,KCR,AAA,35,35,.292,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,45.8%,37.5%,16.7%,14.6%,45,85,130,11680
Ben Gamel,ATL,AAA,34,225,.313,1.74,34.5%,41.6%,23.9%,14.8%,11.1%,50.0%,21.2%,28.8%,9.7%,383,580,963,12160
Jorge Alfaro,KCR,AAA,33,17,.300,2.50,30.0%,50.0%,20.0%,50.0%,50.0%,45.5%,18.2%,36.4%,15.1%,14,39,53,12180
Eugenio Suárez,CIN,AAA,34,7,.250,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,11.5%,7,19,26,12552
Trevor Story,BOS,AAA,33,37,.240,1.43,32.0%,40.0%,28.0%,28.6%,0.0%,44.0%,24.0%,32.0%,15.5%,39,103,142,12564
Francisco Lindor,NYM,AAA,32,10,.222,0.75,12.5%,37.5%,50.0%,0.0%,0.0%,55.6%,11.1%,33.3%,7.3%,19,22,41,12916
Javier Báez,DET,AAA,33,8,.714,0.50,14.3%,28.6%,57.1%,50.0%,0.0%,57.1%,28.6%,14.3%,7.4%,9,18,27,12979
Jorge Polanco,NYM,AAA,32,27,.000,0.43,0.0%,30.0%,70.0%,42.9%,14.3%,35.0%,15.0%,50.0%,6.1%,50,64,114,13152
