Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Logan Driscoll,TBR,A,28,65,4.6%,18.5%,0.25,.220,.292,.373,.665,.153,4.9,.261,-0.1,7,-2.0,.314,81,25475
Victor Mesa Jr.,TBR,A,24,11,9.1%,27.3%,0.33,.500,.545,.800,1.345,.300,5.4,.667,0.4,4,2.3,.607,255,25999
Justyn-Henry Malloy,TBR,A,26,12,25.0%,33.3%,0.75,.222,.417,.556,.972,.333,5.2,.250,0.2,3,0.9,.445,159,29606
Zach Cole,HOU,A,25,25,20.0%,24.0%,0.83,.250,.400,.550,.950,.300,5.3,.308,-0.5,5,1.7,.433,151,31583
Kevin Made,WSN,A,23,31,12.9%,12.9%,1.00,.269,.387,.308,.695,.038,2.2,.318,-0.6,4,0.1,.354,101,sa3014679
Junior Tilien,ATL,A,23,67,13.4%,14.9%,0.90,.241,.343,.345,.688,.103,4.2,.277,0.1,8,-0.8,.337,93,sa3015187
Arxy Hernandez,CHW,A,22,123,4.9%,23.6%,0.21,.237,.276,.333,.610,.096,0.7,.294,-0.2,11,-6.4,.288,60,sa3015693
Maikol Hernández,BAL,A,22,13,23.1%,23.1%,1.00,.300,.462,.400,.862,.100,2.6,.429,0.0,3,0.8,.428,149,sa3015712
Danyer Cueva,TEX,A,22,10,0.0%,40.0%,0.00,.200,.200,.200,.400,.000,0.1,.333,0.0,0,-1.3,.192,6,sa3015725
Gabriel Silva,KCR,A,22,71,4.2%,39.4%,0.11,.092,.157,.262,.419,.169,1.8,.088,-0.5,1,-9.0,.196,4,sa3015865
Jose Perez,TBR,A,22,13,23.1%,23.1%,1.00,.300,.462,.300,.762,.000,1.6,.429,0.0,2,0.5,.399,132,sa3016162
Eric Martinez,MIL,A,22,22,13.6%,40.9%,0.33,.158,.273,.211,.483,.053,4.4,.300,0.2,1,-1.8,.253,37,sa3017023
Geuri Lubo,CHC,A,22,152,9.2%,23.7%,0.39,.189,.283,.402,.684,.212,6.1,.207,-0.3,17,-4.2,.317,84,sa3017122
Reed Trimble,BAL,A,26,6,33.3%,16.7%,2.00,.250,.500,1.000,1.500,.750,0.1,.000,0.0,2,1.2,.601,252,sa3017180
