Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Jorge Alfaro,KCR,AA,33,233,5.2%,42.9%,0.12,.219,.283,.467,.750,.248,4.2,.323,-1.2,28,-5.1,.322,83,12180
Corey Seager,TEX,AA,32,11,9.1%,18.2%,0.50,.200,.273,.500,.773,.300,0.1,.143,0.0,1,-0.2,.329,87,13624
Lourdes Gurriel Jr.,ARI,AA,32,9,11.1%,0.0%,1.00,.250,.333,.750,1.083,.500,2.6,.143,0.0,2,0.7,.441,142,19238
Taylor Trammell,HOU,AA,28,16,0.0%,18.8%,0.00,.250,.250,.688,.938,.438,7.5,.182,0.2,3,0.5,.381,124,19960
Jake Meyers,HOU,AA,30,16,0.0%,25.0%,0.00,.063,.063,.125,.188,.063,2.6,.083,0.0,-1,-3.7,.079,-63,20308
Lars Nootbaar,STL,AA,28,17,29.4%,11.8%,2.50,.167,.412,.250,.662,.083,0.4,.200,-0.1,2,0.0,.348,98,21454
Jeremy Peña,HOU,AA,28,12,0.0%,25.0%,0.00,.182,.250,.364,.614,.182,0.1,.250,0.0,1,-0.7,.276,59,21636
Nick Allen,HOU,AA,27,9,22.2%,33.3%,0.67,.286,.444,.429,.873,.143,2.6,.500,0.0,2,0.5,.409,141,22277
Tirso Ornelas,SDP,AA,26,497,9.3%,17.7%,0.52,.252,.327,.439,.766,.186,2.7,.279,-1.2,66,-4.0,.338,103,22566
Maikel Garcia,KCR,AA,26,16,18.8%,12.5%,1.50,.308,.438,.385,.822,.077,6.5,.364,0.1,3,0.6,.392,127,22715
Brendan Donovan,SEA,AA,29,5,40.0%,0.0%,2.00,.333,.600,.667,1.267,.333,1.6,.333,0.0,2,0.9,.552,239,24679
Cody Freeman,TEX,AA,25,12,0.0%,8.3%,0.00,.200,.167,.200,.367,.000,2.6,.182,0.0,0,-2.0,.154,-21,25629
Josh Smith,TEX,AA,28,7,28.6%,14.3%,2.00,.500,.714,1.250,1.964,.750,2.6,.500,0.0,3,2.4,.734,339,26396
Evan Carter,TEX,AA,23,3,33.3%,0.0%,1.00,1.000,1.000,2.500,3.500,1.500,0.1,1.000,0.0,3,2.2,1.207,632,27790
Joey Loperfido,HOU,AA,27,3,0.0%,66.7%,0.00,.000,.333,.000,.333,.000,0.1,.000,0.0,0,-0.2,.258,48,29630
Jordan Lawlar,ARI,AA,23,37,2.7%,35.1%,0.08,.250,.270,.667,.937,.417,6.6,.222,0.3,6,1.2,.384,106,29976
Lazaro Montes,SEA,AA,21,339,15.9%,30.4%,0.52,.234,.369,.550,.919,.317,5.1,.265,-1.3,62,14.6,.396,143,30361
Michael Arroyo,SEA,AA,21,297,8.1%,16.5%,0.49,.287,.364,.456,.820,.169,6.2,.317,0.8,47,5.0,.366,124,30384
Zach Dezenzo,HOU,AA,26,22,13.6%,18.2%,0.75,.389,.500,.611,1.111,.222,1.6,.462,-0.1,6,2.8,.493,193,31562
Ben Ross,MIN,AA,25,72,16.7%,13.9%,1.20,.424,.528,.797,1.324,.373,5.7,.455,0.9,24,13.4,.561,228,31710
Ethan Salas,SDP,AA,20,300,11.0%,16.0%,0.69,.286,.361,.417,.778,.131,4.5,.319,-1.0,43,0.8,.350,110,32051
Wyatt Langford,TEX,AA,24,8,37.5%,25.0%,1.50,.400,.625,1.000,1.625,.600,5.2,.500,0.2,3,2.0,.639,280,33333
Tommy White,OAK,AA,23,94,8.5%,13.8%,0.62,.301,.372,.398,.770,.096,2.1,.343,-1.1,14,0.6,.355,104,35107
Joshua Kuroda-Grauer,OAK,AA,23,150,3.3%,10.0%,0.33,.285,.313,.500,.813,.215,8.0,.285,0.4,22,0.8,.353,103,35121
Lucas Spence,HOU,AA,23,202,9.4%,20.3%,0.46,.269,.371,.433,.804,.164,7.9,.328,0.5,31,3.0,.364,113,35126
Matt O'Neill,ARI,AA,28,64,17.2%,20.3%,0.85,.189,.328,.377,.705,.189,1.2,.211,-0.2,8,-1.2,.326,71,sa1170279
Francisco Acuna,SDP,AA,26,331,15.1%,23.6%,0.64,.195,.338,.332,.671,.137,5.7,.247,0.8,39,-8.1,.319,91,sa3003291
Hemmanuel Rosario,HOU,AA,25,15,6.7%,53.3%,0.13,.214,.267,.500,.767,.286,0.1,.400,0.0,2,-0.3,.326,90,sa3005130
Keyber Rodriguez,TEX,AA,25,189,5.8%,24.3%,0.24,.318,.354,.503,.857,.185,6.0,.397,-0.9,31,4.1,.372,114,sa3005488
Jesus Valdez,ARI,AA,28,116,10.3%,23.3%,0.44,.165,.302,.247,.549,.082,4.4,.206,0.1,9,-7.3,.275,39,sa3005492
Alberto Rodriguez,KCR,AA,25,173,9.8%,30.1%,0.33,.196,.291,.257,.547,.061,2.7,.278,-1.4,12,-12.3,.265,48,sa3005603
Orlando Martinez,TEX,AA,28,273,9.5%,18.3%,0.52,.282,.357,.411,.767,.129,4.8,.342,-1.2,39,0.7,.350,100,sa3006664
