Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Diego Villegas,SFG,DSL,22,48,154,197,34,30,4,0,0,20,19,39,0,35,3,1,0,1,4,2,.221,sa3015757
Alessandro Duran,SFG,DSL,20,32,95,116,28,20,5,1,2,17,15,18,0,24,2,1,0,1,1,1,.295,sa3018521
Dennys Riera,SFG,DSL,21,52,181,221,56,40,12,0,4,44,42,17,0,34,15,7,0,2,8,2,.309,sa3019675
Junior Suarez,KCR,DSL,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,sa3021031
Railin Tea,BAL,DSL,19,14,31,37,8,6,1,1,0,12,2,5,0,8,1,0,0,0,3,1,.258,sa3021153
Eduardo Perez,HOU,DSL,19,27,78,97,20,15,1,0,4,17,8,14,0,32,5,0,0,1,0,1,.256,sa3021154
Jose Marcano,CLE,DSL,20,2,3,3,2,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,.667,sa3021170
Pablo Arosemena,CLE,DSL,20,19,28,41,8,5,2,0,1,7,7,11,0,6,0,2,0,1,0,0,.286,sa3021187
Carlos De Sousa,TBR,DSL,20,15,54,65,14,11,3,0,0,10,12,7,0,11,2,1,1,2,1,1,.259,sa3021240
Willian Berti,DET,DSL,20,54,148,212,35,17,11,1,6,47,36,59,0,44,5,0,0,0,3,3,.236,sa3021261
Keiberg Camacaro,SFG,DSL,19,52,168,219,56,37,11,1,7,44,44,38,0,34,8,5,0,1,29,2,.333,sa3021267
Wagnel Luna,DET,DSL,20,41,104,131,24,20,0,3,1,25,14,22,0,30,3,2,0,1,14,2,.231,sa3021646
Adrian Hoyte,DET,DSL,20,14,26,35,5,2,2,1,0,5,2,9,0,8,0,0,0,0,0,0,.192,sa3022209
Richard Meran,NYY,DSL,20,22,69,90,14,9,2,1,2,12,15,16,0,25,4,1,0,1,2,3,.203,sa3022404
Franco Willias,SFG,DSL,21,50,180,233,73,52,11,5,5,59,40,26,0,30,17,6,4,1,34,6,.406,sa3023714
Dawel Joseph,SEA,DSL,19,52,170,219,45,35,5,1,4,35,36,41,1,62,6,2,0,1,14,4,.265,sa3023719
Gregori Arias,MIA,DSL,19,40,106,133,20,12,3,1,4,24,15,21,0,38,5,0,1,1,14,1,.189,sa3023734
Jaset Martinez,CIN,DSL,19,1,2,4,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,.500,sa3023735
Leandy Mella,DET,DSL,19,25,47,55,6,1,2,2,1,8,5,6,0,25,1,1,0,0,0,0,.128,sa3023741
Carlos Matias,TBR,DSL,19,8,25,28,4,3,1,0,0,3,1,2,0,6,1,0,0,1,0,1,.160,sa3023744
Franchely Silverio,HOU,DSL,19,52,178,213,56,41,11,0,4,32,45,27,0,33,6,2,0,2,5,0,.315,sa3023746
Iverson Allen,PIT,DSL,18,41,101,132,27,24,0,2,1,16,23,22,0,25,4,4,1,3,12,1,.267,sa3023750
Jesus Lizardo,PIT,DSL,19,28,69,93,23,14,6,2,1,14,16,23,0,15,0,0,0,0,3,0,.333,sa3023753
Frankeli Mesta,PIT,DSL,19,32,87,112,25,17,4,0,4,25,19,24,0,17,0,0,1,0,12,1,.287,sa3023756
Omar Mejia,KCR,DSL,19,13,31,41,5,2,2,0,1,7,5,10,0,10,0,0,0,0,0,0,.161,sa3023773
Amauri Ramirez,HOU,DSL,19,41,109,137,17,13,3,1,0,14,20,21,0,36,5,2,0,3,1,1,.156,sa3023778
Jeyson Moya,SFG,DSL,19,24,56,72,13,7,5,0,1,12,9,12,0,22,2,2,0,0,4,0,.232,sa3023779
Albert Jimenez,SFG,DSL,19,54,167,208,46,29,8,1,8,36,35,38,0,33,1,2,0,2,0,0,.275,sa3023780
Aaron Pinero,TBR,DSL,19,20,66,91,23,17,2,0,4,21,15,19,0,9,4,2,0,0,11,1,.348,sa3023783
Angel Brachi,MIA,DSL,19,4,13,17,6,5,1,0,0,3,1,4,0,4,0,0,0,0,3,0,.462,sa3023784
Esteban Romero,HOU,DSL,19,35,87,105,24,20,2,2,0,21,7,16,0,10,0,0,2,0,8,4,.276,sa3023787
Diwarys Encarnacion,MIA,DSL,20,5,11,11,3,2,0,1,0,3,3,0,0,3,0,0,0,0,0,0,.273,sa3023793
Ricardo Guzman,TBR,DSL,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,sa3023830
Edgar Lugo,DET,DSL,21,48,135,162,31,20,9,0,2,18,22,21,0,19,5,0,1,2,16,3,.230,sa3023874
