Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Enrique Hernández,LAD,AAA,34,72,.308,0.95,19.6%,39.2%,41.2%,28.6%,4.8%,34.0%,34.0%,32.1%,9.2%,102,182,284,10472
Carlos Pérez,HOU,AAA,35,238,.247,0.81,22.6%,34.8%,42.7%,24.3%,11.4%,54.2%,24.7%,21.1%,9.3%,338,590,928,10642
Yolmer Sánchez,LAA,AAA,34,458,.354,0.95,27.8%,35.2%,37.0%,18.1%,6.7%,43.3%,26.3%,30.4%,12.8%,673,1114,1787,11602
Max Kepler,ARI,AAA,33,24,.353,13.00,17.6%,76.5%,5.9%,0.0%,0.0%,64.7%,17.6%,17.6%,9.0%,33,56,89,12144
James McCann,ARI,AAA,36,12,.000,2.00,10.0%,60.0%,30.0%,0.0%,0.0%,60.0%,30.0%,10.0%,14.0%,13,37,50,12859
Teoscar Hernández,LAD,AAA,33,16,.000,2.00,10.0%,60.0%,30.0%,0.0%,100.0%,50.0%,30.0%,20.0%,17.9%,25,42,67,13066
Patrick Wisdom,SEA,AAA,34,299,.299,0.28,25.9%,16.2%,57.8%,15.9%,29.9%,41.4%,37.1%,21.5%,13.8%,457,724,1181,13602
Mookie Betts,LAD,AAA,33,6,.667,0.00,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,66.7%,33.3%,8.3%,9,15,24,13611
Jeimer Candelario,LAA,AAA,32,387,.382,0.76,24.1%,32.7%,43.2%,20.0%,15.8%,56.3%,19.8%,23.9%,12.2%,633,1040,1673,13621
Chris Taylor,LAA,AAA,35,132,.370,1.29,31.4%,38.6%,30.0%,14.3%,0.0%,41.9%,25.7%,32.4%,15.2%,205,323,528,13757
Rob Refsnyder,SEA,AAA,35,32,.250,1.00,23.8%,38.1%,38.1%,37.5%,12.5%,33.3%,23.8%,42.9%,10.2%,61,86,147,13770
Eric Haase,SFG,AAA,33,40,.318,1.43,29.2%,41.7%,29.2%,14.3%,28.6%,58.3%,16.7%,25.0%,18.1%,66,116,182,14111
Andrew Velazquez,ARI,AAA,31,167,.352,1.89,22.9%,50.5%,26.7%,10.7%,10.7%,39.6%,22.5%,37.8%,15.1%,210,404,614,14196
Joey Meneses,OAK,AAA,34,515,.327,1.70,24.1%,47.8%,28.1%,23.0%,14.2%,49.9%,20.1%,30.0%,7.7%,681,1146,1827,14366
Trey Mancini,LAA,AAA,34,224,.328,1.25,21.2%,43.8%,35.0%,10.4%,12.5%,52.9%,22.9%,24.3%,13.1%,335,540,875,15149
Adam Frazier,LAA,AAA,34,25,.250,1.33,26.3%,42.1%,31.6%,0.0%,0.0%,55.0%,25.0%,20.0%,11.4%,43,62,105,15223
Austin Wynns,TEX,AAA,35,77,.347,1.25,32.1%,37.7%,30.2%,18.8%,25.0%,49.1%,22.6%,28.3%,13.1%,90,178,268,15271
J.P. Crawford,SEA,AAA,31,16,.273,1.50,16.7%,50.0%,33.3%,50.0%,25.0%,58.3%,16.7%,25.0%,7.2%,27,42,69,15491
Tyler Wade,TEX,AAA,31,73,.275,1.60,20.4%,49.0%,30.6%,20.0%,0.0%,27.5%,17.6%,54.9%,6.2%,112,179,291,15730
Wander Suero,OAK,AAA,34,1,.000,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,1,4,5,15855
Pablo Reyes,LAA,AAA,32,438,.375,1.16,24.7%,40.4%,34.9%,25.7%,9.2%,44.7%,29.5%,25.8%,6.3%,688,1031,1719,16357
Danny Jansen,TEX,AAA,31,17,.385,1.00,23.1%,38.5%,38.5%,80.0%,0.0%,46.2%,15.4%,38.5%,8.5%,22,37,59,16535
Connor Joe,SEA,AAA,33,318,.310,1.04,21.4%,40.0%,38.6%,25.9%,9.9%,48.3%,19.9%,31.8%,8.5%,516,771,1287,16572
Luis Urías,ARI,AAA,29,117,.367,1.24,25.3%,41.4%,33.3%,18.2%,9.1%,58.0%,17.0%,25.0%,5.9%,148,275,423,16622
Brian O'Keefe,SEA,AAA,32,150,.309,0.89,27.1%,34.4%,38.5%,24.3%,10.8%,43.4%,27.3%,29.3%,13.4%,224,350,574,16680
Aramis Garcia,ARI,AAA,33,112,.283,0.76,32.3%,29.2%,38.5%,44.0%,20.0%,40.0%,30.8%,29.2%,9.5%,169,283,452,16925
Chadwick Tromp,LAD,AAA,31,33,.333,4.00,9.1%,72.7%,18.2%,50.0%,0.0%,66.7%,16.7%,16.7%,9.8%,66,77,143,16953
Jose Herrera,TEX,AAA,29,155,.286,2.36,26.0%,52.0%,22.0%,9.1%,9.1%,57.4%,17.8%,24.8%,6.2%,261,369,630,17040
Chad Wallach,OAK,AAA,34,146,.286,1.38,22.5%,44.9%,32.6%,20.7%,10.3%,51.1%,17.0%,31.9%,15.5%,196,340,536,17161
Jose Siri,LAA,AAA,30,140,.369,0.77,28.7%,31.0%,40.2%,25.7%,14.3%,36.7%,28.9%,34.4%,15.7%,202,359,561,17452
Vimael Machín,COL,AAA,32,488,.319,1.43,25.8%,43.7%,30.5%,10.1%,11.0%,36.2%,28.5%,35.4%,7.8%,711,1188,1899,17684
Richie Martin Jr.,COL,AAA,31,215,.264,1.80,22.8%,49.6%,27.6%,28.6%,14.3%,46.6%,27.5%,26.0%,13.1%,322,528,850,17736
Jakson Reetz,SEA,AAA,30,175,.287,1.58,25.0%,46.0%,29.0%,41.7%,8.3%,57.9%,23.0%,19.0%,11.9%,253,428,681,17837
Harrison Bader,SFG,AAA,32,23,.182,0.29,18.2%,18.2%,63.6%,14.3%,28.6%,38.5%,30.8%,30.8%,9.5%,42,53,95,18030
Jake Cronenworth,SDP,AAA,32,12,.222,0.80,10.0%,40.0%,50.0%,60.0%,20.0%,40.0%,0.0%,60.0%,5.1%,20,39,59,18036
LaMonte Wade Jr.,HOU,AAA,32,13,.250,3.00,25.0%,75.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,10.0%,24,36,60,18126
Victor Robles,SEA,AAA,29,54,.355,0.75,27.6%,31.0%,41.4%,33.3%,0.0%,41.9%,32.3%,25.8%,13.6%,92,129,221,18363
Andy Ibáñez,SEA,AAA,33,71,.283,1.06,30.2%,35.8%,34.0%,22.2%,11.1%,50.9%,23.6%,25.5%,10.2%,87,167,254,18819
Seby Zavala,LAD,AAA,32,62,.250,0.30,23.5%,17.6%,58.8%,20.0%,10.0%,47.1%,23.5%,29.4%,19.8%,92,165,257,18887
Will Smith,LAD,AAA,31,16,.273,0.60,33.3%,25.0%,41.7%,40.0%,20.0%,25.0%,25.0%,50.0%,10.7%,25,50,75,19197
Lourdes Gurriel Jr.,ARI,AAA,32,33,.143,1.00,23.8%,38.1%,38.1%,25.0%,0.0%,38.1%,28.6%,33.3%,14.4%,36,96,132,19238
Cavan Biggio,HOU,AAA,31,524,.269,0.68,21.9%,31.6%,46.5%,15.7%,12.9%,49.0%,26.6%,24.3%,5.8%,952,1243,2195,19252
Nick Senzel,LAD,AAA,31,96,.206,0.81,12.5%,39.1%,48.4%,25.8%,6.5%,46.9%,20.3%,32.8%,7.6%,158,238,396,19293
Nick Solak,SDP,AAA,31,465,.332,1.68,26.4%,46.1%,27.5%,21.2%,16.2%,42.8%,25.7%,31.5%,7.5%,570,1076,1646,19294
Donovan Walton,LAA,AAA,32,168,.286,1.34,26.1%,42.3%,31.5%,20.0%,20.0%,43.8%,29.5%,26.8%,8.1%,286,371,657,19314
Matt Krook,OAK,AAA,31,1,1.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0,2,2,19315
Matt Thaiss,HOU,AAA,31,47,.273,1.27,24.2%,42.4%,33.3%,9.1%,0.0%,36.4%,30.3%,33.3%,15.2%,48,97,145,19318
Nicky Lopez,COL,AAA,31,62,.354,1.31,24.5%,42.9%,32.7%,0.0%,6.3%,30.6%,32.7%,36.7%,6.6%,80,131,211,19339
Weston Wilson,SEA,AAA,31,10,.750,2.00,62.5%,25.0%,12.5%,0.0%,0.0%,50.0%,25.0%,25.0%,5.1%,16,23,39,19358
Trenton Brooks,HOU,AAA,30,246,.293,1.13,25.2%,39.6%,35.2%,26.8%,7.1%,44.4%,22.8%,32.7%,6.4%,426,597,1023,19384
Brian Serven,OAK,AAA,31,262,.399,1.60,26.8%,45.1%,28.1%,25.6%,20.9%,47.8%,21.0%,31.2%,12.5%,401,668,1069,19422
Tommy Edman,LAD,AAA,31,57,.382,3.29,14.3%,65.7%,20.0%,28.6%,14.3%,54.3%,14.3%,31.4%,7.3%,86,148,234,19470
Andrew Knizner,COL,AAA,31,140,.279,1.14,16.8%,44.2%,38.9%,13.5%,27.0%,49.5%,32.6%,17.9%,8.1%,178,315,493,19514
Nate Mondou,SDP,AAA,31,160,.306,0.76,28.2%,31.1%,40.8%,19.0%,11.9%,36.5%,23.1%,40.4%,8.7%,248,442,690,19563
Daniel Johnson,HOU,AAA,30,56,.209,1.75,21.4%,50.0%,28.6%,16.7%,8.3%,45.5%,22.7%,31.8%,9.9%,66,136,202,19643
Dairon Blanco,TEX,AAA,33,73,.311,1.92,11.6%,58.1%,30.2%,15.4%,0.0%,48.9%,11.1%,40.0%,11.7%,107,167,274,19779
Jhonny Pereda,SEA,AAA,30,210,.355,1.31,28.4%,40.6%,31.0%,18.8%,6.3%,36.5%,25.2%,38.4%,8.2%,302,450,752,19802
Chuckie Robinson,LAD,AAA,31,126,.250,1.64,21.4%,48.8%,29.8%,20.0%,20.0%,40.0%,27.1%,32.9%,11.3%,179,298,477,19824
Luis Rengifo,SDP,AAA,29,27,.333,2.25,27.8%,50.0%,22.2%,25.0%,50.0%,40.0%,25.0%,35.0%,3.8%,35,70,105,19858
Pavin Smith,ARI,AAA,30,164,.360,1.23,26.6%,40.4%,33.0%,19.4%,19.4%,43.2%,28.4%,28.4%,7.4%,286,405,691,19892
Diego Castillo,TEX,AAA,28,405,.331,1.39,29.3%,41.1%,29.6%,23.7%,5.4%,42.0%,21.3%,36.7%,5.9%,555,998,1553,19906
Josh Lowe,LAA,AAA,28,126,.348,0.83,28.4%,32.4%,39.2%,13.8%,31.0%,36.0%,34.7%,29.3%,15.8%,209,336,545,19953
Mickey Moniak,COL,AAA,28,13,.100,1.25,10.0%,50.0%,40.0%,25.0%,0.0%,30.0%,40.0%,30.0%,20.0%,11,29,40,19956
Taylor Trammell,HOU,AAA,28,45,.278,0.23,20.0%,15.0%,65.0%,15.4%,15.4%,50.0%,35.0%,15.0%,15.1%,87,112,199,19960
Jared Oliva,SFG,AAA,30,60,.317,3.43,22.5%,60.0%,17.5%,42.9%,0.0%,73.8%,7.1%,19.0%,9.1%,82,159,241,19968
Conner Capel,COL,AAA,29,185,.254,0.96,24.3%,37.1%,38.6%,20.4%,5.6%,41.3%,21.7%,37.1%,8.2%,239,409,648,19983
Santiago Espinal,TEX,AAA,31,88,.365,1.81,27.4%,46.8%,25.8%,37.5%,6.3%,57.8%,18.8%,23.4%,7.8%,124,222,346,19997
Bryce Johnson,SDP,AAA,30,220,.333,1.27,30.1%,39.1%,30.8%,4.9%,4.9%,42.8%,27.5%,29.7%,10.1%,356,538,894,20002
Miles Mastrobuoni,SEA,AAA,30,193,.295,1.57,31.8%,41.7%,26.5%,22.9%,8.6%,36.3%,30.4%,33.3%,5.9%,319,471,790,20017
Gilberto Celestino,TEX,AAA,27,205,.343,5.22,18.2%,68.6%,13.1%,0.0%,16.7%,34.1%,26.1%,39.9%,10.8%,311,484,795,20233
Jake Meyers,HOU,AAA,30,132,.289,1.58,26.4%,45.1%,28.6%,34.6%,7.7%,43.5%,25.0%,31.5%,9.7%,171,301,472,20308
Stuart Fairchild,SEA,AAA,30,128,.316,0.80,22.2%,34.6%,43.2%,17.1%,14.3%,49.4%,24.7%,25.9%,12.3%,171,245,416,20321
Nick Madrigal,LAA,AAA,29,168,.270,1.95,21.0%,52.2%,26.8%,18.9%,5.4%,37.6%,22.0%,40.4%,3.7%,228,363,591,20521
Nolan Jones,SEA,AAA,28,88,.250,1.50,28.6%,42.9%,28.6%,18.8%,25.0%,37.5%,30.4%,32.1%,7.0%,143,230,373,20529
Jose F Miranda,SDP,AAA,28,120,.305,1.11,28.9%,37.3%,33.7%,14.3%,17.9%,46.0%,23.0%,31.0%,9.9%,162,291,453,20538
CJ Alexander,HOU,AAA,29,364,.318,0.73,27.3%,30.6%,42.1%,18.2%,23.9%,38.1%,29.8%,32.1%,14.2%,591,927,1518,20557
Logan Porter,SFG,AAA,30,187,.254,1.09,25.0%,39.2%,35.8%,11.6%,9.3%,53.3%,23.0%,23.8%,11.7%,267,449,716,20626
