Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Andrew Salas,MIA,A,18,43,159,184,27,19,5,1,2,20,16,20,0,48,2,2,1,1,6,4,.170,sa3067045
Juan Sanchez,TOR,A,18,94,357,402,76,45,23,1,7,58,43,33,0,102,10,2,0,6,12,1,.213,sa3067129
Ediel Rivera,NYY,A,20,63,198,233,39,30,5,0,4,36,25,22,0,71,11,2,0,4,6,1,.197,sa3067330
Jude Warwick,DET,A,20,108,392,446,84,51,20,3,10,65,51,44,0,125,6,3,1,2,15,4,.214,sa3067338
Hunter Dobbins,DET,A,23,57,183,208,42,21,11,2,8,30,39,22,0,71,3,0,0,1,0,0,.230,sa3067393
Jalen Hairston,CIN,A,22,57,199,244,63,36,19,1,7,44,40,36,0,52,5,3,1,2,5,3,.317,sa3067395
Luis Leon,MIA,A,19,19,57,62,9,8,0,0,1,6,6,3,0,24,2,0,0,1,5,1,.158,sa3067401
Carl Calixte,PIT,A,19,7,24,25,4,3,1,0,0,3,1,1,0,11,0,0,0,1,0,0,.167,sa3067444
John Cristino,NYY,A,26,10,30,37,5,3,1,0,1,5,7,5,0,12,2,0,0,0,0,0,.167,sa3067467
Elian Peña,NYM,A,18,96,365,439,99,71,18,2,8,72,44,61,3,94,10,2,1,2,28,9,.271,sa3067674
Jhomnardo Reyes,MIN,A,18,7,21,27,2,2,0,0,0,4,2,6,0,6,0,0,0,0,3,1,.095,sa3067700
Kenly Hunter,STL,A,18,3,13,14,3,3,0,0,0,2,1,0,0,3,1,0,0,0,1,1,.231,sa3067701
Romeli Espinosa,PHI,A,18,6,13,17,2,1,0,1,0,2,1,1,0,7,2,1,0,0,0,0,.154,sa3067704
Fredderick Ovalle,PIT,A,19,39,126,153,22,18,3,0,1,17,4,25,0,21,1,0,1,4,3,1,.175,sa3067718
Sebastian Dos Santos,STL,A,18,55,199,255,49,31,8,0,10,47,36,44,0,60,9,3,0,0,18,4,.246,sa3067732
Hyun Seung Lee,PIT,A,18,15,51,60,8,6,1,0,1,9,3,9,0,23,0,0,0,1,0,0,.157,sa3067735
Angel De Los Santos,DET,A,18,24,94,105,22,16,3,0,3,18,12,11,0,28,0,0,0,0,10,3,.234,sa3067737
Yovanny Duran,MIN,A,18,19,69,83,10,6,3,0,1,9,9,13,0,24,0,1,0,2,7,3,.145,sa3067747
Miguel Hernández,STL,A,18,25,79,103,24,14,7,1,2,16,8,20,0,27,4,0,0,1,7,3,.304,sa3067750
Luis Arana,MIA,A,18,65,241,282,61,47,12,0,2,47,23,34,0,54,4,1,2,5,30,10,.253,sa3067767
Yunior Amparo,NYM,A,19,3,13,14,2,2,0,0,0,0,1,1,0,8,0,0,0,0,0,0,.154,sa3068395
Gabriel Flores,PHI,A,18,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,sa3068396
Alexander Frias,STL,A,18,25,93,110,23,16,4,1,2,15,11,13,0,30,3,1,0,0,6,1,.247,sa3068835
Harry Genth,MIN,A,23,39,104,141,17,7,8,0,2,20,16,23,0,50,14,0,0,3,15,3,.163,sa3069005
Matt Scannell,TOR,A,24,2,5,7,1,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,.200,sa3069006
Tyler Pettorini,PHI,A,23,35,106,115,19,17,1,1,0,16,10,8,0,17,0,1,0,1,13,2,.179,sa3069009
Chase Meggers,NYM,A,23,69,238,268,56,40,14,0,2,33,35,23,0,72,5,2,0,3,3,2,.235,sa3069012
Sam Robertson,NYM,A,21,41,135,166,34,28,5,1,0,22,17,27,0,46,3,1,0,0,24,5,.252,sa3069014
Luis Hernandez,MIN,A,23,8,28,33,7,5,1,0,1,6,1,2,0,9,3,0,0,3,1,0,.250,sa3069031
AJ Salgado,NYM,A,24,58,203,235,48,30,7,3,8,37,31,26,1,57,4,2,0,3,9,3,.236,sa3069033
Chase Heath,STL,A,22,72,257,294,52,33,13,0,6,32,29,31,0,71,5,1,0,1,6,4,.202,sa3069050
Nathan Humphreys,PHI,A,23,70,254,310,67,38,17,0,12,50,41,48,0,49,5,2,1,6,21,5,.264,sa3069051
Robert Phelps,PHI,A,22,82,295,368,80,59,13,1,7,53,37,53,0,60,15,5,0,4,19,7,.271,sa3069052
Jonathan Hogart,PHI,A,24,95,301,379,71,40,12,2,17,70,64,60,0,107,13,4,1,6,8,1,.236,sa3069054
Dax Kilby,NYY,A,19,32,115,154,30,20,4,2,4,26,26,39,0,31,0,0,0,2,12,3,.261,sa3069080
Ian Daugherty,MIN,A,23,20,65,74,7,5,1,0,1,5,5,8,0,30,1,0,0,1,1,0,.108,sa3069088
Matthew Ferrara,PHI,A,19,115,411,486,100,66,22,6,6,80,60,53,0,108,13,7,2,2,36,5,.243,sa3069108
Jack Barker,PHI,A,21,12,41,46,3,1,1,1,0,5,1,4,0,20,0,0,1,0,3,0,.073,sa3069173
