Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Marcus Semien,NYM,AA,35,3,1.000,0.00,50.0%,0.0%,50.0%,0.0%,100.0%,50.0%,50.0%,0.0%,6.7%,6,9,15,12533
Francisco Lindor,NYM,AA,32,4,.333,0.50,0.0%,33.3%,66.7%,0.0%,0.0%,0.0%,66.7%,33.3%,5.0%,8,12,20,12916
Jorge Polanco,NYM,AA,32,7,1.000,0.00,50.0%,0.0%,50.0%,0.0%,100.0%,100.0%,0.0%,0.0%,7.1%,14,14,28,13152
Tyrone Taylor,NYM,AA,32,3,.500,0.00,33.3%,0.0%,66.7%,0.0%,50.0%,33.3%,33.3%,33.3%,9.1%,4,7,11,13675
Ryan McMahon,NYY,AA,31,3,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,6,7,13,15112
Mike Tauchman,NYM,AA,35,9,.600,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,60.0%,20.0%,20.0%,9.5%,20,22,42,15274
Trent Grisham,NYY,AA,29,4,.333,0.00,33.3%,0.0%,66.7%,50.0%,0.0%,33.3%,33.3%,33.3%,0.0%,9,9,18,18564
Yohel Pozo,BAL,AA,29,8,.250,6.00,12.5%,75.0%,12.5%,100.0%,0.0%,25.0%,12.5%,62.5%,0.0%,4,15,19,18848
Conner Capel,COL,AA,29,254,.298,0.77,26.4%,32.0%,41.6%,24.3%,16.2%,40.0%,31.7%,28.3%,9.5%,358,575,933,19983
Luis Robert Jr.,NYM,AA,28,14,.625,1.00,33.3%,33.3%,33.3%,0.0%,33.3%,33.3%,33.3%,33.3%,13.6%,13,31,44,20043
Mark Kolozsvary,PHI,AA,30,24,.250,0.50,25.0%,25.0%,50.0%,25.0%,0.0%,62.5%,25.0%,12.5%,18.4%,47,51,98,21304
Romy Gonzalez,BOS,AA,29,9,.000,5.00,0.0%,83.3%,16.7%,0.0%,100.0%,83.3%,16.7%,0.0%,13.3%,15,15,30,21562
Oneil Cruz,PIT,AA,27,18,.231,2.00,25.0%,50.0%,25.0%,33.3%,0.0%,61.5%,15.4%,23.1%,4.2%,33,39,72,21711
Mark Vientos,NYM,AA,26,6,.000,0.00,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,16.0%,12,13,25,22184
Nick Sogard,BOS,AA,28,12,.200,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,80.0%,0.0%,20.0%,8.9%,31,25,56,25483
Marco Luciano,NYY,AA,24,117,.383,0.63,29.0%,27.5%,43.5%,10.0%,33.3%,44.3%,25.7%,30.0%,13.3%,167,275,442,25616
Jared Triolo,PIT,AA,28,14,.444,1.50,44.4%,33.3%,22.2%,0.0%,50.0%,40.0%,30.0%,30.0%,3.5%,22,35,57,25807
C.J. Stubbs,TOR,AA,29,12,.667,2.00,50.0%,33.3%,16.7%,100.0%,0.0%,57.1%,28.6%,14.3%,23.7%,11,27,38,25814
Maverick Handley,BAL,AA,28,23,.500,1.33,41.7%,33.3%,25.0%,0.0%,0.0%,41.7%,16.7%,41.7%,16.5%,33,52,85,26106
Kenedy Corona,NYY,AA,26,87,.302,1.41,24.1%,44.4%,31.5%,29.4%,17.6%,42.9%,33.9%,23.2%,13.9%,123,208,331,26244
Angel Martínez,CLE,AA,24,9,.286,0.40,12.5%,25.0%,62.5%,40.0%,20.0%,62.5%,12.5%,25.0%,2.4%,17,24,41,26540
Robert Hassell III,PIT,AA,24,24,.286,4.00,28.6%,57.1%,14.3%,0.0%,0.0%,42.9%,28.6%,28.6%,12.7%,47,55,102,27482
Anthony Volpe,NYY,AA,25,34,.280,2.20,36.0%,44.0%,20.0%,0.0%,0.0%,52.0%,28.0%,20.0%,7.8%,58,83,141,27647
Pedro León,PHI,AA,28,316,.361,1.19,28.1%,39.1%,32.8%,33.3%,22.2%,56.5%,21.8%,21.8%,15.9%,410,759,1169,27781
Angel Genao,CLE,AA,22,110,.313,3.18,28.1%,54.7%,17.2%,9.1%,27.3%,46.3%,23.9%,29.9%,7.8%,198,252,450,28811
Samuel Basallo,BAL,AA,21,5,.000,0.50,0.0%,33.3%,66.7%,50.0%,0.0%,33.3%,66.7%,0.0%,20.0%,7,18,25,28824
James Wood,WSN,AA,23,7,.333,2.00,25.0%,50.0%,25.0%,0.0%,100.0%,50.0%,25.0%,25.0%,10.3%,14,15,29,29518
Heston Kjerstad,BAL,AA,27,6,.167,4.00,33.3%,66.7%,0.0%,0.0%,0.0%,50.0%,16.7%,33.3%,7.1%,13,15,28,31166
