Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Andy Ibáñez,NYM,A+,33,22,4.5%,9.1%,0.50,.600,.636,.800,1.436,.200,1.6,.647,-0.1,9,5.6,.639,282,18819
Sean Murphy,ATL,A+,31,11,9.1%,18.2%,0.50,.000,.182,.000,.182,.000,0.1,.000,0.0,0,-2.0,.139,-19,19352
René Pinto,PHI,A+,29,12,0.0%,33.3%,0.00,.250,.250,.250,.500,.000,0.1,.375,0.0,1,-1.2,.232,33,19859
Mark Kolozsvary,PHI,A+,30,19,36.8%,31.6%,1.17,.333,.579,.833,1.412,.500,3.7,.500,0.1,7,3.9,.580,244,21304
Michael Siani,BAL,A+,26,9,11.1%,55.6%,0.20,.000,.111,.000,.111,.000,2.5,.000,-0.5,-1,-2.1,.084,-61,22557
Luis Vázquez,BAL,A+,26,34,2.9%,35.3%,0.08,.313,.353,.438,.790,.125,7.0,.500,0.4,5,0.3,.359,107,23442
Liover Peguero,PHI,A+,25,25,4.0%,28.0%,0.14,.083,.120,.083,.203,.000,0.1,.118,0.0,-2,-5.3,.104,-45,24273
Grae Kessinger,NYM,A+,28,29,20.7%,31.0%,0.67,.150,.414,.300,.714,.150,2.6,.273,-0.1,5,0.5,.368,117,25813
Maverick Handley,ATL,A+,28,15,6.7%,26.7%,0.25,.364,.467,.455,.921,.091,3.7,.500,-0.6,3,1.0,.425,154,26106
Pedro León,PHI,A+,28,25,4.0%,32.0%,0.13,.250,.280,.583,.863,.333,7.8,.333,0.2,4,0.3,.361,111,27781
Jhostynxon Garcia,PIT,A+,23,12,8.3%,33.3%,0.25,.182,.250,.182,.432,.000,0.1,.286,0.0,0,-1.4,.218,15,28142
Justyn-Henry Malloy,TBR,A+,26,26,26.9%,15.4%,1.75,.474,.615,1.000,1.615,.526,1.8,.500,-0.6,11,7.0,.655,287,29606
Jack Brannigan,PIT,A+,25,16,6.3%,25.0%,0.25,.357,.438,.786,1.223,.429,1.1,.375,-0.1,5,2.3,.514,196,31471
Tim Elko,CHW,A+,27,22,9.1%,54.5%,0.17,.150,.227,.250,.477,.100,0.1,.375,0.0,1,-2.3,.226,27,31522
Jackson Holliday,BAL,A+,22,9,0.0%,0.0%,0.00,.250,.333,.375,.708,.125,2.6,.250,0.0,1,-0.1,.332,90,31781
Gabriel Rincones Jr.,PHI,A+,25,12,25.0%,25.0%,1.00,.000,.250,.000,.250,.000,4.6,.000,0.2,0,-1.7,.188,6,31958
Freuddy Batista,HOU,A+,26,210,8.1%,18.1%,0.45,.268,.348,.426,.774,.158,4.2,.298,-0.4,31,0.5,.351,89,sa3002866
Hemmanuel Rosario,HOU,A+,25,22,0.0%,22.7%,0.00,.273,.273,.545,.818,.273,1.1,.267,0.0,3,0.0,.346,86,sa3005130
