Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Adam Frazier,LAA,A,34,18,.333,0.83,26.7%,33.3%,40.0%,0.0%,16.7%,56.3%,18.8%,25.0%,6.5%,32,45,77,15223
Sebastián Rivero,LAA,A,27,17,.077,1.25,30.8%,38.5%,30.8%,25.0%,0.0%,46.2%,38.5%,15.4%,8.3%,24,48,72,21735
Vaughn Grissom,LAA,A,25,5,.500,3.00,0.0%,75.0%,25.0%,0.0%,0.0%,50.0%,25.0%,25.0%,9.1%,10,12,22,26031
Adael Amador,COL,A,23,10,.444,0.75,22.2%,33.3%,44.4%,50.0%,0.0%,55.6%,22.2%,22.2%,3.3%,8,22,30,27962
Denzel Clarke,OAK,A,26,6,.600,1.50,16.7%,50.0%,33.3%,0.0%,50.0%,33.3%,16.7%,50.0%,5.0%,6,14,20,29858
Wade Meckler,LAA,A,26,9,.400,0.33,33.3%,16.7%,50.0%,0.0%,33.3%,33.3%,33.3%,33.3%,6.5%,23,23,46,31490
Nolan Schanuel,LAA,A,24,5,.250,0.00,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,75.0%,25.0%,25.0%,2,14,16,33189
Travis d'Arnaud,LAA,A,37,4,.000,1.00,50.0%,25.0%,25.0%,100.0%,0.0%,75.0%,0.0%,25.0%,7.1%,7,7,14,7739
Victor Duarte,SDP,A,25,84,.308,1.25,15.1%,47.2%,37.7%,30.0%,10.0%,42.6%,24.1%,33.3%,11.9%,132,197,329,sa3008904
Rubel Cespedes,LAA,A,25,21,.154,1.00,0.0%,50.0%,50.0%,28.6%,14.3%,50.0%,21.4%,28.6%,8.0%,31,56,87,sa3008953
Gleiner Diaz,SEA,A,22,0,.000,,,,,,,,,,,,,,sa3015501
Diosfran Cabeza,ARI,A,23,6,.400,0.50,40.0%,20.0%,40.0%,0.0%,0.0%,0.0%,0.0%,100.0%,7.7%,8,18,26,sa3015517
Juan Castillo,COL,A,23,14,.286,0.25,28.6%,14.3%,57.1%,25.0%,0.0%,57.1%,42.9%,0.0%,9.7%,31,31,62,sa3015541
Jose D. Hernandez,LAD,A,23,81,.273,1.13,8.6%,48.6%,42.9%,6.7%,26.7%,48.6%,24.3%,27.0%,13.7%,140,195,335,sa3015557
Carlos Franco,OAK,A,23,9,.000,2.00,40.0%,40.0%,20.0%,0.0%,0.0%,100.0%,0.0%,0.0%,7.7%,19,20,39,sa3015580
George Feliz,SEA,A,23,274,.326,0.98,17.4%,41.0%,41.7%,23.3%,8.3%,38.4%,26.7%,34.9%,17.1%,369,701,1070,sa3015596
Luis Mendez,COL,A,23,261,.286,2.53,23.0%,55.2%,21.8%,33.3%,5.6%,45.0%,25.7%,29.2%,10.4%,391,653,1044,sa3015650
Starlin Aguilar,SEA,A,22,276,.347,2.48,21.5%,55.9%,22.6%,15.0%,25.0%,47.8%,20.6%,31.7%,17.9%,388,681,1069,sa3015722
Adrian De Leon,ARI,A,22,70,.185,0.39,16.7%,23.3%,60.0%,50.0%,16.7%,58.1%,25.8%,16.1%,10.9%,127,166,293,sa3015864
Cesar Quintas,SEA,A,23,417,.326,1.67,18.2%,51.1%,30.7%,20.2%,10.7%,40.1%,21.9%,38.0%,12.6%,630,1033,1663,sa3016109
Ricardo Cova,SEA,A,22,354,.316,1.54,19.8%,48.7%,31.6%,18.1%,10.8%,45.3%,25.4%,29.3%,12.3%,380,770,1150,sa3016186
Jose Ramos,SFG,A,23,58,.250,1.00,29.0%,35.5%,35.5%,36.4%,9.1%,54.3%,20.0%,25.7%,10.2%,79,137,216,sa3016541
Jose Astudillo,SFG,A,22,199,.338,1.54,21.1%,47.8%,31.1%,10.0%,12.0%,44.9%,15.6%,39.5%,8.1%,208,431,639,sa3016548
Moises Alcala,ARI,A,23,19,.182,1.20,15.4%,46.2%,38.5%,0.0%,40.0%,46.2%,23.1%,30.8%,9.9%,18,53,71,sa3016628
Jakey Josepha,ARI,A,22,214,.342,1.63,21.4%,48.7%,29.9%,20.0%,5.7%,34.5%,26.9%,38.7%,12.1%,354,527,881,sa3017481
