Estimated FB Bin,Players,Median AB,Median Estimated FB,Total PA,Total AB,Total Estimated FB,HR/FB% Mean,HR/FB% Median,HR/FB% PA Weighted,HR/FB% Std,HR/FB% IQR,IFFB% Mean,IFFB% Median,IFFB% PA Weighted,IFFB% Std,IFFB% IQR,HR_IFFB_ratio Mean,HR_IFFB_ratio Median,HR_IFFB_ratio PA Weighted,HR_IFFB_ratio Std,HR_IFFB_ratio IQR,FB% Mean,FB% Median,FB% PA Weighted,FB% Std,FB% IQR,LD% Mean,LD% Median,LD% PA Weighted,LD% Std,LD% IQR,GB% Mean,GB% Median,GB% PA Weighted,GB% Std,GB% IQR,Balls_in_Air Mean,Balls_in_Air Median,Balls_in_Air PA Weighted,Balls_in_Air Std,Balls_in_Air IQR
0-9,1264.0,18.0,3.999999996,33253.0,28041.0,5557.23952469,0.08067996300000001,0.0,0.0844810245167654,0.18844379088120664,0.111111111,0.20588773687974682,0.142857142,0.224804297671368,0.24742009347614707,0.333333333,0.3133856396573617,0.0,0.36021379063315917,0.6468982264137987,0.4999999982499999,0.32613264603955694,0.307692307,0.29707721032481277,0.20153104122609636,0.221052631,0.21214332815348103,0.2,0.2251172502567287,0.16233094273653725,0.18055555500000003,0.4593506071914556,0.458333333,0.4776251034927375,0.20884918503559488,0.238095238,0.5406493928085443,0.541666667,0.5223748965072625,0.2088491850355949,0.238095238
10-19,797.0,65.0,14.999999979999998,63942.0,54006.0,11930.247858979,0.07039302413801757,0.055555555,0.07289634560431328,0.08271328601586958,0.111111111,0.23168076561355078,0.214285714,0.22559955354244474,0.13301339247864644,0.179166667,0.4526156288469767,0.19999999821999995,0.48188253838211065,0.765914711170266,0.5,0.34498524322835633,0.333333333,0.32179871942375904,0.10167041984699891,0.13636363699999998,0.20568049537013802,0.20338983,0.21090568852391228,0.07034639533022324,0.08908046,0.44933426019196987,0.457142857,0.4672955908025867,0.09894711759363596,0.13687782799999998,0.5506657398080301,0.542857143,0.5327044091974134,0.09894711759363596,0.13687782800000003
20-29,663.0,102.0,24.851851827,82310.0,69182.0,16575.471611571,0.06760232909954751,0.045454545,0.07005609007610256,0.06994970893863571,0.103448275,0.23875259107390648,0.238095238,0.23284245805572834,0.10602917282940258,0.13768116,0.42527850289540703,0.2,0.4568472549263049,0.7482534100030434,0.5,0.35733312223831065,0.35064935,0.34349460697138867,0.08408439342478212,0.11032125849999996,0.20590949214479637,0.208333333,0.20963768777775485,0.05620236516675996,0.07789598150000002,0.43675738430920064,0.4375,0.4468677039323047,0.08107111332838829,0.11791443899999998,0.5632426156907994,0.5625,0.5531322960676953,0.08107111332838829,0.11791443899999998
30-49,1025.0,149.0,38.481012588000006,188167.0,158865.0,40050.241710864,0.08026293002634147,0.064516129,0.08286005591864674,0.06696545765992139,0.08907563,0.23035570203512196,0.225,0.22460917588496387,0.09156682224614267,0.128875969,0.45728015570210084,0.2857142852857142,0.4821269552224292,0.5696605310240512,0.44642857202869896,0.36640260409658537,0.363636363,0.35340578364340186,0.07452460840831547,0.09956565299999998,0.2083670869473171,0.209090909,0.2118160580358724,0.04662936355541598,0.06693548300000002,0.42523030758146346,0.428571428,0.434778156950427,0.07259322411224362,0.09696897999999998,0.5747696924185367,0.5714285720000001,0.565221843049573,0.07259322411224362,0.09696897999999998
50-74,599.0,236.0,60.544600896,168903.0,144403.0,36647.86117394,0.09073488167111854,0.081967213,0.09326995914681208,0.06471292527077604,0.08756751599999998,0.22517876859432384,0.220588235,0.21977148246919237,0.07796066798191317,0.10194902500000003,0.4968397760633098,0.357142856877551,0.525319515112677,0.5260442091059061,0.4901960757793158,0.3662021143873122,0.360406091,0.353063067877332,0.07537897589014396,0.1111884085,0.2178676299415693,0.218181818,0.2212940102741337,0.04142652682856943,0.05845494300000001,0.4159302542921536,0.415384615,0.42564292046566377,0.06915335259742232,0.09717343849999999,0.5840697457078464,0.584615385,0.5743570795343362,0.06915335259742231,0.09717343850000004
75-99,358.0,339.5,86.31418760400001,141095.0,122274.0,31050.510786540002,0.09799218081005584,0.089743589,0.09949961572087601,0.058069834094294955,0.084915085,0.22661570761173183,0.223466833,0.22360755044521066,0.0749790641546848,0.09237013000000002,0.5486832151205159,0.39999999668999997,0.5719017980172284,0.5769369618167817,0.4955301882151574,0.36094431703351953,0.356551748,0.3540481416070449,0.06110882965782278,0.0847797495,0.2263859819497207,0.22628347799999998,0.22808637072371807,0.03575590146171563,0.049619518249999994,0.41266969955865923,0.4121262655,0.4178654862094475,0.06020269958204362,0.08139281949999999,0.5873303004413408,0.5878737345,0.5821345137905525,0.06020269958204362,0.08139281949999988
100-149,230.0,405.0,112.678043256,108342.0,94002.0,26471.367170413003,0.09542227824782608,0.0920900465,0.0964317753406989,0.04699058322719323,0.06464208099999999,0.22909821788260873,0.218113465,0.22634351316698045,0.06548400518668959,0.08714531875,0.4596783959815869,0.42206477640263934,0.47089329394649043,0.29945950122155307,0.3353156260034329,0.3877812627130434,0.3900376015,0.3842761491964058,0.057934075873471214,0.08159739700000002,0.22142452063913043,0.21838052600000002,0.2222677750629211,0.030140760106707208,0.04211818275000001,0.3907942152260869,0.387460421,0.39345607430635393,0.053564259100354464,0.06637950575000001,0.6092057847739131,0.612539579,0.606543925693646,0.053564259100354464,0.06637950575000007
150+,3.0,490.0,157.07734801200002,1639.0,1463.0,469.65878324899995,0.11697202900000002,0.126506024,0.11676493746857841,0.025000237040104744,0.023597437500000013,0.19077623166666666,0.185185185,0.1907377319871873,0.0356740327709986,0.03534390699999998,0.6153216359562288,0.5599999944384,0.6143225957276769,0.1022675115608364,0.09035087661819019,0.44660864266666667,0.447513812,0.4466562780012203,0.02270021012466068,0.022686671000000047,0.2113118026666667,0.198979591,0.21167884867602196,0.04206084206985774,0.0406823285,0.342079553,0.375690607,0.3416648716503966,0.059834449232187524,0.052276993999999966,0.6579204470000001,0.624309393,0.6583351283496035,0.059834449232187566,0.05227699400000008
