Metric,wRC+ Correlation,N
FGPts_per_game,0.7888518031447463,4851
Approach_score,0.35554399503599865,4685
Speed_score,0.2709181331669027,4851
LD%,0.2689566469339197,4766
HR_FB_pct,0.38919065427394745,4766
