AB Bin,Players,Median AB,Median Estimated FB,Total PA,Total AB,Total Estimated FB,HR/FB% Mean,HR/FB% Median,HR/FB% PA Weighted,HR/FB% Std,HR/FB% IQR,IFFB% Mean,IFFB% Median,IFFB% PA Weighted,IFFB% Std,IFFB% IQR,HR_IFFB_ratio Mean,HR_IFFB_ratio Median,HR_IFFB_ratio PA Weighted,HR_IFFB_ratio Std,HR_IFFB_ratio IQR,FB% Mean,FB% Median,FB% PA Weighted,FB% Std,FB% IQR,LD% Mean,LD% Median,LD% PA Weighted,LD% Std,LD% IQR,GB% Mean,GB% Median,GB% PA Weighted,GB% Std,GB% IQR,Balls_in_Air Mean,Balls_in_Air Median,Balls_in_Air PA Weighted,Balls_in_Air Std,Balls_in_Air IQR
0-24,937.0,10.0,2.666666664,11681.0,9811.0,2403.8975804210004,0.0744361127952381,0.0,0.08168524459763314,0.18927953402891906,0.0,0.18625732725833333,0.0,0.21797890210445076,0.2729961232272999,0.333333333,0.22419962340088906,0.0,0.24072552498630354,0.5293819660375024,0.0,0.3416867882928571,0.333333333,0.35384768936257616,0.24147572171181952,0.3102678575,0.19498158477857142,0.166666666,0.20701231425349456,0.19028794917355651,0.294117647,0.4311887690678572,0.428571428,0.43425190697693167,0.25353740963325844,0.287698413,0.5688112309321428,0.5714285720000001,0.5657480930230684,0.25353740963325844,0.287698413
25-49,545.0,37.0,8.533333312,24012.0,20194.0,4867.538444894,0.07934848018899084,0.0,0.07594310331475929,0.1652525004704121,0.125,0.2380651095651376,0.23076923,0.23805260893890556,0.17066658371304005,0.22222222200000002,0.3740933461615849,0.0,0.3745376164925727,0.6832829430326275,0.5,0.3494360359027523,0.344827586,0.35011198303177576,0.11953827617165184,0.159340659,0.21253622285321103,0.208333333,0.21140076468965519,0.0917953118172114,0.126373627,0.43802774011009177,0.433333333,0.4384872511555056,0.11453568034385994,0.15612903200000006,0.5619722598899083,0.566666667,0.5615127488444944,0.11453568034385994,0.15612903200000006
50-74,489.0,62.0,14.666666652,36118.0,30282.0,7296.934198116,0.06598545056441718,0.052631578,0.06527635051949167,0.08525242871668054,0.1,0.24703749977096115,0.23076923,0.2462184860949388,0.13726812042452216,0.19047619100000002,0.38537184337805913,0.142857142,0.38374995821664853,0.6773728803995633,0.49999999725,0.3484600727014315,0.347826086,0.3497079600619359,0.0983796851764066,0.136015326,0.20612301523108384,0.2,0.20512398633265963,0.07260998468465053,0.09444444499999999,0.4454169108854806,0.44117647,0.44516805241718815,0.09824578708879343,0.134442134,0.5545830891145194,0.55882353,0.5548319475828117,0.09824578708879343,0.13444213399999994
75-99,482.0,87.0,21.277406022,50376.0,42204.0,10553.078611559,0.067244954813278,0.05,0.0667654097240551,0.07289563292519624,0.1,0.2355917724875519,0.23076923,0.2358252835091512,0.12027988568883445,0.17582010650000002,0.46107968816382944,0.1999999982,0.4587417670905429,0.8477502882624451,0.49999999743749995,0.3535412219564315,0.357675906,0.35559341059071786,0.09151055727519378,0.13399883725,0.2051130205394191,0.203257415,0.20419720283982454,0.05927863111844442,0.0855831745,0.44134575619087135,0.4412692155,0.4402093852532158,0.09112121010753209,0.13301321225000007,0.5586542438091286,0.5587307845,0.5597906147467843,0.09112121010753209,0.13301321225
100-149,907.0,123.0,30.97300137,133406.0,112035.0,28567.206249547,0.07433327045584989,0.055555555,0.0743896418610936,0.070627787374204,0.084795322,0.23288820900220747,0.23076923,0.23190894409447044,0.10112274145823115,0.13553876475000004,0.4269362193405844,0.249999998625,0.4321864420368464,0.6341050270476535,0.4166666666666667,0.3549545643002207,0.354838709,0.35637481235839935,0.08226530756381185,0.11039473625000001,0.20793596465673292,0.20626738649999998,0.20762744504885627,0.049481357098048045,0.06984687525000002,0.4371094696633554,0.434343434,0.4359977412101645,0.08136260153965706,0.11236544949999999,0.5628905303366446,0.565656566,0.5640022587898355,0.08136260153965708,0.11236544950000005
150-199,555.0,170.0,43.661016896,112466.0,95400.0,24521.580539421,0.08483833105225225,0.071428571,0.08470094611273629,0.06838833786694909,0.09004179749999999,0.22652001471891892,0.222222222,0.22597916381421942,0.08417660534879387,0.11594202900000003,0.4686301321363386,0.3333333291111111,0.46867937124556797,0.5308064340484341,0.48214285383035715,0.3575493886306306,0.353846153,0.3576230916636139,0.07292778710252794,0.10254605750000001,0.2131284617801802,0.211864406,0.21325421582512938,0.04512622685157593,0.06397012900000001,0.42932214823963966,0.430656934,0.4291226911600395,0.07157770154642151,0.09708901149999999,0.5706778517603603,0.5693430660000001,0.5708773088399606,0.07157770154642151,0.09708901150000004
200-299,523.0,243.0,60.522471864,149892.0,128217.0,32126.253113841,0.09679194695219884,0.088888888,0.0970515270221426,0.06251993935716312,0.08749810900000002,0.2225258487323136,0.22,0.22220156851998774,0.07918283688837843,0.1054280225,0.5460559311382853,0.3846153836213017,0.5487728340176319,0.5752273169718785,0.48750000335856775,0.35230880384703633,0.350877192,0.35246323308057803,0.06832648146544429,0.09732986599999993,0.22384819271128106,0.224390243,0.2238536167700211,0.03773187121522859,0.04976507500000002,0.42384300205544934,0.422857142,0.4236831487610947,0.06647625659020466,0.09644403050000006,0.5761569979445507,0.577142858,0.5763168512389054,0.06647625659020466,0.09644403050000006
300+,623.0,369.0,92.351144994,269929.0,234294.0,58416.109882447,0.09855277825842697,0.091836734,0.09920051512243959,0.058769812168009,0.077153558,0.2165651699036918,0.2125,0.2155443151690704,0.0717163352349077,0.08772604650000004,0.5509388166970248,0.4347826064593573,0.5576800892899347,0.5398805120975971,0.4333333352855555,0.3470504726051365,0.344512195,0.34662944077828983,0.06778737770309083,0.09721172100000008,0.2283418265890851,0.227436823,0.22851002448287142,0.03217344403886349,0.044795052999999974,0.4246076993707866,0.421296296,0.4248605332986489,0.0661480151219533,0.09065146550000003,0.5753923006292134,0.578703704,0.5751394667013511,0.0661480151219533,0.09065146550000003
