Source League ID,League Name,League Level,Players,Total G,Total PA,Total AB,Average Age,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+
2,International League,AAA,639.0,28578.0,112040.0,97315.0,26.2531506604784,6.583211756751949,0.5171649686490323,0.10809889734284227,0.2315344836811277,0.3477474555503803,4.852013392312969,0.23727780014088887,0.13854332781361545,100.0567094541368
4,Pacific Coast League,AAA,319.0,14363.0,59443.0,51169.0,26.748599498679408,7.6596287374238345,0.5719256160519681,0.1132276559619022,0.21674943142664754,0.38916694897736015,5.152239791922292,0.24777497445581598,0.14476923703379438,99.58655549580124
5,Eastern League,AA,324.0,15640.0,60309.0,52638.0,23.43917159959542,5.702502437439064,0.4737321695887181,0.10146784664671817,0.23862675132891614,0.3195868147541509,4.977234708939083,0.2285342966741418,0.09527316171466987,100.04653251895428
6,Southern League,AA,194.0,10250.0,40005.0,34676.0,23.637945256842894,5.5981349911190055,0.49709162745357477,0.10580777660147324,0.2351617576285814,0.3341049484681868,4.851953864273173,0.2235193608360122,0.08983626429305341,99.44531491731406
7,Texas League,AA,261.0,12771.0,52335.0,45589.0,23.878857361230533,6.2700258397932815,0.5052434601015161,0.10469819191404858,0.23010304496478484,0.34194007336771937,5.030632835473824,0.2342641430510743,0.1053604202676603,99.81519746666945
8,California League,A,216.0,9907.0,41637.0,35427.0,21.211638686744962,6.711618047844958,0.5458222651021827,0.11786504909714601,0.23409314682328922,0.35616491665873684,5.663391204905952,0.20203518080669763,0.0773337961825445,100.03889846400638
9,Carolina League,A,353.0,14759.0,58324.0,49642.0,20.369487689458886,6.0747876527864095,0.550628159427333,0.11793451094034448,0.23755143984166668,0.3609721034778641,5.654796963133494,0.22618087637016374,0.07526023083641542,99.87894692635908
10,Florida State League,A,355.0,12195.0,49115.0,41622.0,20.91611523974346,6.390821097530965,0.576084113186942,0.12205378528414941,0.2329216593145431,0.3759169445277571,5.535676954785136,0.23520864965824725,0.092093082015932,100.02186508331688
11,Midwest League,A+,303.0,14788.0,59241.0,50854.0,22.185057645887138,6.237824897400821,0.5427669116693787,0.11287949210327272,0.22510128244802496,0.3617320505047042,5.389952550553119,0.2135694152324277,0.08120295979469014,100.07940984161311
13,Northwest League,A+,147.0,7448.0,30443.0,26138.0,22.2551653910587,6.413075780089153,0.5067103650844826,0.11132683904656444,0.2371645364686135,0.33146920207951613,4.919086957746956,0.2059885385682334,0.11587386334408036,99.82597430033057
14,South Atlantic League,A+,350.0,14567.0,57541.0,49699.0,22.00036495716098,5.82525273364968,0.46852117870825166,0.10773201219211453,0.24844407310382113,0.3046123579466313,5.409358668392799,0.2180655967128541,0.09237091947638416,100.08991282308327
16,Arizona Complex League,CPX,378.0,8897.0,33319.0,28283.0,19.6429664755845,6.411274787535411,0.5588189047099609,0.1159415885275813,0.23784157890450822,0.36773308832423224,5.830687377945818,0.19372953172126472,0.08934172333699848,100.20237645644215
17,Florida Complex League,CPX,383.0,8459.0,29715.0,24779.0,19.476190476190474,5.626778242677824,0.6358531558513371,0.13066125438058515,0.23701375464797733,0.40649927905712363,5.562153795866438,0.19430498883969805,0.09388290224686192,99.9166541077958
30,Dominican Summer League,R,839.0,28434.0,104413.0,84606.0,17.64133776445462,6.655169966645376,0.8320430368059248,0.1459592118168644,0.2009346335646124,0.550917422801658,6.347816323334841,0.18584410738871288,0.07722289898962237,102.4033025459177
