Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Chase Harlan,LAD,A,18,26,104,123,25,19,3,0,3,12,20,18,0,32,1,0,0,3,2,1,0.240384615,sa3067256,standard,8,A,123.0,0.146341463,0.260162601,0.5625,0.240384615,0.357723577,0.35576923,0.713492807,0.115384615,2.7463447920093995,0.318840579,-0.4782356824725866,17.097127740768485,0.7446121773996885,0.3546328835371064,103.224458083134,advanced,A,123.0,0.318840579,1.5,0.071428571,0.557142857,0.371428571,0.269230769,0.115384615,0.38888889,0.30555556,0.30555556,0.14344262,202.0,286.0,488.0,batted,California League,A,197.5,fantrax_hitting_categories,7.596153846153846,4.0,0.2403846153846154,0.35772357723577236,0.3557692307692308,0.7134928080050031,0.5625,0.146341463,0.260162601,0.33384146400000003,2.7463447920093995,0.115384615,69.0,25.628571399,117,0.2222222222222222
Ching-Hsien Ko,LAD,A,18,32,114,138,25,20,3,2,0,18,4,23,0,32,1,0,0,3,1,0,0.219298245,sa3025230,standard,8,A,138.0,0.166666666,0.231884057,0.71875,0.219298245,0.355072463,0.280701754,0.635774217,0.061403509,6.000935632743106,0.304878048,-0.2717747651040554,16.45974531675173,-1.8869794616620432,0.3296497904736062,88.36651374597396,advanced,A,138.0,0.304878048,1.346153846,0.24691358,0.432098765,0.320987654,0.038461538,0.0,0.41463415,0.26829268,0.31707317,0.07155635,236.0,323.0,559.0,batted,California League,A,143.0,fantrax_hitting_categories,4.46875,3.5625,0.21929824561403508,0.35507246376811596,0.2807017543859649,0.6357742181540809,0.71875,0.166666666,0.231884057,0.43229166784374995,6.000935632743106,0.0,82.0,26.320987628,117,0.27350427350427353
Emil Morales,LAD,A,18,30,124,143,42,26,11,0,5,21,27,17,1,33,1,1,0,3,5,0,0.338709677,sa3023887,standard,8,A,143.0,0.118881118,0.23076923,0.515151515,0.338709677,0.419580419,0.548387096,0.967967515,0.209677419,4.729877586823102,0.425287356,0.538947400636971,30.659279883954696,11.647818700525931,0.4501194454414743,160.01222323758677,advanced,A,143.0,0.425287356,1.1,0.292134831,0.370786516,0.337078651,0.233333333,0.166666666,0.40217391,0.2826087,0.31521739,0.11940299,209.0,327.0,536.0,batted,California League,A,323.0,fantrax_hitting_categories,10.766666666666667,4.133333333333334,0.3387096774193548,0.4195804195804196,0.5483870967741935,0.9679675163546131,0.5151515151515151,0.118881118,0.23076923,0.33502860860606065,4.729877586823102,0.166666666,87.0,29.325842637,117,0.2564102564102564
Ethan Holliday,COL,A,18,18,71,84,17,11,4,0,2,14,6,12,1,33,1,0,0,0,0,0,0.239436619,sa3069100,standard,8,A,84.0,0.142857142,0.392857142,0.363636363,0.239436619,0.357142857,0.38028169,0.737424547,0.140845071,2.295634915,0.416666666,-0.2466095378622412,11.85421950202541,0.6866478977735488,0.3573184566325452,108.15341857165387,advanced,A,84.0,0.416666666,1.307692307,0.210526315,0.447368421,0.342105263,0.0,0.153846153,0.2972973,0.18918919,0.51351351,0.16666667,151.0,215.0,366.0,batted,California League,A,103.5,fantrax_hitting_categories,5.75,3.9444444444444446,0.23943661971830985,0.35714285714285715,0.38028169014084506,0.7374245472837022,0.36363636363636365,0.142857142,0.392857142,0.16883116945454546,2.295634915,0.153846153,36.0,12.315789468,116,0.15517241379310345
Hayden Alvarez,LAA,A,18,20,62,76,22,17,5,0,0,12,18,10,0,8,2,0,2,1,9,4,0.354838709,sa3023906,standard,8,A,76.0,0.131578947,0.105263157,1.25,0.354838709,0.459459459,0.43548387,0.894943329,0.080645161,5.574264182523932,0.407407407,-0.3941178070381284,15.741782640876393,5.637789284648517,0.4409103288843825,156.12593645382117,advanced,A,76.0,0.407407407,2.384615384,0.16981132,0.58490566,0.245283018,0.153846153,0.0,0.43636364,0.18181818,0.38181818,0.04234528,122.0,185.0,307.0,batted,California League,A,212.5,fantrax_hitting_categories,10.625,3.1,0.3548387096774194,0.4594594594594595,0.43548387096774194,0.8949433304272014,1.25,0.131578947,0.105263157,0.9539473700000001,5.574264182523932,0.0,54.0,13.245282972,125,0.16
Ivan Luciano,ARI,A,18,3,14,14,4,3,1,0,0,2,2,0,0,5,0,0,0,3,0,0,0.285714285,sa3067397,standard,8,A,14.0,0.0,0.357142857,0.0,0.285714285,0.285714285,0.357142857,0.642857142,0.071428572,2.64285714,0.444444444,-0.0321664614602923,1.3930822992903562,-0.4681796347516206,0.3046158935342516,76.09015592746803,advanced,A,14.0,0.444444444,2.0,0.333333333,0.444444444,0.222222222,0.0,0.0,0.33333333,0.0,0.66666667,0.14285714,15.0,34.0,49.0,batted,California League,A,15.5,fantrax_hitting_categories,5.166666666666667,4.666666666666667,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.6428571428571428,0.0,0.0,0.357142857,0.0,2.64285714,0.0,9.0,1.999999998,105,0.02857142857142857
Jhonny Level,SFG,A,18,31,127,147,30,24,2,1,3,30,12,17,0,30,2,1,0,1,4,2,0.236220472,sa3023898,standard,8,A,147.0,0.115646258,0.204081632,0.566666666,0.236220472,0.333333333,0.338582677,0.67191601,0.102362205,6.434933154610279,0.284210526,-0.6026402888819575,17.841789188727457,-1.701461118713301,0.3323082327842712,89.2527981289719,advanced,A,147.0,0.284210526,1.793103448,0.138297872,0.553191489,0.308510638,0.206896551,0.103448275,0.46391753,0.22680412,0.30927835,0.10733453,205.0,354.0,559.0,batted,California League,A,227.0,fantrax_hitting_categories,7.32258064516129,4.096774193548387,0.23622047244094488,0.3333333333333333,0.33858267716535434,0.6719160104986877,0.5666666666666667,0.115646258,0.204081632,0.385487529,6.434933154610279,0.103448275,95.0,29.30851061,122,0.2540983606557377
Jorge Quintana,SDP,A,18,25,83,101,16,12,3,0,1,12,5,15,1,34,1,2,0,0,7,4,0.192771084,sa3024107,standard,8,A,101.0,0.148514851,0.336633663,0.44117647,0.192771084,0.316831683,0.26506024,0.581891923,0.072289156,5.027546925206146,0.3,-0.772673505358398,9.269013797785464,-4.158661583517369,0.2948221713304519,69.68525108507838,advanced,A,101.0,0.3,1.928571428,0.18,0.54,0.28,0.214285714,0.071428571,0.44230769,0.21153846,0.34615385,0.13759214,171.0,236.0,407.0,batted,California League,A,118.0,fantrax_hitting_categories,4.72,3.32,0.1927710843373494,0.31683168316831684,0.26506024096385544,0.5818919241321723,0.4411764705882353,0.148514851,0.336633663,0.22714036147058822,5.027546925206146,0.071428571,50.0,14.000000000000002,107,0.2336448598130841
Marlon Quintero,LAA,A,18,18,62,70,16,14,2,0,0,8,12,2,0,9,0,4,2,2,3,0,0.258064516,sa3023936,standard,8,A,70.0,0.028571428,0.128571428,0.222222222,0.258064516,0.264705882,0.29032258,0.555028462,0.032258064,6.087898001284904,0.280701754,0.4284455478191376,4.636185487590336,-4.670124182619548,0.2624765985152301,50.00783382504848,advanced,A,70.0,0.280701754,1.611111111,0.160714285,0.517857142,0.321428571,0.166666666,0.0,0.30508475,0.23728814,0.45762712,0.09361702,83.0,152.0,235.0,batted,California League,A,119.0,fantrax_hitting_categories,6.611111111111111,3.4444444444444446,0.25806451612903225,0.2647058823529412,0.2903225806451613,0.5550284629981025,0.2222222222222222,0.028571428,0.128571428,0.18730158755555554,6.087898001284904,0.0,57.0,18.321428547,125,0.144
Max Durrington,OAK,A,18,49,173,197,39,33,4,0,2,21,15,19,0,33,2,1,2,3,6,1,0.225433526,sa3067341,standard,8,A,197.0,0.0964467,0.16751269,0.575757575,0.225433526,0.307692307,0.283236994,0.590929301,0.057803468,4.561941227043517,0.26618705,0.1502098683267831,18.508789032802547,-7.681825324788128,0.2975839920533009,67.02530436550325,advanced,A,197.0,0.26618705,1.97368421,0.18115942,0.54347826,0.275362318,0.105263157,0.052631578,0.40140845,0.23239437,0.36619718,0.07853403,307.0,457.0,764.0,batted,California League,A,252.5,fantrax_hitting_categories,5.153061224489796,3.5306122448979593,0.2254335260115607,0.3076923076923077,0.2832369942196532,0.5909293019119609,0.5757575757575758,0.0964467,0.16751269,0.4237809572727273,4.561941227043517,0.052631578,139.0,38.275362202,93,0.5268817204301075
