Backtest Metric,wRC+ Correlation,N,Median AB,Median Estimated BIP,Median Estimated FB
FB Quality+ K=100,0.18068296943529624,4851,106.0,77.0,26.923076852
LD + HR/FB Weighted+,0.2866853237444384,4851,106.0,77.0,26.923076852
LD + HR/FB + BB/K Weighted+,0.3968845654092239,4851,106.0,77.0,26.923076852
