Player Name,Team,League Name,Source League ID,Age,AB,PA,Estimated BIP,Estimated FB,wRC+,LD% Weighted+,HR/FB% Weighted+,BB/K Weighted+,FB Quality+ K=100,LD + HR/FB Weighted+,LD + HR/FB + BB/K Weighted+
Marcos Belen,CLE,Dominican Summer League,30,18,91,120,68.0,30.447761192,68.76212260182646,95.37001401593719,76.65903890279469,110.09756519896884,76.65903890279469,86.01452645936594,94.04220603923358
Marwin Rivero,KCR,Dominican Summer League,30,18,29,36,21.0,2.470588218,63.6752274141846,82.64462809917356,97.58897820246335,97.14332050421946,97.58897820246335,90.11680315081846,92.45897560195213
Maylerson Casanova,PHI,Dominican Summer League,30,18,131,145,90.0,28.92857139,92.69208910225902,89.13356809784776,93.5137346973468,75.46692378015379,86.71542541560663,91.32365139759727,86.0380755251161
Michael Martinez,ATL,Dominican Summer League,30,18,57,69,42.0,18.9,173.04696716835167,98.34312966208623,134.9569479928305,98.29963093948845,119.12008741209176,116.65003882745836,110.53323619813506
Michael Nieto,PHI,Dominican Summer League,30,18,78,89,59.0,21.736842068,,108.54395074491396,82.14440123569314,88.5084264245114,82.14440123569314,95.34417599030354,93.06559280170616
Miguel Rivera,BOS,Dominican Summer League,30,18,43,56,40.0,16.0,111.00792788186853,93.44564424949547,105.11808930879594,176.33943128318606,98.86692934294818,99.2818667791457,124.96772161382582
Moises Polanco,MIL,Dominican Summer League,30,18,154,199,123.0,56.513513457,133.14536393849713,87.72977774175047,91.07198362851744,124.72572636656496,81.567759774481,89.40088068513396,101.17582924561096
Naibel Mariano,CIN,Dominican Summer League,30,18,135,143,101.0,35.130434686,96.46566497760128,111.62157606719228,136.37969545760254,79.89665661740538,112.18145292273067,124.00063576239741,109.2993093807334
Nathanael Cijntje,PHI,Dominican Summer League,30,18,114,143,88.0,33.52380944,100.40516458826473,89.2620129193862,74.89301003274312,100.57310568135293,74.89301003274312,82.07751147606466,88.24270954449408
Nestor Urbina,TOR,Dominican Summer League,30,18,103,116,82.0,28.7532467,100.94655276614444,99.13316619738747,93.54426651161509,89.88867901519706,104.99798493794982,96.33871635450129,94.18870390806654
