Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Christian Bethancourt,CHC,AAA,34,0,0,2.45,3,0,0,0,0,0,0,3.2,21,3,1,1,0,5,0,2,1,0,1,10028
Shelby Miller,CHC,AAA,35,0,1,10.57,10,0,0,0,0,0,1,7.2,40,10,9,9,1,8,1,0,2,0,13,10197
Zack Wheeler,PHI,AAA,36,0,1,5.23,3,3,0,0,0,0,0,10.1,44,9,6,6,1,4,0,3,1,0,10,10310
Scott Alexander,KCR,AAA,36,0,1,1.69,11,0,0,0,0,2,0,10.2,48,10,4,2,0,5,1,0,1,1,9,10591
Casey Lawrence,PHI,AAA,38,1,1,8.10,4,4,0,0,0,0,0,16.2,80,29,15,15,4,1,0,2,0,0,10,11121
Vince Velasquez,CHC,AAA,34,3,2,6.48,20,14,0,0,0,0,2,75.0,339,72,56,54,13,45,0,2,5,0,77,11189
Tommy Kahnle,BOS,AAA,36,2,1,1.42,23,0,0,0,6,0,1,25.1,106,18,5,4,1,12,0,1,0,0,27,11384
Drew Pomeranz,CHC,AAA,37,0,0,0.00,2,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,3,11426
Aaron Sanchez,KCR,AAA,33,0,5,9.43,13,12,0,0,0,0,0,42.0,208,57,46,44,11,26,0,4,2,1,40,11490
Jameson Taillon,CHC,AAA,34,0,1,4.50,2,2,0,0,0,0,0,8.0,30,4,4,4,0,3,0,0,0,0,5,11674
Tyron Guerrero,BOS,AAA,35,0,0,0.92,15,0,0,0,3,1,2,19.2,75,13,2,2,0,6,0,0,0,0,22,11691
Luke Jackson,KCR,AAA,34,1,1,6.87,15,0,0,0,0,3,1,18.1,79,17,15,14,1,11,0,0,3,0,18,11752
Yimi García,TOR,AAA,35,1,0,10.80,4,0,0,0,0,1,0,3.1,18,6,4,4,0,2,0,0,0,0,5,12095
Aaron Brooks,TBR,AAA,36,1,0,7.23,7,4,0,0,0,0,0,18.2,87,24,15,15,4,7,1,1,0,0,13,12272
Chris Bassitt,BAL,AAA,37,0,1,1.98,3,3,0,0,0,0,0,13.2,53,8,4,3,1,4,0,4,0,0,12,12304
Rafael Montero,NYY,AAA,35,1,4,5.67,28,1,0,0,2,4,2,27.0,128,33,21,17,3,13,0,1,0,2,33,12760
Chris Devenski,NYM,AAA,35,0,1,1.10,11,1,0,0,1,0,2,16.1,65,10,3,2,2,5,0,0,0,0,25,12763
John Brebbia,MIN,AAA,36,2,0,5.18,25,4,0,0,0,0,2,33.0,151,36,19,19,5,17,0,0,0,0,40,12777
Burch Smith,DET,AAA,36,0,0,1.80,9,0,0,0,1,0,3,10.0,36,4,2,2,1,0,0,1,0,0,16,12784
Mike Clevinger,PIT,AAA,35,2,0,4.74,17,1,0,0,0,1,2,24.2,105,24,13,13,2,10,1,0,0,0,24,12808
Andrew Kittredge,BAL,AAA,36,0,1,15.19,6,0,0,0,0,1,0,5.1,32,14,10,9,1,1,0,0,1,0,8,12828
Andrew Chafin,CIN,AAA,36,0,0,0.96,10,0,0,0,1,0,1,9.1,37,4,5,1,1,6,0,0,0,0,8,12988
Gerrit Cole,NYY,AAA,35,0,0,1.69,1,1,0,0,0,0,0,5.1,22,6,1,1,0,1,0,0,0,0,6,13125
Jesse Hahn,TOR,AAA,36,1,1,6.65,18,0,0,0,1,1,2,21.2,106,27,19,16,4,17,0,0,2,0,23,13287
Danny Coulombe,BOS,AAA,36,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,1,13293
Hoby Milner,CHC,AAA,35,0,1,2.53,10,0,0,0,0,0,0,10.2,46,11,4,3,1,2,0,1,1,0,9,13346
Steven Matz,TBR,AAA,35,0,0,4.50,5,1,0,0,0,0,1,6.0,28,10,3,3,1,2,0,0,0,0,5,13361
Pierce Johnson,CIN,AAA,35,0,0,9.00,1,1,0,0,0,0,0,1.0,4,2,1,1,0,0,0,0,0,0,1,13435
Lucas Sims,CHW,AAA,32,2,2,8.10,14,0,0,0,0,1,1,13.1,67,12,13,12,2,15,1,1,5,1,22,13470
Matt Bowman,MIN,AAA,35,4,4,4.15,40,3,0,0,4,2,2,56.1,244,55,28,26,8,20,0,5,2,1,63,13528
Carl Edwards Jr.,DET,AAA,34,5,10,6.08,21,14,0,0,0,0,0,80.0,363,86,67,54,13,44,0,1,3,0,88,13607
Clay Holmes,NYM,AAA,33,0,1,7.71,1,1,0,0,0,0,0,2.1,12,3,2,2,0,2,0,0,0,0,2,13649
