Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Erasmo Ramírez,COL,AAA,36,31.0,.365,0.96,23.3%,37.5%,39.2%,17.0%,17.0%,39.5%,24.2%,36.3%,10.0%,238,373,611,10314
Casey Lawrence,SEA,AAA,38,131.2,.308,1.52,23.6%,46.1%,30.3%,16.3%,14.8%,50.7%,22.8%,26.6%,7.3%,616,1307,1923,11121
Merrill Kelly,ARI,AAA,37,5.0,.133,1.20,26.7%,40.0%,33.3%,40.0%,0.0%,53.3%,6.7%,40.0%,11.1%,32,40,72,11156
Yolmer Sánchez,LAA,AAA,34,3.1,.412,1.60,27.8%,44.4%,27.8%,20.0%,20.0%,38.9%,33.3%,27.8%,2.4%,13,28,41,11602
Taijuan Walker,LAA,AAA,33,14.2,.286,0.65,34.0%,26.0%,40.0%,20.0%,10.0%,33.3%,33.3%,33.3%,3.7%,97,144,241,11836
Chris Martin,TEX,AAA,40,8.0,.355,1.75,31.3%,43.8%,25.0%,0.0%,25.0%,39.4%,21.2%,39.4%,6.7%,24,81,105,11847
Jason Adam,SDP,AAA,34,5.0,.133,0.67,33.3%,26.7%,40.0%,16.7%,0.0%,60.0%,20.0%,20.0%,14.3%,22,41,63,11861
Blake Treinen,LAD,AAA,38,5.1,.167,1.75,8.3%,58.3%,33.3%,25.0%,0.0%,41.7%,16.7%,41.7%,10.8%,39,54,93,12572
John Brebbia,COL,AAA,36,16.2,.381,1.25,37.2%,34.9%,27.9%,16.7%,8.3%,44.2%,23.3%,32.6%,13.3%,70,178,248,12777
Michael Kelly,OAK,AAA,33,25.1,.348,1.19,29.2%,38.5%,32.3%,28.6%,4.8%,37.3%,32.8%,29.9%,12.8%,151,296,447,12791
Joe Musgrove,SDP,AAA,33,13.0,.419,1.15,36.4%,34.1%,29.5%,15.4%,15.4%,42.2%,28.9%,28.9%,6.0%,52,131,183,12970
Joe Ross,TEX,AAA,33,57.2,.337,1.67,29.2%,44.3%,26.5%,8.2%,12.2%,40.3%,29.0%,30.6%,10.8%,339,606,945,12972
