Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Shelby Miller,CHC,AA,35,0,0,0.00,1,0,0,0,0,0,1,1.0,3,0,0,0,0,0,0,0,0,0,3,10197
Danny Young,ATL,AA,32,1,0,0.00,3,0,0,0,0,0,0,3.0,14,0,1,0,0,3,0,1,0,0,5,18439
Caleb Ferguson,CIN,AA,29,0,0,4.50,2,2,0,0,0,0,0,2.0,8,1,1,1,1,1,0,0,0,1,3,19349
Blake Weiman,LAA,AA,30,1,0,2.30,14,0,0,0,1,1,5,15.2,63,12,5,4,2,3,0,0,0,0,19,20257
Edwin Uceta,TBR,AA,28,0,0,3.00,3,0,0,0,0,0,0,3.0,10,3,1,1,1,0,0,0,0,0,4,20539
Aneurys Zabala,LAA,AA,29,1,1,6.30,9,0,0,0,0,1,1,10.0,55,13,9,7,0,10,0,2,1,0,11,20802
Edward Cabrera,CHC,AA,28,0,0,0.00,1,1,0,0,0,0,0,5.0,16,0,0,0,0,1,0,0,0,0,7,21690
Ray Kerr,ATL,AA,31,0,0,3.00,2,0,0,0,0,1,0,3.0,12,3,1,1,1,0,0,0,0,1,4,23809
Brandon Williamson,CIN,AA,28,0,0,4.50,1,1,0,0,0,0,0,2.0,9,0,1,1,0,2,0,1,0,0,3,25463
Jairo Iriarte,CHW,AA,24,3,3,2.28,17,0,0,0,1,2,2,23.2,101,15,8,6,2,11,0,4,4,0,26,26907
Rolddy Muñoz,ATL,AA,26,0,1,7.36,2,0,0,0,0,0,1,3.2,18,6,3,3,0,1,0,0,2,0,5,27407
Daniel Palencia,CHC,AA,26,0,1,21.60,2,0,0,0,0,1,0,1.2,9,0,4,4,0,3,0,1,0,0,1,27914
Luke Little,CHC,AA,25,3,0,4.02,14,0,0,0,1,0,1,15.2,74,13,8,7,1,11,0,4,0,1,19,28036
Luke Murphy,LAA,AA,26,2,1,0.71,34,0,0,0,18,2,0,38.0,147,21,6,3,1,10,1,2,0,1,47,29952
Luis Guerrero,TBR,AA,25,0,2,9.64,8,0,0,0,0,2,1,9.1,46,12,13,10,2,6,0,0,3,0,16,31184
Jake Palisch,CHW,AA,27,4,9,4.92,25,21,0,0,0,0,0,119.0,538,143,79,65,12,47,0,3,2,2,57,31598
Owen Murphy,ATL,AA,22,1,1,6.10,5,5,0,0,0,0,0,20.2,98,19,14,14,5,18,0,1,0,0,27,31761
Blake Burkhalter,ATL,AA,25,0,0,0.00,6,0,0,0,0,0,2,6.1,23,5,0,0,0,1,0,0,0,0,7,31809
Duncan Davitt,ATL,AA,26,0,1,6.75,4,0,0,0,2,1,1,6.2,28,7,5,5,3,2,0,0,0,0,9,31886
Hayden Harris,ATL,AA,27,1,0,10.12,2,0,0,0,0,1,0,2.2,11,2,3,3,1,1,0,0,0,0,3,31913
Drew Thorpe,CHW,AA,25,0,0,1.13,2,2,0,0,0,0,0,8.0,28,4,2,1,0,3,0,0,0,0,8,31967
Hurston Waldrep,ATL,AA,24,0,0,9.82,1,1,0,0,0,0,0,3.2,15,3,4,4,1,0,0,1,0,0,3,33527
Mark Manfredi,MIL,AA,26,3,0,3.63,16,0,0,0,2,0,0,22.1,97,18,9,9,1,11,2,2,1,1,38,33603
Ryan Johnson,LAA,AA,23,0,1,2.21,4,4,0,0,0,0,0,20.1,76,12,5,5,1,3,0,0,1,1,25,35325
Luis Palacios,MIA,AA,25,4,2,3.63,29,13,0,0,4,0,1,72.0,290,46,33,29,8,41,0,4,2,1,60,sa3003021
Jacob Heatherly,CHW,AA,28,0,1,6.26,21,0,0,0,0,0,1,23.0,116,17,18,16,1,30,0,2,3,0,38,sa3004736
Blayne Enlow,ATL,AA,27,1,2,5.29,14,0,0,0,0,1,0,17.0,70,12,10,10,2,10,0,1,3,2,18,sa3005117
Efrain Contreras,LAA,AA,26,0,1,3.94,10,0,0,0,0,0,1,16.0,66,16,7,7,3,3,0,1,3,0,22,sa3005692
