Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Luke Jackson,NYM,A,34,0,0,0.00,3,0,0,0,0,0,0,3.0,12,4,1,0,0,1,0,0,0,0,5,11752
Yimi García,TOR,A,35,0,0,0.00,3,0,0,0,0,0,2,3.0,11,1,0,0,0,1,0,0,0,0,3,12095
Chris Devenski,PIT,A,35,1,0,0.00,5,0,0,0,0,0,0,6.2,23,3,0,0,0,2,0,0,0,1,5,12763
Burch Smith,DET,A,36,0,0,18.00,1,1,0,0,0,0,0,1.0,5,1,2,2,0,1,0,0,0,0,0,12784
Mike Clevinger,PIT,A,35,0,0,0.00,2,0,0,0,0,0,0,3.0,11,1,0,0,0,2,0,0,0,0,3,12808
Clay Holmes,NYM,A,33,0,0,0.00,1,1,0,0,0,0,0,4.0,15,2,0,0,0,2,0,0,0,0,3,13649
José Berríos,TOR,A,32,0,0,6.75,2,2,0,0,0,0,0,6.2,28,8,5,5,1,1,0,0,0,0,8,14168
Joe Mantiply,TOR,A,35,0,0,27.00,2,0,0,0,0,0,0,1.2,10,4,5,5,0,0,0,0,0,0,2,14857
Kevin Herget,NYM,A,35,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,15369
Julian Merryweather,MIN,A,34,0,1,4.15,4,0,0,0,0,1,0,4.1,20,6,4,2,1,1,0,0,0,0,9,16703
Adbert Alzolay,NYM,A,31,0,1,9.00,2,0,0,0,0,0,1,2.0,9,3,2,2,1,0,0,0,0,0,1,17859
Scott Effross,DET,A,32,1,0,0.00,2,0,0,0,0,0,1,2.1,7,0,0,0,0,1,0,0,0,0,3,18384
A.J. Minter,NYM,A,32,1,0,0.00,2,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,18655
Shane Bieber,TOR,A,31,0,1,19.29,1,1,0,0,0,0,0,2.1,13,6,5,5,1,0,0,0,0,1,2,19427
Jorge Alcala,TOR,A,30,0,0,0.00,2,0,0,0,0,0,0,3.0,11,1,1,0,0,0,0,0,0,0,4,19459
Connor Seabold,DET,A,30,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,19695
Casey Mize,DET,A,29,0,0,1.80,1,1,0,0,0,0,0,5.0,18,3,1,1,1,1,0,0,0,0,5,20492
Peter Strzelecki,STL,A,31,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,21367
Justin Hagenman,NYM,A,29,0,1,3.86,1,1,0,0,0,0,0,2.1,11,3,1,1,0,1,0,0,1,0,3,21546
