Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Shelby Miller,CHC,AA,35,1.0,.000,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,,,,21.4%,5,9,14,10197
Danny Young,ATL,AA,32,3.0,.000,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,0.0%,20.0%,80.0%,22.0%,27,32,59,18439
Caleb Ferguson,CIN,AA,29,2.0,.000,1.00,50.0%,25.0%,25.0%,0.0%,100.0%,0.0%,75.0%,25.0%,16.7%,11,19,30,19349
Blake Weiman,LAA,AA,30,15.2,.256,1.46,17.9%,48.7%,33.3%,23.1%,15.4%,56.1%,19.5%,24.4%,16.1%,63,160,223,20257
Edwin Uceta,TBR,AA,28,3.0,.400,0.67,16.7%,33.3%,50.0%,0.0%,33.3%,66.7%,33.3%,0.0%,29.5%,18,26,44,20539
Aneurys Zabala,LAA,AA,29,10.0,.406,1.36,18.8%,46.9%,34.4%,54.5%,0.0%,31.3%,25.0%,43.8%,13.6%,90,124,214,20802
Edward Cabrera,CHC,AA,28,5.0,.000,1.67,0.0%,62.5%,37.5%,33.3%,0.0%,50.0%,25.0%,25.0%,14.1%,21,43,64,21690
Ray Kerr,ATL,AA,31,3.0,.286,5.00,25.0%,62.5%,12.5%,100.0%,100.0%,50.0%,0.0%,50.0%,15.9%,16,28,44,23809
Brandon Williamson,CIN,AA,28,2.0,.000,0.50,0.0%,33.3%,66.7%,0.0%,0.0%,66.7%,0.0%,33.3%,12.8%,17,22,39,25463
Jairo Iriarte,CHW,AA,24,23.2,.224,1.74,10.3%,56.9%,32.8%,21.1%,10.5%,44.1%,25.4%,30.5%,10.8%,163,235,398,26907
Rolddy Muñoz,ATL,AA,26,3.2,.500,1.67,33.3%,41.7%,25.0%,33.3%,0.0%,50.0%,8.3%,41.7%,15.6%,23,41,64,27407
Daniel Palencia,CHC,AA,26,1.2,.000,3.00,0.0%,75.0%,25.0%,0.0%,0.0%,50.0%,0.0%,50.0%,2.9%,15,19,34,27914
