Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Zack Wheeler,PHI,AA,36,9.2,12.10,0.93,13.00,1.86,34.2%,2.6%,31.6%,.270,1.14,.364,48.8%,6.52,3.91,2.61,1.99,10310
Shawn Armstrong,CLE,AA,35,2.0,13.50,4.50,3.00,0.00,33.3%,11.1%,22.2%,.250,1.50,.400,66.7%,4.50,2.10,2.40,2.10,12857
Gerrit Cole,NYY,AA,35,15.0,8.40,1.20,7.00,1.80,25.0%,3.6%,21.4%,.185,0.80,.189,38.5%,4.80,4.73,0.07,3.37,13125
Danny Coulombe,BOS,AA,36,1.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.250,1.00,.250,100.0%,0.00,3.60,-3.60,3.60,13293
Erick Mejia,WSN,AA,31,24.0,12.00,4.88,2.46,0.75,29.9%,12.1%,17.8%,.215,1.38,.305,80.1%,1.50,3.76,-2.26,4.15,15817
Carlos Rodón,NYY,AA,33,9.2,13.97,0.93,15.00,0.93,41.7%,2.8%,38.9%,.200,0.83,.316,100.0%,0.93,2.15,-1.22,2.15,16137
Trevor Williams,WSN,AA,34,2.1,7.71,0.00,2.00,0.00,25.0%,0.0%,25.0%,.125,0.43,.167,100.0%,0.00,1.88,-1.88,2.68,16977
Jack Flaherty,DET,AA,30,5.2,11.12,1.59,7.00,3.18,31.8%,4.5%,27.3%,.143,0.71,.083,100.0%,3.18,6.24,-3.07,4.60,17479
Alex Young,WSN,AA,32,2.1,19.29,0.00,5.00,0.00,62.5%,0.0%,62.5%,.250,0.86,.667,100.0%,0.00,-0.69,0.69,-0.69,18333
Richard Lovelady,WSN,AA,30,1.1,0.00,6.75,0.00,0.00,0.0%,14.3%,-14.3%,.333,2.25,.333,33.3%,13.50,5.85,7.65,7.24,19337
Patrick Sandoval,BOS,AA,29,8.0,12.38,2.25,5.50,1.13,40.7%,7.4%,33.3%,.080,0.50,.077,100.0%,1.13,3.22,-2.10,2.29,19447
Guillo Zuñiga,NYM,AA,27,9.1,11.57,6.75,1.71,0.00,30.0%,17.5%,12.5%,.182,1.39,.286,84.6%,1.93,3.28,-1.35,4.87,19588
Clarke Schmidt,NYY,AA,30,0.2,27.00,0.00,2.00,13.50,50.0%,0.0%,50.0%,.500,3.00,1.000,0.0%,27.00,17.10,9.90,0.38,19899
Félix Bautista,BAL,AA,31,0.1,0.00,81.00,0.00,0.00,0.0%,60.0%,-60.0%,.500,12.00,.500,25.0%,81.00,30.60,50.40,41.73,20666
Jose Espada,BAL,AA,29,1.1,6.75,6.75,1.00,6.75,14.3%,14.3%,0.0%,.333,2.25,.250,62.5%,13.50,14.10,-0.60,5.74,21131
Ryan Feltner,COL,AA,29,3.2,9.82,0.00,4.00,0.00,26.7%,0.0%,26.7%,.200,0.82,.273,100.0%,0.00,1.42,-1.42,2.93,21446
Jake Irvin,WSN,AA,29,8.1,9.72,1.08,9.00,0.00,31.0%,3.4%,27.6%,.037,0.24,.056,100.0%,0.00,2.16,-2.16,3.05,21504
Justin Hagenman,NYM,AA,29,3.0,6.00,0.00,2.00,3.00,14.3%,0.0%,14.3%,.308,1.33,.300,83.3%,3.00,7.60,-4.60,6.36,21546
Yerry Rodríguez,NYY,AA,28,6.0,13.50,4.50,3.00,3.00,27.3%,9.1%,18.2%,.400,2.50,.526,49.2%,13.50,6.43,7.07,3.64,21955
Max Kranick,WSN,AA,28,3.0,3.00,0.00,1.00,0.00,9.1%,0.0%,9.1%,.273,1.00,.300,100.0%,0.00,2.93,-2.93,4.79,22175
Dedniel Núñez,NYM,AA,30,2.0,4.50,0.00,1.00,0.00,14.3%,0.0%,14.3%,.143,0.50,.167,100.0%,0.00,2.60,-2.60,5.38,23055
Max Lazar,PHI,AA,27,3.0,9.00,0.00,3.00,0.00,27.3%,0.0%,27.3%,.182,0.67,.250,50.0%,3.00,1.60,1.40,1.60,23426
Wilkin Ramos,SFG,AA,25,1.1,13.50,13.50,1.00,0.00,22.2%,22.2%,0.0%,.333,3.00,.500,40.0%,20.25,7.35,12.90,7.35,23988
Josiah Gray,WSN,AA,28,2.2,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,0.00,3.60,-3.60,5.69,24580
Erik Sabrowski,CLE,AA,28,0.2,27.00,13.50,2.00,0.00,50.0%,25.0%,25.0%,.000,1.50,.000,-100.0%,0.00,2.10,-2.10,2.10,24978
Tim Herrin,CLE,AA,29,0.1,27.00,54.00,0.50,0.00,25.0%,50.0%,-25.0%,.500,9.00,1.000,0.0%,81.00,15.60,65.40,15.60,25139
Justin Slaten,BOS,AA,28,1.0,18.00,0.00,2.00,0.00,50.0%,0.0%,50.0%,.250,1.00,.500,100.0%,0.00,-0.40,0.40,1.45,25648
Levi Stoudt,PHI,AA,28,11.2,9.26,5.40,1.71,0.00,26.1%,15.2%,10.9%,.128,1.03,.185,91.7%,0.00,3.34,-3.34,5.25,25650
Tyler Owens,DET,AA,25,45.0,9.60,3.20,3.00,1.20,24.1%,8.0%,16.1%,.258,1.40,.320,75.5%,4.20,4.33,-0.13,3.88,26030
Caleb Freeman,TOR,AA,28,27.0,11.33,7.33,1.55,1.00,26.4%,17.1%,9.3%,.198,1.59,.261,70.4%,4.33,5.08,-0.75,5.49,26255
DJ Herz,WSN,AA,25,4.0,9.00,4.50,2.00,0.00,26.7%,13.3%,13.3%,.077,0.75,.111,100.0%,0.00,3.10,-3.10,5.42,26389
Jeff Criswell,COL,AA,27,2.0,9.00,4.50,2.00,4.50,25.0%,12.5%,12.5%,.286,1.50,.250,100.0%,4.50,9.60,-5.10,4.03,27608
Jared Jones,PIT,AA,24,8.1,11.88,2.16,5.50,0.00,34.4%,6.3%,28.1%,.200,0.96,.316,75.0%,2.16,1.68,0.48,2.79,27863
Jefry Yan,NYM,AA,29,26.2,15.19,6.07,2.50,0.34,39.5%,15.8%,23.7%,.200,1.39,.367,68.3%,3.71,2.85,0.87,3.47,27902
Noah Murdock,PIT,AA,27,13.2,9.22,3.29,2.80,0.66,26.4%,9.4%,17.0%,.191,1.02,.250,58.8%,4.61,3.82,0.79,3.54,27908
Eiberson Castellano,COL,AA,25,53.0,9.00,4.58,1.96,1.02,23.1%,11.8%,11.4%,.253,1.45,.317,84.0%,2.72,4.82,-2.11,4.89,28040
Wilber Dotel,PIT,AA,23,3.0,15.00,3.00,5.00,0.00,45.5%,9.1%,36.4%,.100,0.67,.200,100.0%,0.00,1.26,-1.26,1.88,28901
Jedixson Paez,BOS,AA,22,49.0,10.29,0.92,11.20,1.47,29.0%,2.6%,26.4%,.241,1.02,.301,65.3%,4.41,3.80,0.61,3.27,29114
Cade Povich,BAL,AA,26,7.0,9.00,1.29,7.00,1.29,25.0%,3.6%,21.4%,.222,1.00,.263,53.6%,3.86,3.88,-0.03,4.15,30055
Seth Lonsway,SFG,AA,27,3.2,4.91,2.45,2.00,0.00,14.3%,7.1%,7.1%,.231,1.09,.273,50.0%,4.91,3.32,1.58,4.34,30064
Dom Hamel,NYY,AA,27,14.2,11.05,5.52,2.00,1.84,23.7%,11.8%,11.8%,.308,1.98,.386,44.8%,10.43,6.05,4.38,5.54,30153
Jackson Jobe,DET,AA,23,7.0,9.00,2.57,3.50,0.00,24.1%,6.9%,17.2%,.192,1.00,.263,75.0%,1.29,2.88,-1.60,4.21,30203
Cesar Perdomo,SFG,AA,24,72.1,11.07,2.74,4.05,1.00,30.1%,7.4%,22.6%,.213,1.11,.286,62.1%,3.98,3.57,0.41,3.75,30334
Luis De León,BAL,AA,23,81.0,11.11,4.67,2.38,1.00,28.1%,11.8%,16.3%,.223,1.37,.299,67.4%,4.33,4.28,0.06,3.79,30944
Yunior Marte,SFG,AA,22,64.1,10.07,3.08,3.27,1.12,26.4%,8.1%,18.3%,.255,1.34,.327,74.9%,3.92,4.00,-0.08,4.06,31097
Eduardo Rivera,BOS,AA,23,10.0,14.40,2.70,5.33,0.00,41.0%,7.7%,33.3%,.167,0.90,.300,88.9%,0.90,1.30,-0.40,2.04,31280
