Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Gabe Speier,SEA,A+,31,1.0,18.00,0.00,2.00,18.00,33.3%,0.0%,33.3%,.500,3.00,.500,0.0%,27.00,25.72,1.28,3.43,17170
Carlos Vargas,SEA,A+,26,1.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,0.00,3.72,-3.72,3.72,22915
Tommy Henry,ARI,A+,28,2.1,15.43,7.71,2.00,3.86,25.0%,12.5%,12.5%,.500,3.86,.667,26.3%,23.14,8.44,14.70,2.87,26285
Jeff Criswell,COL,A+,27,2.0,18.00,0.00,4.00,0.00,44.4%,0.0%,44.4%,.333,1.50,.600,33.3%,9.00,-0.28,9.28,1.58,27608
Bryce Miller,SEA,A+,27,8.0,9.00,4.50,2.00,0.00,26.7%,13.3%,13.3%,.115,0.88,.167,100.0%,0.00,3.22,-3.22,4.15,29837
Yunior Marte,SFG,A+,22,43.1,8.52,3.95,2.16,0.62,22.8%,10.6%,12.2%,.213,1.22,.267,68.3%,3.74,4.12,-0.38,4.93,31097
Max Scherzer,TOR,A+,41,3.0,9.00,6.00,1.50,0.00,21.4%,14.3%,7.1%,.250,1.67,.333,60.0%,6.00,3.72,2.28,4.34,3137
Gabriel Hughes,COL,A+,24,6.0,15.00,4.50,3.33,0.00,43.5%,13.0%,30.4%,.100,0.83,.200,100.0%,0.00,1.89,-1.89,2.51,31614
Brayan Castillo,COL,A+,25,3.0,12.00,9.00,1.33,0.00,25.0%,18.8%,6.3%,.308,2.33,.444,57.1%,9.00,4.06,4.94,4.68,sa3006544
Teofilo Mendez,ARI,A+,24,10.1,9.58,6.10,1.57,3.48,17.7%,11.3%,6.5%,.418,2.90,.475,41.0%,13.94,8.66,5.28,5.96,sa3008795
Francis Rivera,COL,A+,25,51.1,7.71,4.21,1.83,1.40,20.5%,11.2%,9.3%,.193,1.17,.207,70.1%,4.03,5.67,-1.64,5.35,sa3009217
Jonatan Bernal,ARI,A+,24,4.1,14.54,0.00,7.00,0.00,46.7%,0.0%,46.7%,.200,0.69,.375,66.7%,2.08,0.49,1.58,1.78,sa3009271
Jose Atencio,LAA,A+,24,49.2,7.25,2.17,3.33,1.27,20.0%,6.0%,14.0%,.235,1.13,.264,78.4%,3.26,4.73,-1.47,4.58,sa3010304
Lucas Knowles,LAA,A+,28,54.2,8.89,1.81,4.91,1.15,24.0%,4.9%,19.1%,.239,1.12,.291,83.6%,3.13,4.29,-1.16,4.15,sa3011676
Gabriel Sosa,SEA,A+,25,19.1,8.84,8.84,1.00,1.40,16.5%,16.5%,0.0%,.385,2.79,.464,47.4%,12.57,7.50,5.07,6.63,sa3011682
Ben Hernandez,SEA,A+,24,29.0,6.21,4.34,1.43,0.93,15.5%,10.9%,4.7%,.263,1.52,.297,58.8%,5.90,5.24,0.65,5.37,sa3014541
Adrian Placencia,LAA,A+,23,1.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.400,2.00,.400,50.0%,9.00,3.72,5.28,11.14,sa3014688
Esmerlin Vinicio,SFG,A+,23,51.2,10.45,4.01,2.61,0.52,26.4%,10.1%,16.3%,.217,1.28,.296,73.7%,3.14,3.84,-0.71,4.27,sa3014708
Taylor Dollard,SEA,A+,27,93.1,7.81,2.89,2.70,1.54,19.6%,7.3%,12.3%,.280,1.45,.320,58.9%,5.59,5.44,0.15,5.16,sa3014982
Case Williams,COL,A+,24,19.0,8.53,6.16,1.38,0.47,20.7%,14.9%,5.7%,.282,1.74,.365,78.0%,4.26,5.04,-0.78,6.02,sa3015013
Alex Martinez,LAA,A+,23,32.0,12.38,6.19,2.00,1.97,28.9%,14.5%,14.5%,.287,1.84,.385,57.8%,8.72,5.97,2.74,5.22,sa3015284
Nicolo Pinazzi,LAA,A+,26,16.0,16.31,3.94,4.14,0.00,44.6%,10.8%,33.8%,.161,1.00,.333,94.4%,0.00,1.79,-1.79,2.48,sa3015335
