Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Jacob Widener,KCR,A+,25,4.1,14.54,33.23,0.44,2.08,20.6%,47.1%,-26.5%,.133,4.15,.143,51.0%,20.77,16.86,3.91,16.62,sa3023031
Luiyin Alastre,MIL,A+,20,1.2,0.00,16.20,0.00,5.40,0.0%,17.6%,-17.6%,.643,7.20,.615,47.2%,37.80,17.13,20.67,13.44,sa3021210
Juan Baez,MIL,A+,21,1.0,0.00,18.00,0.00,0.00,0.0%,40.0%,-40.0%,.333,3.00,.333,66.7%,9.00,9.93,-0.93,13.36,sa3018525
Caleb Shpur,DET,A+,24,2.1,0.00,15.43,0.00,3.86,0.0%,23.5%,-23.5%,.462,4.29,.417,34.9%,27.00,14.65,12.35,12.75,sa3076235
Ryan Ure,KCR,A+,23,12.0,5.25,21.00,0.25,0.00,8.3%,33.3%,-25.0%,.373,3.92,.432,48.1%,20.25,11.02,9.23,12.02,sa3044256
Josh Harlow,CLE,A+,25,4.0,0.00,11.25,0.00,4.50,0.0%,22.7%,-22.7%,.313,2.50,.214,61.0%,13.50,14.93,-1.43,11.00,sa3022914
Accimias Morales,LAD,A+,21,8.0,11.25,20.25,0.56,1.13,20.0%,36.0%,-16.0%,.226,3.13,.300,73.2%,9.00,10.18,-1.18,10.49,sa3018809
Harry Genth,MIN,A+,23,1.0,0.00,9.00,0.00,0.00,0.0%,16.7%,-16.7%,.400,3.00,.400,33.3%,18.00,6.93,11.07,10.36,sa3069005
Carlos Medina,SDP,A+,21,2.2,3.37,16.87,0.20,0.00,7.7%,38.5%,-30.8%,.125,2.25,.143,66.7%,6.75,8.81,-2.06,10.09,sa3076040
Quinn Priester,MIL,A+,25,1.1,13.50,20.25,0.67,0.00,16.7%,25.0%,-8.3%,.625,6.00,.833,22.2%,47.25,9.93,37.32,9.93,25977
Jose Romero,CHC,A+,25,1.0,0.00,18.00,0.00,0.00,0.0%,66.7%,-66.7%,.000,2.00,.000,100.0%,0.00,9.93,-9.93,9.93,sa3015483
Jeffrey Mercedes,CLE,A+,21,2.1,3.86,11.57,0.33,3.86,7.1%,21.4%,-14.3%,.364,3.00,.333,89.3%,7.71,12.51,-4.79,9.87,sa3018942
Jesus Flores,MIL,A+,21,4.2,5.79,17.36,0.33,0.00,10.7%,32.1%,-21.4%,.222,2.79,.267,78.6%,5.79,9.08,-3.29,9.81,sa3021519
Ayendy Bravo,MIL,A+,19,7.2,7.04,12.91,0.55,1.17,13.3%,24.4%,-11.1%,.333,2.87,.385,50.9%,14.09,8.76,5.33,9.74,sa3024090
Nick McAuliffe,MIN,A+,25,1.0,9.00,18.00,0.50,0.00,12.5%,25.0%,-12.5%,.500,5.00,.600,20.0%,27.00,7.93,19.07,9.65,sa3076251
Diego Guzman,KCR,A+,22,1.2,0.00,5.40,0.00,0.00,0.0%,11.1%,-11.1%,.143,1.20,.143,100.0%,0.00,7.53,-7.53,9.59,sa3015365
Braulio Salas,MIA,A+,21,2.0,4.50,9.00,0.50,0.00,11.1%,22.2%,-11.1%,.167,1.50,.200,75.0%,4.50,7.43,-2.93,9.15,sa3019820
Xavier Cardenas III,MIA,A+,23,2.1,7.71,7.71,1.00,3.86,16.7%,16.7%,0.0%,.333,2.14,.333,43.5%,11.57,11.65,-0.08,9.01,sa3028415
Hunter Alberini,KCR,A+,24,9.2,11.17,15.83,0.71,0.93,19.7%,27.9%,-8.2%,.333,3.21,.448,44.3%,16.76,8.69,8.07,8.94,sa3058474
