Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Shelby Miller,CHC,AA,35,1.0,27.00,0.00,3.00,0.00,100.0%,0.0%,100.0%,.000,0.00,.000,100.0%,0.00,-2.44,2.44,-2.44,10197
Danny Young,ATL,AA,32,3.0,15.00,9.00,1.67,0.00,35.7%,21.4%,14.3%,.000,1.00,.000,75.0%,0.00,4.22,-4.22,4.86,18439
Caleb Ferguson,CIN,AA,29,2.0,13.50,4.50,3.00,4.50,37.5%,12.5%,25.0%,.143,1.00,.000,100.0%,4.50,8.56,-4.06,3.01,19349
Blake Weiman,LAA,AA,30,15.2,10.91,1.72,6.33,1.15,30.2%,4.8%,25.4%,.200,0.96,.256,82.0%,2.30,3.36,-1.07,3.30,20257
Edwin Uceta,TBR,AA,28,3.0,12.00,0.00,4.00,3.00,40.0%,0.0%,40.0%,.300,1.00,.400,100.0%,3.00,5.22,-2.22,2.81,20539
Aneurys Zabala,LAA,AA,29,10.0,9.90,9.00,1.10,0.00,20.0%,18.2%,1.8%,.302,2.30,.406,64.0%,6.30,4.96,1.34,7.06,20802
Edward Cabrera,CHC,AA,28,5.0,12.60,1.80,7.00,0.00,43.8%,6.3%,37.5%,.000,0.20,.000,100.0%,0.00,1.36,-1.36,2.51,21690
Ray Kerr,ATL,AA,31,3.0,12.00,0.00,4.00,3.00,33.3%,0.0%,33.3%,.250,1.00,.286,100.0%,3.00,5.22,-2.22,1.53,23809
Brandon Williamson,CIN,AA,28,2.0,13.50,9.00,1.50,0.00,33.3%,22.2%,11.1%,.000,1.00,.000,66.7%,4.50,5.06,-0.56,6.97,25463
Jairo Iriarte,CHW,AA,24,23.2,9.89,4.18,2.36,0.76,25.7%,10.9%,14.9%,.174,1.10,.224,80.9%,2.28,4.36,-2.08,4.80,26907
Rolddy Muñoz,ATL,AA,26,3.2,12.27,2.45,5.00,0.00,27.8%,5.6%,22.2%,.353,1.91,.500,57.1%,7.36,1.65,5.72,3.22,27407
Daniel Palencia,CHC,AA,26,1.2,5.40,16.20,0.33,0.00,11.1%,33.3%,-22.2%,.000,1.80,.000,0.0%,21.60,9.56,12.04,10.71,27914
Luke Little,CHC,AA,25,15.2,10.91,6.32,1.73,0.57,25.7%,14.9%,10.8%,.220,1.53,.308,75.2%,4.02,4.83,-0.81,5.47,28036
Luke Murphy,LAA,AA,26,38.0,11.13,2.37,4.70,0.24,32.0%,6.8%,25.2%,.156,0.82,.230,85.4%,0.71,2.37,-1.66,3.54,29952
Luis Guerrero,TBR,AA,25,9.1,15.43,5.79,2.67,1.93,34.8%,13.0%,21.7%,.300,1.93,.455,32.9%,9.64,4.84,4.80,3.70,31184
Jake Palisch,CHW,AA,27,119.0,4.31,3.55,1.21,0.91,10.6%,8.7%,1.9%,.293,1.60,.313,64.7%,4.92,5.17,-0.25,5.49,31598
Owen Murphy,ATL,AA,22,20.2,11.76,7.84,1.50,2.18,27.6%,18.4%,9.2%,.241,1.79,.298,77.4%,6.10,6.85,-0.75,6.21,31761
Blake Burkhalter,ATL,AA,25,6.1,9.95,1.42,7.00,0.00,30.4%,4.3%,26.1%,.227,0.95,.333,100.0%,0.00,1.82,-1.82,3.33,31809
Duncan Davitt,ATL,AA,26,6.2,12.15,2.70,4.50,4.05,32.1%,7.1%,25.0%,.269,1.35,.286,83.3%,6.75,7.61,-0.86,2.62,31886
Hayden Harris,ATL,AA,27,2.2,10.12,3.37,3.00,3.37,27.3%,9.1%,18.2%,.200,1.12,.167,0.0%,10.12,7.31,2.82,3.15,31913
Drew Thorpe,CHW,AA,25,8.0,9.00,3.38,2.67,0.00,28.6%,10.7%,17.9%,.160,0.88,.235,71.4%,1.13,2.68,-1.56,3.88,31967
Hurston Waldrep,ATL,AA,24,3.2,7.36,0.00,3.00,2.45,20.0%,0.0%,20.0%,.214,0.82,.200,0.0%,9.82,6.28,3.53,4.83,33527
Mark Manfredi,MIL,AA,26,22.1,15.31,4.43,3.45,0.40,39.2%,11.3%,27.8%,.214,1.30,.378,74.3%,3.63,2.48,1.15,3.44,33603
Ryan Johnson,LAA,AA,23,20.1,11.07,1.33,8.33,0.44,32.9%,3.9%,28.9%,.164,0.74,.234,73.5%,2.21,2.18,0.03,3.05,35325
Luis Palacios,MIA,AA,25,72.0,7.50,5.13,1.46,1.00,20.7%,14.1%,6.6%,.188,1.21,.215,72.7%,3.63,5.21,-1.58,5.15,sa3003021
Jacob Heatherly,CHW,AA,28,23.0,14.87,11.74,1.27,0.39,32.8%,25.9%,6.9%,.202,2.04,.356,65.1%,6.26,4.99,1.27,5.26,sa3004736
Blayne Enlow,ATL,AA,27,17.0,9.53,5.29,1.80,1.06,25.7%,14.3%,11.4%,.203,1.29,.256,64.4%,5.29,4.91,0.38,4.06,sa3005117
Efrain Contreras,LAA,AA,26,16.0,12.38,1.69,7.33,1.69,33.3%,4.5%,28.8%,.258,1.19,.351,82.3%,3.94,3.99,-0.06,3.23,sa3005692
Samuel Vásquez,MIA,AA,26,3.0,6.00,15.00,0.40,0.00,12.5%,31.3%,-18.7%,.182,2.33,.222,57.1%,9.00,7.22,1.78,8.50,sa3005849
Julio Robaina,ATL,AA,25,61.1,8.51,2.93,2.90,0.73,22.7%,7.8%,14.9%,.245,1.26,.306,73.6%,3.23,3.80,-0.57,4.18,sa3006817
Steffon Moore,CIN,AA,29,23.1,15.04,9.64,1.56,1.16,36.4%,23.4%,13.1%,.171,1.67,.275,74.7%,4.24,5.10,-0.86,4.66,sa3007857
Irvin Machuca,CIN,AA,26,19.1,9.78,7.45,1.31,3.26,22.6%,17.2%,5.4%,.250,1.81,.250,64.9%,8.38,8.73,-0.35,6.60,sa3008641
Juan Carela,CHW,AA,24,33.1,8.64,5.13,1.68,1.89,20.5%,12.2%,8.3%,.272,1.68,.309,65.7%,5.67,6.17,-0.50,5.79,sa3009237
Luis Vargas,ATL,AA,24,61.1,14.09,4.70,3.00,0.59,37.8%,12.6%,25.2%,.204,1.26,.339,76.0%,3.23,2.89,0.34,3.35,sa3009592
Stephen Jones,MIA,AA,28,16.2,10.26,7.02,1.46,0.54,25.7%,17.6%,8.1%,.164,1.38,.220,74.1%,3.24,4.40,-1.16,5.46,sa3009935
Luis Moreno,MIA,AA,27,84.1,5.98,5.34,1.12,1.39,14.1%,12.6%,1.5%,.282,1.73,.306,60.8%,7.36,6.26,1.10,6.48,sa3009950
Joe Corbett,MIL,AA,29,5.0,10.80,1.80,6.00,3.60,25.0%,4.2%,20.8%,.348,1.80,.400,48.4%,10.80,6.96,3.84,4.82,sa3010237
Jose Atencio,LAA,AA,24,4.0,0.00,2.25,0.00,0.00,0.0%,6.7%,-6.7%,.231,1.00,.231,100.0%,0.00,5.06,-5.06,6.49,sa3010304
Jacob Wallace,CHC,AA,27,19.1,10.71,1.86,5.75,0.93,27.4%,4.8%,22.6%,.350,1.66,.473,58.2%,6.05,3.14,2.91,3.48,sa3010374
Edwin Jimenez,MIL,AA,24,47.1,8.56,2.66,3.21,2.28,22.3%,6.9%,15.3%,.254,1.29,.273,86.9%,4.18,6.03,-1.85,4.76,sa3010800
Justin Yeager,TBR,AA,28,15.0,12.60,3.60,3.50,1.20,36.2%,10.3%,25.9%,.154,0.93,.207,80.4%,2.40,3.69,-1.29,2.85,sa3010825
Josh Hejka,MIA,AA,29,22.1,6.04,4.03,1.50,2.01,12.9%,8.6%,4.3%,.365,2.15,.393,58.1%,6.85,6.74,0.12,6.06,sa3011152
Ryan Garcia,CIN,AA,28,32.0,7.59,3.09,2.45,2.53,18.4%,7.5%,10.9%,.286,1.53,.299,68.5%,6.47,6.84,-0.37,6.18,sa3011190
Aidan Anderson,CHW,AA,29,4.0,4.50,2.25,2.00,0.00,15.4%,7.7%,7.7%,.091,0.50,.111,100.0%,0.00,4.06,-4.06,5.49,sa3011250
Taylor Floyd,CIN,AA,28,68.1,8.30,3.56,2.33,1.32,22.2%,9.5%,12.7%,.209,1.17,.238,68.1%,4.21,4.93,-0.72,4.80,sa3011367
Ryan Jensen,CHC,AA,28,1.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,0.00,3.56,-3.56,5.47,sa3011496
Nestor Lorant,CIN,AA,24,22.1,12.09,2.42,5.00,0.81,33.7%,6.7%,27.0%,.193,0.99,.275,78.1%,2.01,2.84,-0.83,3.48,sa3011640
Lucas Knowles,LAA,AA,28,39.0,7.62,3.46,2.20,1.15,19.4%,8.8%,10.6%,.279,1.49,.328,65.4%,5.08,4.76,0.32,5.06,sa3011676
Jace Beck,CHC,AA,26,59.2,15.39,4.53,3.40,0.91,39.2%,11.5%,27.7%,.217,1.32,.364,83.1%,2.87,3.15,-0.29,3.20,sa3011811
Tyler Schlaffer,CHC,AA,25,83.2,10.76,4.73,2.27,0.54,27.9%,12.3%,15.6%,.238,1.40,.337,66.1%,4.09,3.81,0.28,3.83,sa3011815
Jared Kelley,CHW,AA,24,15.2,8.62,8.04,1.07,1.15,17.2%,16.1%,1.1%,.352,2.49,.426,41.9%,12.06,6.36,5.70,6.91,sa3014471
Koen Moreno,CHC,AA,24,9.0,8.00,7.00,1.14,2.00,19.0%,16.7%,2.4%,.257,1.78,.280,60.6%,7.00,7.00,0.00,6.67,sa3014509
Blane Abeyta,ATL,AA,27,47.2,10.76,5.10,2.11,2.64,25.8%,12.2%,13.6%,.245,1.55,.273,74.5%,5.66,6.81,-1.14,5.44,sa3014975
Jack Dashwood,ATL,AA,28,27.1,9.22,3.95,2.33,0.66,23.1%,9.9%,13.2%,.259,1.46,.333,55.0%,6.59,3.89,2.70,5.32,sa3015035
Leonard Garcia,LAA,AA,22,41.0,13.39,3.51,3.81,1.54,35.7%,9.4%,26.3%,.197,1.10,.278,71.8%,4.39,4.56,-0.17,3.74,sa3015156
Elison Joseph,ATL,AA,25,17.2,9.17,13.25,0.69,0.51,20.7%,29.9%,-9.2%,.153,1.98,.200,87.1%,3.06,7.01,-3.95,7.68,sa3015306
Jose Acuna,CIN,AA,23,84.0,9.64,3.54,2.73,1.18,26.9%,9.9%,17.0%,.183,1.05,.220,72.0%,3.54,4.33,-0.79,4.77,sa3015331
Nicolo Pinazzi,LAA,AA,26,13.2,13.17,5.93,2.22,0.00,36.4%,16.4%,20.0%,.178,1.24,.320,77.8%,0.66,2.82,-2.17,3.25,sa3015335
