Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Trevor Williams,WSN,A,34,0.2,13.50,0.00,1.00,0.00,14.3%,0.0%,14.3%,.571,6.00,.667,0.0%,27.00,0.66,26.34,2.76,16977
Alex Young,WSN,A,32,3.1,10.80,0.00,4.00,0.00,30.8%,0.0%,30.8%,.308,1.20,.444,75.0%,2.70,1.26,1.44,1.68,18333
Richard Lovelady,WSN,A,30,1.0,9.00,0.00,1.00,9.00,25.0%,0.0%,25.0%,.250,1.00,.000,100.0%,9.00,14.66,-5.66,5.86,19337
Manuel Rodríguez,TBR,A,29,1.0,9.00,0.00,1.00,0.00,33.3%,0.0%,33.3%,.000,0.00,.000,100.0%,0.00,1.66,-1.66,1.66,20794
Bryce Montes de Oca,WSN,A,30,2.0,13.50,13.50,1.00,0.00,33.3%,33.3%,0.0%,.000,1.50,.000,66.7%,4.50,5.16,-0.66,7.26,21319
Max Kranick,WSN,A,28,2.2,16.87,0.00,5.00,3.37,45.5%,0.0%,45.5%,.182,0.75,.200,-166.7%,6.75,4.78,1.97,0.96,22175
Josiah Gray,WSN,A,28,3.0,9.00,3.00,3.00,0.00,23.1%,7.7%,15.4%,.333,1.67,.444,80.0%,3.00,2.66,0.34,4.99,24580
DJ Herz,WSN,A,25,3.2,14.73,2.45,6.00,0.00,33.3%,5.6%,27.8%,.353,1.91,.545,85.7%,2.45,1.21,1.25,2.73,26389
AJ Smith-Shawver,ATL,A,23,7.0,11.57,0.00,9.00,1.29,37.5%,0.0%,37.5%,.208,0.71,.286,100.0%,1.29,2.95,-1.66,1.69,29960
Ethan Pecko,HOU,A,23,8.0,16.88,0.00,15.00,1.13,50.0%,0.0%,50.0%,.200,0.75,.357,100.0%,1.13,1.53,-0.41,0.26,33515
Johan Otanez,WSN,A,24,22.1,10.07,7.66,1.32,0.40,23.1%,17.6%,5.6%,.259,1.84,.356,73.4%,5.24,5.09,0.15,6.08,sa3009782
Blake Brown,WSN,A,27,3.2,9.82,7.36,1.33,0.00,28.6%,21.4%,7.1%,.091,1.09,.143,100.0%,0.00,3.93,-3.93,4.70,sa3014847
Ettore Giulianelli,CLE,A,23,24.2,12.41,13.14,0.94,0.36,25.0%,26.5%,-1.5%,.265,2.51,.397,67.1%,6.20,6.05,0.15,6.15,sa3015281
Juan Nuñez,BAL,A,25,1.0,18.00,0.00,2.00,0.00,66.7%,0.0%,66.7%,.000,0.00,.000,100.0%,0.00,-0.34,0.34,1.06,sa3015464
Fidel Montero,CHW,A,22,10.2,6.75,0.84,8.00,0.84,17.8%,2.2%,15.6%,.262,1.12,.303,79.4%,3.37,4.22,-0.85,4.58,sa3015856
Gabriel Silva,KCR,A,22,0.2,0.00,27.00,0.00,0.00,0.0%,40.0%,-40.0%,.333,4.50,.333,100.0%,0.00,12.66,-12.66,16.86,sa3015865
Gabriel Rodriguez,CHW,A,22,65.2,7.54,4.11,1.83,1.64,19.6%,10.7%,8.9%,.237,1.34,.258,73.8%,5.07,6.00,-0.93,5.61,sa3016784
Eric Martinez,MIL,A,22,4.1,0.00,4.15,0.00,0.00,0.0%,8.3%,-8.3%,.381,2.31,.381,90.9%,2.08,5.74,-3.66,8.00,sa3017023
Alvaro Mejias,TBR,A,22,9.1,12.54,4.82,2.60,0.96,31.0%,11.9%,19.0%,.243,1.50,.348,71.4%,4.82,3.87,0.95,3.68,sa3017657
