Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Blake Treinen,LAD,A,38,1.0,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,33.3%,1,8,9,12572
Joe Musgrove,SDP,A,33,2.2,.333,3.00,33.3%,50.0%,16.7%,100.0%,0.0%,83.3%,0.0%,16.7%,10.3%,17,22,39,12970
Blake Snell,LAD,A,33,8.0,.333,4.00,28.6%,57.1%,14.3%,50.0%,0.0%,33.3%,40.0%,26.7%,24.4%,36,95,131,13543
Tyler Glasnow,LAD,A,32,2.0,.167,1.50,16.7%,50.0%,33.3%,50.0%,0.0%,66.7%,0.0%,33.3%,12.5%,4,12,16,14374
Edwin Díaz,LAD,A,32,3.0,.250,1.00,50.0%,25.0%,25.0%,100.0%,0.0%,75.0%,0.0%,25.0%,31.6%,13,25,38,14710
Nick Pivetta,SDP,A,33,3.2,.300,0.80,25.0%,33.3%,41.7%,0.0%,40.0%,25.0%,50.0%,25.0%,17.9%,15,41,56,15454
Lucas Giolito,SDP,A,31,7.0,.368,1.00,15.8%,42.1%,42.1%,25.0%,0.0%,31.6%,15.8%,52.6%,12.8%,50,83,133,15474
Brock Stewart,LAD,A,34,5.2,.385,4.00,23.1%,61.5%,15.4%,0.0%,0.0%,53.8%,30.8%,15.4%,15.3%,34,64,98,16727
Matt Gage,SFG,A,33,1.2,.250,3.00,0.0%,75.0%,25.0%,0.0%,0.0%,50.0%,25.0%,25.0%,21.7%,7,16,23,17381
Jeffrey Springs,OAK,A,33,3.0,.417,0.50,10.0%,30.0%,60.0%,16.7%,0.0%,16.7%,33.3%,50.0%,22.0%,18,41,59,17677
Sam Hentges,SFG,A,29,1.0,.000,2.00,0.0%,66.7%,33.3%,100.0%,0.0%,33.3%,0.0%,66.7%,10.0%,5,5,10,18548
Jason Foley,SFG,A,30,0.2,.500,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,75.0%,0.0%,25.0%,16.7%,7,11,18,19531
Nick Margevicius,SFG,A,30,6.1,.433,0.56,53.3%,16.7%,30.0%,22.2%,22.2%,35.5%,22.6%,41.9%,2.8%,40,67,107,20395
Yusei Kikuchi,LAA,A,35,7.2,.429,1.00,30.4%,34.8%,34.8%,0.0%,50.0%,36.0%,20.0%,44.0%,18.0%,41,92,133,20633
Jeremiah Estrada,SDP,A,27,1.0,.000,0.00,0.0%,0.0%,100.0%,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,4,10,14,22210
Keaton Winn,SFG,A,28,1.0,.333,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,66.7%,33.3%,0.0%,0.0%,6,11,17,23499
Justin Martinez,ARI,A,24,2.0,.000,0.50,0.0%,33.3%,66.7%,0.0%,0.0%,0.0%,66.7%,33.3%,17.9%,12,16,28,24453
Grayson Rodriguez,LAA,A,26,8.2,.522,1.80,39.1%,39.1%,21.7%,0.0%,0.0%,34.8%,30.4%,34.8%,17.2%,51,100,151,24492
Erik Miller,SFG,A,28,1.0,.500,0.00,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,22.2%,4,14,18,26252
Ryne Nelson,ARI,A,28,1.0,.000,0.00,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,20.0%,6,9,15,26253
Tommy Henry,ARI,A,28,2.2,.714,1.50,37.5%,37.5%,25.0%,0.0%,50.0%,37.5%,25.0%,37.5%,19.2%,17,35,52,26285
Alek Manoah,LAA,A,28,4.1,.353,1.00,17.6%,41.2%,41.2%,14.3%,14.3%,38.9%,16.7%,44.4%,6.9%,38,49,87,26410
Sam Bachman,LAA,A,26,0.2,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,12,9,21,29754
Ben Joyce,LAA,A,25,4.0,.273,0.60,20.0%,30.0%,50.0%,20.0%,0.0%,27.3%,27.3%,45.5%,19.0%,30,49,79,31461
