Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Christian Roa,MIN,AAA,27,2.1,11.57,7.71,1.50,0.00,27.3%,18.2%,9.1%,.222,1.71,.333,50.0%,7.71,3.55,4.17,5.12,27662
Scott Effross,DET,AAA,32,32.2,6.89,2.48,2.78,1.38,17.1%,6.2%,11.0%,.293,1.47,.330,73.3%,4.41,5.20,-0.79,5.12,18384
Drake Fellows,PHI,AAA,28,46.0,6.07,3.13,1.94,1.17,15.3%,7.9%,7.4%,.290,1.52,.322,71.4%,5.09,4.94,0.15,5.11,sa3015208
Christian Herberholz,BAL,AAA,25,43.2,7.63,4.12,1.85,1.65,18.9%,10.2%,8.7%,.273,1.56,.305,65.1%,4.95,5.61,-0.66,5.11,sa3066289
Adisyn Coffey,CHW,AAA,27,44.1,9.34,5.08,1.84,0.81,22.4%,12.2%,10.2%,.277,1.67,.354,64.4%,6.09,4.54,1.55,5.10,sa3014738
Yimi García,TOR,AAA,35,3.1,13.50,5.40,2.50,0.00,27.8%,11.1%,16.7%,.375,2.40,.545,50.0%,10.80,2.35,8.45,5.10,12095
Thomas Pannone,MIL,AAA,32,72.0,7.13,2.75,2.59,0.88,18.9%,7.3%,11.6%,.246,1.25,.288,70.9%,4.13,4.27,-0.14,5.09,17281
Julian Fernández,WSN,AAA,30,11.0,8.18,4.09,2.00,0.82,23.3%,11.6%,11.6%,.158,1.00,.185,72.9%,3.27,4.27,-1.00,5.09,18341
Steven Pérez,CLE,AAA,25,34.0,10.32,6.88,1.50,1.32,25.0%,16.7%,8.3%,.233,1.65,.294,68.0%,5.56,5.55,0.01,5.09,sa3008362
Lucas Sims,CHW,AAA,32,13.1,14.85,10.13,1.47,1.35,32.8%,22.4%,10.4%,.235,2.03,.370,59.5%,8.10,5.80,2.30,5.08,13470
Ty Blach,CHC,AAA,35,49.2,6.70,3.62,1.85,1.27,16.4%,8.8%,7.5%,.299,1.63,.338,62.8%,5.98,5.22,0.76,5.08,14361
Elieser Hernández,ATL,AAA,31,76.1,8.49,3.18,2.67,1.53,21.6%,8.1%,13.5%,.289,1.51,.342,74.9%,4.83,5.01,-0.18,5.08,16933
Tanner Andrews,TOR,AAA,30,34.2,10.12,6.23,1.63,0.78,26.4%,16.2%,10.1%,.172,1.30,.225,95.8%,1.56,4.67,-3.11,5.08,24698
Andry Lara,WSN,AAA,23,82.1,7.32,3.39,2.16,1.53,18.5%,8.5%,9.9%,.264,1.43,.294,64.1%,5.90,5.37,0.54,5.07,27967
David Sandlin,CHW,AAA,25,38.0,7.82,4.74,1.65,0.47,20.5%,12.4%,8.1%,.207,1.29,.257,78.4%,2.37,4.15,-1.78,5.06,31743
Shane Bieber,TOR,AAA,31,12.2,6.39,3.55,1.80,2.13,15.8%,8.8%,7.0%,.346,1.82,.375,79.8%,5.68,6.39,-0.70,5.05,19427
Lazaro Estrada,TOR,AAA,27,18.0,8.00,2.50,3.20,1.00,22.5%,7.0%,15.5%,.182,0.94,.208,77.5%,3.00,4.05,-1.05,5.05,24914
Richard Fitts,STL,AAA,26,15.1,6.46,3.52,1.83,0.00,17.7%,9.7%,8.1%,.236,1.24,.295,85.0%,1.76,3.48,-1.72,5.03,30160
Hunter Stratton,ATL,AAA,29,24.2,8.76,5.84,1.50,0.73,21.2%,14.2%,7.1%,.247,1.62,.310,64.5%,4.38,4.60,-0.22,5.03,23455
Aaron Rozek,MIN,AAA,30,60.2,7.71,3.12,2.48,1.48,20.2%,8.2%,12.1%,.241,1.27,.271,82.1%,3.12,5.21,-2.09,5.03,sa3015224
Alejandro Hidalgo,MIN,AAA,23,23.1,10.03,4.63,2.17,2.70,25.7%,11.9%,13.9%,.239,1.41,.255,78.5%,5.79,6.89,-1.10,5.03,sa3015151
Michael Darrell-Hicks,PIT,AAA,28,22.2,9.93,5.16,1.92,1.19,25.8%,13.4%,12.4%,.220,1.37,.278,72.9%,4.37,5.05,-0.68,5.02,31501
