Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Gerrit Cole,NYY,A+,35,8.2,.346,1.75,21.4%,50.0%,28.6%,12.5%,37.5%,34.5%,20.7%,44.8%,9.9%,30,91,121,13125
Clay Holmes,NYM,A+,33,5.1,.350,1.33,22.2%,44.4%,33.3%,16.7%,0.0%,50.0%,30.0%,20.0%,8.2%,20,53,73,13649
Kevin Herget,NYM,A+,35,6.0,.300,1.17,35.0%,35.0%,30.0%,0.0%,0.0%,45.0%,25.0%,30.0%,9.3%,34,52,86,15369
Erick Mejia,WSN,A+,31,2.0,.000,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,100.0%,26.9%,9,17,26,15817
Carlos Rodón,NYY,A+,33,4.1,.100,2.33,0.0%,70.0%,30.0%,66.7%,0.0%,50.0%,10.0%,40.0%,18.5%,22,43,65,16137
Trevor Williams,WSN,A+,34,3.1,.500,7.00,33.3%,58.3%,8.3%,100.0%,0.0%,66.7%,16.7%,16.7%,6.7%,22,38,60,16977
Adbert Alzolay,NYM,A+,31,3.0,.222,0.75,22.2%,33.3%,44.4%,25.0%,0.0%,33.3%,33.3%,33.3%,6.5%,11,20,31,17859
A.J. Minter,NYM,A+,32,1.2,.333,5.00,0.0%,83.3%,16.7%,0.0%,0.0%,33.3%,50.0%,16.7%,7.3%,11,30,41,18655
Kodi Whitley,TBR,A+,31,3.0,.375,3.00,50.0%,37.5%,12.5%,0.0%,100.0%,66.7%,33.3%,0.0%,7.5%,19,34,53,19731
Luis Gil,NYY,A+,28,3.0,.250,0.25,37.5%,12.5%,50.0%,25.0%,0.0%,37.5%,37.5%,25.0%,14.0%,14,29,43,21052
Bryce Montes de Oca,WSN,A+,30,1.1,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,100.0%,0.0%,0.0%,9.6%,30,22,52,21319
Yerry Rodríguez,NYY,A+,28,3.2,.300,3.50,10.0%,70.0%,20.0%,50.0%,0.0%,50.0%,10.0%,40.0%,15.0%,21,39,60,21955
Hans Crouse,BAL,A+,27,6.0,.500,2.50,6.7%,66.7%,26.7%,50.0%,25.0%,60.0%,13.3%,26.7%,22.2%,62,82,144,22192
Michael Mercado,PHI,A+,27,5.0,.125,2.00,6.3%,62.5%,31.3%,0.0%,0.0%,37.5%,43.8%,18.8%,7.7%,26,39,65,23223
Max Lazar,PHI,A+,27,1.1,.400,0.50,40.0%,20.0%,40.0%,100.0%,0.0%,20.0%,20.0%,60.0%,0.0%,16,21,37,23426
Ray Kerr,ATL,A+,31,3.2,.286,4.00,28.6%,57.1%,14.3%,0.0%,0.0%,42.9%,14.3%,42.9%,15.6%,29,35,64,23809
Josiah Gray,WSN,A+,28,3.1,.417,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,58.3%,16.7%,25.0%,16.0%,24,51,75,24580
John Rooney,TBR,A+,29,3.1,.200,4.00,0.0%,80.0%,20.0%,0.0%,0.0%,40.0%,40.0%,20.0%,21.4%,11,31,42,24590
